mjd,filter,uJy,duJy
58778.423929,c,527.0,13.0
58778.435276,c,508.0,11.0
58778.44069,c,529.0,11.0
58778.443961,c,518.0,11.0
58782.471543,c,675.0,15.0
58782.474746,c,683.0,14.0
58782.503967,c,686.0,14.0
58782.511365,c,705.0,16.0
58790.380354,c,640.0,12.0
58790.383588,c,644.0,12.0
58790.390986,c,659.0,14.0
58790.401404,c,653.0,11.0
58814.381974,c,200.0,37.0
58814.385563,c,166.0,19.0
58814.392283,c,169.0,15.0
58814.404203,c,198.0,16.0
58817.385033,c,156.0,9.0
58818.386325,c,120.0,93.0
58818.389368,c,242.0,89.0
58818.394529,c,168.0,48.0
58818.404514,c,-8.0,212.0
58752.515149,o,-5.0,8.0
58752.517973,o,3.0,9.0
58752.527729,o,18.0,8.0
58752.539854,o,-16.0,7.0
58756.469994,o,-13.0,10.0
58756.473316,o,-4.0,10.0
58756.47944,o,-9.0,11.0
58756.489634,o,-6.0,11.0
58762.418407,o,11.0,11.0
58762.421567,o,-7.0,11.0
58762.424371,o,-6.0,10.0
58762.427633,o,-6.0,9.0
58764.456839,o,-1.0,10.0
58764.460071,o,13.0,12.0
58764.466134,o,-14.0,11.0
58764.47683,o,-20.0,12.0
58768.443488,o,-106.0,49.0
58768.462173,o,-19.0,46.0
58769.413094,o,131.0,40.0
58769.416513,o,83.0,43.0
58769.429902,o,46.0,37.0
58769.435713,o,73.0,34.0
58774.480224,o,295.0,16.0
58774.537233,o,293.0,16.0
58774.538652,o,239.0,23.0
58774.540026,o,286.0,22.0
58774.541937,o,338.0,21.0
58774.545191,o,257.0,16.0
58774.547977,o,270.0,22.0
58774.557757,o,269.0,22.0
58777.447611,o,436.0,15.0
58780.421487,o,534.0,12.0
58780.424389,o,529.0,11.0
58780.431746,o,482.0,11.0
58780.441895,o,529.0,12.0
58784.452818,o,563.0,11.0
58784.458146,o,568.0,12.0
58784.461471,o,581.0,12.0
58784.477123,o,567.0,13.0
58787.456293,o,533.0,11.0
58787.476119,o,561.0,14.0
58787.487623,o,573.0,12.0
58787.493622,o,552.0,12.0
58788.445797,o,554.0,50.0
58788.451037,o,487.0,37.0
58788.454911,o,542.0,27.0
58788.465726,o,513.0,52.0
58791.377066,o,502.0,13.0
58791.380442,o,482.0,13.0
58791.401813,o,492.0,22.0
58791.417974,o,506.0,13.0
58792.477028,o,476.0,11.0
58792.479886,o,464.0,13.0
58792.493803,o,467.0,12.0
58792.505403,o,447.0,12.0
58794.367695,o,422.0,15.0
58794.373241,o,440.0,15.0
58794.37781,o,462.0,18.0
58794.388306,o,466.0,13.0
58795.423701,o,384.0,13.0
58795.427336,o,411.0,13.0
58795.432893,o,381.0,16.0
58795.448261,o,347.0,16.0
58796.318033,o,371.0,19.0
58796.321293,o,387.0,25.0
58796.326936,o,361.0,19.0
58796.337223,o,356.0,19.0
58802.487134,o,57.0,108.0
58802.490808,o,291.0,35.0
58802.494016,o,274.0,28.0
58802.497242,o,345.0,30.0
58802.500013,o,313.0,27.0
58802.510833,o,281.0,26.0
58808.426034,o,262.0,9.0
58808.428878,o,287.0,10.0
58808.434468,o,273.0,10.0
58808.447037,o,268.0,11.0
58812.384126,o,270.0,11.0
58812.387549,o,269.0,11.0
58812.395136,o,269.0,10.0
58812.405339,o,268.0,12.0
58815.38079,o,261.0,9.0
58815.384019,o,246.0,10.0
58815.401619,o,252.0,11.0
58815.40714,o,269.0,11.0
58816.381614,o,247.0,12.0
58816.384835,o,228.0,13.0
58816.391867,o,248.0,12.0
58816.402035,o,236.0,12.0
58820.307669,o,70.0,52.0
58820.310522,o,236.0,71.0
58820.391298,o,234.0,9.0
58820.396533,o,213.0,9.0
58822.322692,o,171.0,51.0
58822.325917,o,148.0,49.0
58822.346755,o,9.0,168.0
58824.302165,o,166.0,18.0
58824.305009,o,146.0,20.0
58824.311095,o,184.0,20.0
58824.320888,o,160.0,22.0
58828.364383,o,155.0,27.0
58828.367623,o,175.0,30.0
58828.373355,o,119.0,27.0
58828.39016,o,142.0,26.0
58830.383707,o,110.0,33.0
58830.387226,o,162.0,32.0
58830.3925,o,121.0,25.0
58831.351702,o,190.0,171.0
58831.358146,o,227.0,64.0
58831.371176,o,175.0,53.0
58772.31548610004,ZTF_g,169.81967289037942,32.26095936370213
58781.39359949995,ZTF_g,662.7412460840482,23.111063741669224
58784.4134837999,ZTF_g,721.0722793218046,34.94165815411295
58787.36454859981,ZTF_g,722.0678358576046,24.124276485593082
58790.31422450021,ZTF_g,644.3728001872834,22.094641370220664
58800.21424769983,ZTF_g,362.46259884372313,26.600004078784174
58803.22806710005,ZTF_g,271.18146338465783,30.896914132499663
58806.33712959988,ZTF_g,222.0399904598668,13.867885298002088
58812.31791670015,ZTF_g,132.8172243515223,10.096218596530177
58820.18982640002,ZTF_g,83.90456690225885,11.13272400519698
58833.18915509991,ZTF_g,49.47552370868773,9.709951639708697
58837.214513900224,ZTF_g,43.97108681218449,7.465861198115591
58850.18626159988,ZTF_g,30.552024948060343,7.5571546918212045
58859.126099499874,ZTF_g,51.05049999754062,15.503168627270632
58872.185046299826,ZTF_g,28.04924655854581,6.131583101508092
58772.37684029993,ZTF_r,194.25705481912024,31.035331948725283
58778.38016200019,ZTF_r,530.0489762020236,20.711897237316485
58781.375115700066,ZTF_r,625.3212682026624,22.237803771514923
58787.335138900205,ZTF_r,640.5012770640286,36.34804771555716
58790.37496529985,ZTF_r,642.2368193675569,22.57889194840515
58793.3604629999,ZTF_r,572.766488127824,18.044195422817445
58796.31461809995,ZTF_r,486.23251800650513,19.59560690736494
58800.29324069992,ZTF_r,335.77317708989295,23.012671953845
58803.293576399796,ZTF_r,320.84612611326276,14.350444556904057
58812.25206020009,ZTF_r,303.1905075152601,11.612995804476135
58833.24215279985,ZTF_r,132.05109292205725,11.966838927084051
58837.23375000013,ZTF_r,104.60344794320989,8.641817999199661
58850.12858799985,ZTF_r,75.41886633763603,23.209627265176888
58853.16787040001,ZTF_r,76.3740814450031,14.872800325560327
58859.16752310004,ZTF_r,67.70320059989157,9.26048910916072
58861.22657410009,ZTF_r,48.35039205916207,12.010771095051831
58862.193669000175,ZTF_r,49.41286097416955,8.262334086055445
58875.12473380007,ZTF_r,34.65465662452973,5.377184092553441
