mjd,filter,uJy,duJy
58866.391397,c,-8.0,8.0
58866.394709,c,-15.0,10.0
58866.400213,c,13.0,8.0
58866.410133,c,0.0,9.0
58869.35124,c,-14.0,8.0
58869.354442,c,3.0,9.0
58869.36266,c,4.0,8.0
58869.375911,c,-11.0,7.0
58870.320792,c,-14.0,8.0
58870.324515,c,12.0,8.0
58870.329617,c,16.0,7.0
58870.340345,c,-8.0,7.0
58873.374931,c,-21.0,10.0
58873.378132,c,-12.0,9.0
58873.384115,c,-15.0,8.0
58873.393914,c,-14.0,9.0
58902.263713,c,233.0,9.0
58902.266936,c,216.0,11.0
58902.272542,c,232.0,11.0
58902.282339,c,226.0,11.0
58906.309557,c,162.0,14.0
58906.312764,c,171.0,18.0
58906.317826,c,139.0,21.0
58906.328511,c,170.0,14.0
58867.455866,o,-26.0,15.0
58867.462921,o,-9.0,15.0
58867.467341,o,23.0,15.0
58867.476367,o,-37.0,17.0
58868.322127,o,-1.0,10.0
58868.325441,o,2.0,9.0
58868.330998,o,-6.0,11.0
58868.341225,o,3.0,12.0
58871.386606,o,-8.0,11.0
58871.389459,o,-5.0,12.0
58871.39519,o,-33.0,11.0
58871.410192,o,-31.0,12.0
58872.355268,o,14.0,11.0
58872.358592,o,-2.0,13.0
58872.365122,o,-15.0,12.0
58872.374965,o,-25.0,11.0
58876.312232,o,21.0,11.0
58876.315479,o,-1.0,9.0
58876.320616,o,16.0,12.0
58876.33093,o,22.0,12.0
58877.255885,o,19.0,11.0
58877.259084,o,4.0,15.0
58877.269191,o,10.0,12.0
58877.275467,o,24.0,12.0
58879.327993,o,47.0,25.0
58879.330788,o,93.0,18.0
58879.336927,o,36.0,18.0
58879.347552,o,77.0,16.0
58880.304187,o,107.0,14.0
58880.308216,o,84.0,15.0
58880.313379,o,92.0,13.0
58880.326067,o,91.0,12.0
58881.265841,o,160.0,18.0
58881.281807,o,106.0,20.0
58881.284742,o,108.0,18.0
58882.373988,o,148.0,19.0
58882.376943,o,148.0,23.0
58882.383091,o,156.0,22.0
58882.394469,o,133.0,26.0
58884.303271,o,197.0,20.0
58884.306519,o,191.0,22.0
58884.311699,o,184.0,16.0
58884.32325,o,231.0,20.0
58888.332336,o,279.0,24.0
58888.336245,o,246.0,26.0
58888.342836,o,254.0,28.0
58888.355854,o,262.0,26.0
58891.371727,o,286.0,21.0
58891.375004,o,276.0,20.0
58891.382414,o,268.0,21.0
58891.394014,o,317.0,26.0
58900.312058,o,225.0,10.0
58900.314978,o,229.0,12.0
58900.320884,o,227.0,10.0
58900.332034,o,211.0,12.0
58903.305834,o,186.0,11.0
58903.309148,o,176.0,11.0
58903.314714,o,194.0,11.0
58903.324924,o,197.0,10.0
58904.290844,o,165.0,11.0
58904.294126,o,178.0,10.0
58904.299659,o,170.0,11.0
58904.311223,o,168.0,10.0
58907.341405,o,172.0,12.0
58907.345095,o,161.0,11.0
58907.35157,o,173.0,12.0
58907.362725,o,154.0,14.0
58915.310799,o,130.0,23.0
58915.31363,o,194.0,21.0
58915.318752,o,158.0,27.0
58915.329919,o,111.0,29.0
58917.290563,o,128.0,32.0
58917.293461,o,168.0,33.0
58917.298871,o,127.0,36.0
58917.309273,o,126.0,35.0
58918.252134,o,147.0,31.0
58918.255354,o,92.0,29.0
58918.260905,o,146.0,28.0
58918.272836,o,62.0,31.0
58919.259915,o,170.0,17.0
58919.2636,o,129.0,16.0
58919.269186,o,127.0,18.0
58919.280014,o,120.0,24.0
58938.250763,o,62.0,38.0
58881.17121529998,ZTF_g,120.0941907434358,13.681726060940555
58885.25724539999,ZTF_g,309.16220777442254,39.82979891886021
58894.170856500044,ZTF_g,342.99200741807226,16.14420788624456
58900.13202549983,ZTF_g,247.98853328794712,14.905036702626601
58905.14999999991,ZTF_g,167.70947522332997,17.979348020346308
58913.12619209988,ZTF_g,73.35741177772395,12.532540215584733
58881.256018499844,ZTF_r,121.45695810560414,12.82633773416246
58885.158321800176,ZTF_r,246.77888632879612,17.091023100575903
58891.13057869999,ZTF_r,333.9325854663723,16.10782787377245
58894.1459144,ZTF_r,347.44334697530854,13.378163309965508
58905.172893499956,ZTF_r,200.97886996146462,18.112335046553667
58913.17246530019,ZTF_r,178.93067488774759,14.664756374398614
