mjd,filter,uJy,duJy
58959.372675,c,-3.0,9.0
58959.37821,c,1.0,10.0
58959.383437,c,-13.0,10.0
58959.393754,c,16.0,10.0
58963.376809,c,208.0,766.0
58963.382772,c,-31.0,134.0
58963.397504,c,-31.0,129.0
58983.308954,c,1811.0,15.0
58983.31485,c,1804.0,16.0
58983.319106,c,1817.0,16.0
58983.329258,c,1784.0,15.0
58987.353904,c,1964.0,17.0
58987.357588,c,1909.0,16.0
58987.363585,c,1917.0,16.0
58987.373726,c,1941.0,17.0
58991.30421,c,1703.0,16.0
58991.309337,c,1687.0,17.0
58991.31256,c,1715.0,16.0
58995.335458,c,1326.0,14.0
58995.339178,c,1289.0,14.0
58995.343791,c,1263.0,17.0
58995.347023,c,1292.0,14.0
58995.349325,c,1264.0,14.0
58995.353011,c,1280.0,14.0
58995.357263,c,1297.0,14.0
58995.364164,c,1278.0,15.0
59008.264536,c,502.0,19.0
59008.272398,c,525.0,14.0
59008.294802,c,540.0,16.0
59008.300942,c,511.0,14.0
59019.290724,c,259.0,54.0
59019.294385,c,272.0,47.0
59019.300374,c,72.0,43.0
59019.312311,c,296.0,84.0
59023.25402,c,231.0,20.0
59023.25818,c,242.0,14.0
59023.265089,c,206.0,11.0
59023.276563,c,236.0,11.0
58957.327466,o,15.0,10.0
58957.334827,o,11.0,8.0
58957.339798,o,37.0,9.0
58957.349615,o,46.0,10.0
58961.369152,o,33.0,12.0
58961.373157,o,64.0,9.0
58961.389944,o,-20.0,11.0
58961.403449,o,34.0,11.0
58965.31816,o,0.0,12.0
58965.332284,o,-2.0,10.0
58965.347473,o,52.0,12.0
58965.351078,o,42.0,12.0
58967.332381,o,69.0,12.0
58967.338075,o,23.0,12.0
58967.341296,o,-5.0,13.0
58967.357911,o,11.0,9.0
58968.374379,o,32.0,12.0
58968.393927,o,48.0,12.0
58968.398819,o,7.0,10.0
58968.404271,o,52.0,12.0
58969.320835,o,-10.0,10.0
58969.326008,o,-10.0,11.0
58969.328784,o,32.0,11.0
58969.348432,o,10.0,11.0
58975.31713,o,466.0,23.0
58975.320798,o,438.0,18.0
58975.325998,o,510.0,25.0
58975.335933,o,476.0,25.0
58977.406407,o,820.0,18.0
58977.411945,o,873.0,19.0
58977.41517,o,821.0,21.0
58977.430501,o,749.0,19.0
58979.372408,o,1162.0,18.0
58979.3761,o,1140.0,18.0
58979.383455,o,1216.0,17.0
58979.395419,o,1176.0,17.0
58981.330168,o,1363.0,16.0
58981.333455,o,1356.0,15.0
58981.338619,o,1363.0,15.0
58981.353794,o,1387.0,16.0
58985.318973,o,1512.0,19.0
58985.324518,o,1536.0,17.0
58985.329124,o,1492.0,19.0
58985.346506,o,1510.0,17.0
58989.276468,o,1479.0,16.0
58989.285772,o,1481.0,16.0
58989.288999,o,1474.0,17.0
58989.302851,o,1523.0,15.0
58993.344587,o,1098.0,15.0
58993.348283,o,1079.0,14.0
58993.354322,o,1084.0,15.0
58993.370485,o,1071.0,14.0
58997.272859,o,747.0,17.0
58997.276078,o,764.0,14.0
58997.288454,o,830.0,16.0
58997.294896,o,781.0,16.0
58999.265626,o,786.0,20.0
58999.268452,o,756.0,20.0
58999.274627,o,737.0,18.0
58999.285225,o,728.0,20.0
59001.331731,o,771.0,20.0
59001.335442,o,742.0,22.0
59001.34238,o,838.0,22.0
59001.353976,o,788.0,23.0
59003.33704,o,821.0,25.0
59003.340257,o,747.0,22.0
59003.348091,o,736.0,26.0
59003.362396,o,727.0,25.0
59005.25503,o,801.0,22.0
59005.258258,o,772.0,19.0
59005.268008,o,792.0,20.0
59005.284068,o,781.0,19.0
59007.263112,o,744.0,15.0
59007.266813,o,783.0,15.0
59007.272765,o,731.0,16.0
59007.282866,o,750.0,19.0
59009.28381,o,572.0,81.0
59009.28798,o,220.0,67.0
59009.298129,o,-261.0,135.0
59009.305079,o,659.0,17.0
59013.305852,o,503.0,13.0
59013.316073,o,532.0,12.0
59013.32163,o,533.0,12.0
59013.324869,o,526.0,12.0
59017.318474,o,452.0,13.0
59017.321256,o,426.0,12.0
59017.332026,o,418.0,13.0
59017.338494,o,435.0,13.0
59021.255172,o,336.0,16.0
59021.258403,o,310.0,12.0
59021.264399,o,353.0,15.0
59021.289176,o,349.0,14.0
59025.248914,o,305.0,35.0
59025.25217,o,226.0,26.0
59025.258651,o,272.0,16.0
59025.271244,o,295.0,12.0
59033.264503,o,151.0,19.0
59033.267725,o,260.0,20.0
59033.274631,o,186.0,21.0
59033.28754,o,245.0,21.0
58974.18976850016,ZTF_g,331.7544828474917,15.76181293428375
58980.19236110011,ZTF_g,1512.660965529556,39.07654155098318
58985.18864580011,ZTF_g,2131.3638723397485,65.98189957391658
58991.17246530019,ZTF_g,1745.508628559072,58.7114016911992
58997.18490740005,ZTF_g,1136.6857093811457,37.767037522222935
59001.16751160007,ZTF_g,792.18533783176,29.862280078002946
59005.18442129996,ZTF_g,465.75550849094367,22.59109106976903
59011.205868099816,ZTF_g,266.50490095667556,13.466537079881308
59014.20314810006,ZTF_g,227.7105750263205,10.089223975908602
59017.218344899826,ZTF_g,197.40365976023966,9.379643936348963
59020.200127299875,ZTF_g,168.88411407844376,10.385822153519735
59023.21675929986,ZTF_g,154.73252050298254,12.196533417105876
59033.19886570005,ZTF_g,130.7606889142441,16.647768006613358
58974.23094910011,ZTF_r,322.05555906501536,15.002151693005048
58980.248634300195,ZTF_r,1364.2526309835023,46.4656427128547
58991.20342590008,ZTF_r,1574.876127985855,42.16469194220496
58994.19185189996,ZTF_r,1211.7415503310442,40.97753498795104
58997.23158559995,ZTF_r,957.2002425729747,34.341924340119874
59001.2278355998,ZTF_r,875.6214663529483,30.549257743289154
59005.23725689994,ZTF_r,801.4041738822759,36.048888830251045
59011.238286999986,ZTF_r,600.9152144970028,20.441948439984508
59014.221215299796,ZTF_r,507.15790597844693,20.22380735532749
59017.23759259982,ZTF_r,403.7104581616283,15.456208303991499
59020.23872689996,ZTF_r,348.5093226510179,18.317712771055447
59033.17710650014,ZTF_r,202.8215045352955,15.066182150623066
