mjd,filter,uJy,duJy
58957.362558,c,-23.0,50.0
58957.365882,c,-64.0,61.0
58957.371728,c,74.0,57.0
58957.382503,c,51.0,41.0
58961.305415,c,33.0,15.0
58961.308653,c,42.0,13.0
58961.315173,c,18.0,13.0
58961.326748,c,7.0,13.0
58962.323512,c,19.0,22.0
58962.326733,c,59.0,38.0
58962.332373,c,13.0,37.0
58962.342558,c,22.0,33.0
58982.26857,c,3888.0,23.0
58982.271819,c,3874.0,25.0
58982.278244,c,3919.0,24.0
58982.288451,c,3910.0,25.0
58986.278885,c,7997.0,30.0
58986.282131,c,7981.0,30.0
58986.289023,c,8181.0,30.0
58986.300953,c,8008.0,32.0
58990.250632,c,10874.0,35.0
58990.254322,c,10836.0,35.0
58990.26124,c,10854.0,35.0
58990.271424,c,10968.0,34.0
58959.248926,o,-16.0,10.0
58959.258685,o,10.0,13.0
58959.262435,o,2.0,15.0
58959.275953,o,19.0,15.0
58960.324964,o,6.0,11.0
58960.328235,o,22.0,12.0
58960.333785,o,-4.0,13.0
58960.344954,o,-15.0,11.0
58964.290801,o,0.0,18.0
58964.294025,o,-28.0,57.0
58964.304163,o,-19.0,16.0
58964.309772,o,-27.0,12.0
58966.275737,o,-33.0,13.0
58966.279425,o,3.0,13.0
58966.287818,o,9.0,14.0
58966.299828,o,11.0,13.0
58970.309413,o,23.0,21.0
58970.31267,o,0.0,18.0
58970.318239,o,-2.0,23.0
58970.332559,o,15.0,19.0
58971.296625,o,-8.0,21.0
58971.300313,o,6.0,22.0
58971.307282,o,56.0,22.0
58971.31796,o,13.0,20.0
58974.271669,o,-21.0,28.0
58974.27765,o,-22.0,24.0
58974.284544,o,-33.0,24.0
58974.295178,o,16.0,24.0
58975.282741,o,75.0,24.0
58975.28827,o,27.0,20.0
58975.291496,o,46.0,28.0
58975.303496,o,104.0,22.0
58976.287838,o,199.0,28.0
58976.293856,o,242.0,25.0
58976.299846,o,224.0,24.0
58976.310008,o,218.0,25.0
58979.308055,o,1290.0,17.0
58979.313588,o,1296.0,17.0
58979.325132,o,1273.0,19.0
58979.329295,o,1304.0,21.0
58983.259588,o,4528.0,27.0
58983.262817,o,4550.0,26.0
