mjd,filter,uJy,duJy
58964.448703,c,-12.0,21.0
58964.451906,c,9.0,13.0
58964.454651,c,2.0,13.0
58964.459736,c,-33.0,88.0
58964.463006,c,28.0,15.0
58964.464835,c,-17.0,18.0
58968.425507,c,9.0,10.0
58968.427838,c,-4.0,9.0
58968.430586,c,-2.0,9.0
58968.435657,c,-8.0,8.0
58968.438401,c,-7.0,14.0
58968.440228,c,-10.0,11.0
58984.436283,c,24.0,7.0
58984.452139,c,25.0,7.0
58984.455798,c,25.0,7.0
58988.43059,c,88.0,9.0
58988.433847,c,66.0,9.0
58988.439828,c,68.0,9.0
58988.449917,c,60.0,9.0
58992.37977,c,71.0,8.0
58992.3831,c,90.0,9.0
58992.389598,c,72.0,8.0
58992.39706,c,86.0,8.0
58996.573854,c,92.0,13.0
59011.353701,c,62.0,8.0
59011.357865,c,46.0,8.0
59011.364782,c,55.0,9.0
59011.37777,c,51.0,9.0
59015.357815,c,56.0,7.0
59015.361017,c,65.0,8.0
59015.367002,c,36.0,8.0
59015.377089,c,23.0,7.0
59020.371133,c,90.0,37.0
59020.374801,c,12.0,9.0
59020.380746,c,31.0,9.0
59020.391288,c,24.0,23.0
59040.315336,c,-3.0,8.0
59040.319522,c,5.0,8.0
59040.327793,c,6.0,8.0
59040.350648,c,12.0,10.0
58962.458337,o,-17.0,13.0
58962.463908,o,-20.0,14.0
58962.468214,o,34.0,25.0
58962.479944,o,-42.0,14.0
58966.425838,o,-1.0,8.0
58966.427681,o,-12.0,8.0
58966.431367,o,-10.0,9.0
58966.437355,o,-1.0,8.0
58970.42925,o,-4.0,12.0
58970.431089,o,12.0,13.0
58970.43385,o,-6.0,11.0
58970.457617,o,9.0,11.0
58972.463368,o,-16.0,15.0
58972.466593,o,-11.0,12.0
58972.472569,o,27.0,16.0
58972.483395,o,-4.0,16.0
58974.408252,o,6.0,16.0
58974.410098,o,8.0,13.0
58974.415728,o,-29.0,12.0
58974.440132,o,12.0,16.0
58976.39026,o,62.0,28.0
58976.394853,o,-23.0,27.0
58976.400508,o,31.0,26.0
58976.419551,o,26.0,28.0
58978.451857,o,10.0,15.0
58978.455113,o,5.0,14.0
58978.460635,o,24.0,14.0
58978.471747,o,16.0,12.0
58980.446628,o,4.0,13.0
58980.449395,o,-6.0,12.0
58980.481368,o,22.0,76.0
58980.489204,o,0.0,31.0
58980.62211,o,-10.0,20.0
58982.407894,o,27.0,8.0
58982.409737,o,8.0,8.0
58982.412959,o,7.0,8.0
58982.419423,o,21.0,10.0
58986.44707,o,39.0,10.0
58986.450298,o,34.0,8.0
58986.455839,o,29.0,8.0
58986.479808,o,42.0,12.0
58990.385043,o,70.0,10.0
58990.389723,o,76.0,9.0
58990.395261,o,68.0,12.0
58990.414393,o,63.0,9.0
58994.406002,o,72.0,12.0
58994.409226,o,88.0,9.0
58994.415689,o,88.0,10.0
58994.450681,o,102.0,10.0
58998.421165,o,99.0,11.0
58998.424848,o,80.0,12.0
58998.431298,o,94.0,10.0
58998.466511,o,92.0,9.0
59000.389525,o,50.0,12.0
59000.393196,o,65.0,12.0
59000.399625,o,80.0,13.0
59000.409728,o,58.0,10.0
59002.407062,o,62.0,14.0
59002.410284,o,72.0,13.0
59002.417702,o,25.0,14.0
59002.430707,o,59.0,11.0
59004.45038,o,30.0,14.0
59004.455541,o,74.0,19.0
59004.458778,o,90.0,18.0
59004.468972,o,90.0,18.0
59006.433194,o,66.0,16.0
59006.436455,o,84.0,17.0
59006.471452,o,52.0,21.0
59008.394552,o,94.0,24.0
59008.397754,o,119.0,37.0
59008.404197,o,10.0,27.0
59008.414271,o,76.0,30.0
59010.368073,o,52.0,11.0
59010.371297,o,77.0,11.0
59010.376837,o,40.0,12.0
59010.380065,o,78.0,11.0
59010.382841,o,39.0,13.0
59010.387,o,20.0,16.0
59010.388381,o,59.0,17.0
59010.400359,o,46.0,11.0
59014.361849,o,49.0,11.0
59014.365069,o,52.0,9.0
59014.370595,o,62.0,10.0
59014.375202,o,50.0,9.0
59014.378426,o,46.0,9.0
59014.381189,o,62.0,10.0
59014.383954,o,53.0,7.0
59014.394601,o,48.0,9.0
59018.367618,o,76.0,13.0
59018.371305,o,23.0,13.0
59018.378222,o,24.0,16.0
59018.388805,o,58.0,11.0
59026.34554,o,42.0,13.0
59026.348767,o,48.0,10.0
59026.356731,o,31.0,10.0
59026.368273,o,44.0,9.0
59028.329675,o,43.0,11.0
59028.333807,o,31.0,11.0
59028.342071,o,26.0,10.0
59028.354515,o,36.0,9.0
59030.331785,o,20.0,10.0
59030.335012,o,35.0,10.0
59030.34148,o,32.0,12.0
59030.35348,o,30.0,11.0
59032.32873,o,39.0,17.0
59032.34804,o,-5.0,17.0
59034.352149,o,22.0,23.0
59034.35537,o,30.0,23.0
59034.36182,o,5.0,18.0
59034.371993,o,33.0,17.0
59036.344317,o,-4.0,19.0
59036.347555,o,22.0,16.0
59036.353964,o,19.0,16.0
59036.364144,o,34.0,15.0
59038.323988,o,28.0,11.0
59038.32721,o,10.0,12.0
59038.333202,o,19.0,12.0
59038.343334,o,35.0,13.0
58985.30201390013,ZTF_g,38.99779033147661,6.843876451073776
58991.33210649993,ZTF_g,85.49249664364082,7.278623410628997
58994.2654281999,ZTF_g,98.04602700613025,6.570948897849812
59000.402129599825,ZTF_g,94.27418790453977,11.615986596880889
59019.27048610011,ZTF_g,21.46881136008502,4.138217562321878
58985.28607639996,ZTF_r,35.06549710164629,5.306069281375086
58991.25462959986,ZTF_r,76.99065244432165,6.942197141424654
