mjd,filter,uJy,duJy
58995.438972,c,-100.0,14.0
58995.44219,c,-12.0,10.0
58995.447323,c,-43.0,14.0
58995.461209,c,-7.0,9.0
58996.55536,c,0.0,9.0
58996.562302,c,7.0,9.0
58996.569715,c,-72.0,15.0
58996.570173,c,13.0,9.0
58996.573397,c,27.0,9.0
59011.379154,c,259.0,9.0
59011.389258,c,242.0,10.0
59011.403904,c,232.0,9.0
59011.407605,c,223.0,10.0
59015.382122,c,295.0,10.0
59015.41632,c,296.0,9.0
59015.420456,c,286.0,10.0
59015.436672,c,291.0,10.0
59020.372514,c,282.0,9.0
59020.376173,c,282.0,9.0
59020.382575,c,279.0,8.0
59023.347958,c,263.0,8.0
59023.351948,c,226.0,8.0
59023.38747,c,252.0,8.0
59023.408875,c,259.0,9.0
59040.331907,c,82.0,8.0
59040.335581,c,71.0,7.0
59040.352477,c,40.0,7.0
59040.359571,c,79.0,9.0
59043.416866,c,58.0,10.0
59043.420561,c,81.0,8.0
59043.427157,c,43.0,10.0
59043.432869,c,74.0,10.0
59047.377797,c,46.0,12.0
59047.38101,c,52.0,13.0
59047.387974,c,69.0,21.0
59047.409222,c,36.0,16.0
59051.364246,c,28.0,9.0
59051.378287,c,58.0,10.0
59051.383811,c,46.0,10.0
59051.387027,c,46.0,9.0
58993.480622,o,-37.0,23.0
58993.493508,o,-28.0,14.0
58993.504577,o,23.0,31.0
58993.51504,o,-61.0,22.0
58997.420449,o,-74.0,149.0
58999.320947,o,-62.0,10.0
58999.32375,o,-18.0,10.0
58999.344304,o,-4.0,13.0
58999.345315,o,-27.0,12.0
58999.370361,o,-18.0,13.0
58999.370819,o,-178.0,20.0
58999.373103,o,24.0,12.0
59000.401459,o,-20.0,9.0
59000.404682,o,-8.0,12.0
59000.445649,o,74.0,13.0
59001.426197,o,15.0,12.0
59001.43532,o,-12.0,12.0
59001.442797,o,40.0,14.0
59001.454928,o,33.0,11.0
59003.406709,o,23.0,17.0
59003.410402,o,25.0,21.0
59003.416,o,-2.0,17.0
59003.426088,o,-16.0,14.0
59004.461093,o,104.0,20.0
59004.464813,o,5.0,20.0
59004.470358,o,57.0,21.0
59005.44035,o,23.0,18.0
59005.443893,o,120.0,22.0
59005.472581,o,50.0,18.0
59005.50095,o,36.0,20.0
59007.381403,o,91.0,19.0
59007.38482,o,63.0,18.0
59007.41674,o,109.0,17.0
59007.432716,o,130.0,18.0
59008.406484,o,197.0,24.0
59008.409686,o,151.0,16.0
59008.415192,o,151.0,26.0
59008.426184,o,619.0,7336.0
59009.426122,o,86.0,33.0
59009.441651,o,146.0,16.0
59010.381451,o,178.0,10.0
59010.384696,o,154.0,11.0
59010.39345,o,212.0,11.0
59010.404503,o,153.0,10.0
59013.405588,o,56.0,15.0
59013.43093,o,174.0,12.0
59013.460833,o,224.0,12.0
59014.377044,o,233.0,10.0
59014.380267,o,212.0,9.0
59014.386715,o,253.0,10.0
59014.397837,o,248.0,10.0
59017.369138,o,223.0,10.0
59017.372458,o,219.0,10.0
59017.382239,o,240.0,9.0
59017.399023,o,238.0,9.0
59021.338818,o,209.0,9.0
59021.342047,o,204.0,10.0
59021.352183,o,214.0,12.0
59021.358227,o,198.0,10.0
59025.380472,o,189.0,9.0
59025.39899,o,168.0,8.0
59025.413897,o,171.0,9.0
59025.428329,o,152.0,9.0
59026.359492,o,130.0,14.0
59027.342175,o,114.0,12.0
59027.348788,o,101.0,11.0
59027.353507,o,46.0,12.0
59027.364963,o,68.0,11.0
59029.359008,o,89.0,12.0
59029.365476,o,110.0,12.0
59029.369169,o,130.0,11.0
59029.39289,o,124.0,14.0
59030.352555,o,221.0,16.0
