mjd,filter,uJy,duJy
59022.589738,c,-2.0,30.0
59022.595243,c,1239.0,1583.0
59022.61105,c,-218.0,86.0
59030.584325,c,20.0,10.0
59030.602282,c,14.0,9.0
59030.607791,c,0.0,10.0
59030.615133,c,37.0,14.0
59049.587302,c,440.0,12.0
59049.59146,c,498.0,12.0
59049.609762,c,467.0,11.0
59049.619858,c,445.0,14.0
59050.572799,c,458.0,12.0
59050.575595,c,439.0,13.0
59050.582045,c,474.0,12.0
59050.59357,c,460.0,12.0
59058.547469,c,278.0,12.0
59058.550683,c,317.0,12.0
59058.557575,c,324.0,11.0
59058.568179,c,315.0,11.0
59078.540031,c,132.0,8.0
59078.542316,c,114.0,10.0
59078.545091,c,107.0,9.0
59078.550164,c,123.0,9.0
59082.525908,c,87.0,9.0
59082.528693,c,99.0,10.0
59082.533972,c,82.0,8.0
59082.541826,c,80.0,10.0
59086.516193,c,60.0,9.0
59086.518121,c,61.0,10.0
59086.521349,c,79.0,9.0
59086.526393,c,83.0,9.0
59020.588132,o,13.0,13.0
59020.593388,o,-20.0,14.0
59020.59755,o,0.0,13.0
59020.617127,o,-49.0,30.0
59024.590631,o,-22.0,11.0
59024.597535,o,-4.0,11.0
59024.611193,o,-14.0,16.0
59024.615341,o,40.0,21.0
59028.582204,o,-19.0,9.0
59028.59199,o,0.0,9.0
59028.609394,o,0.0,13.0
59028.615337,o,-36.0,17.0
59033.581339,o,88.0,19.0
59033.585474,o,62.0,16.0
59033.603839,o,75.0,16.0
59033.614429,o,43.0,14.0
59036.56621,o,148.0,18.0
59036.56898,o,180.0,18.0
59036.574515,o,193.0,20.0
59036.594805,o,177.0,21.0
59037.590435,o,210.0,21.0
59037.606453,o,217.0,21.0
59037.611985,o,262.0,22.0
59037.620649,o,181.0,32.0
59038.557983,o,228.0,21.0
59038.561644,o,268.0,20.0
59038.569059,o,266.0,22.0
59038.582473,o,275.0,19.0
59039.581647,o,317.0,28.0
59039.584874,o,279.0,27.0
59039.604127,o,297.0,20.0
59039.614263,o,309.0,23.0
59040.591789,o,309.0,17.0
59040.597312,o,311.0,16.0
59040.612608,o,330.0,16.0
59040.617216,o,280.0,17.0
59041.579545,o,340.0,20.0
59041.586442,o,336.0,22.0
59041.60478,o,362.0,21.0
59041.612175,o,351.0,22.0
59044.596143,o,415.0,24.0
59044.612852,o,366.0,22.0
59044.617005,o,373.0,23.0
59048.597402,o,384.0,15.0
59048.607689,o,373.0,13.0
59048.616605,o,366.0,13.0
59048.621674,o,396.0,20.0
59052.595696,o,354.0,10.0
59052.611499,o,362.0,13.0
59052.61663,o,385.0,13.0
59059.531668,o,239.0,11.0
59059.536754,o,237.0,10.0
59059.542763,o,249.0,10.0
59059.553376,o,228.0,9.0
59060.518931,o,240.0,10.0
59060.522171,o,222.0,11.0
59060.527706,o,237.0,10.0
59060.537851,o,224.0,11.0
59061.561505,o,206.0,10.0
59061.564705,o,218.0,10.0
59061.570203,o,230.0,11.0
59061.582111,o,223.0,13.0
59062.522854,o,232.0,18.0
59062.52607,o,187.0,18.0
59062.531667,o,228.0,16.0
59062.544101,o,208.0,14.0
59063.511656,o,213.0,19.0
59063.514438,o,212.0,21.0
59063.517205,o,194.0,22.0
59063.527819,o,214.0,20.0
59064.569955,o,188.0,19.0
59064.574496,o,198.0,21.0
59064.581886,o,166.0,19.0
59064.604038,o,187.0,17.0
59072.587186,o,237.0,15.0
59072.589034,o,195.0,16.0
59072.592266,o,192.0,13.0
59072.607036,o,179.0,21.0
59072.630448,o,200.0,20.0
59073.566859,o,215.0,12.0
59073.56869,o,197.0,11.0
59073.573771,o,214.0,13.0
59073.579306,o,199.0,13.0
59074.576016,o,189.0,11.0
59074.579263,o,195.0,12.0
59074.602483,o,195.0,10.0
59074.614284,o,204.0,10.0
59076.556662,o,209.0,12.0
59076.5585,o,194.0,11.0
59076.561741,o,209.0,11.0
59076.578708,o,187.0,12.0
59080.518418,o,158.0,13.0
59080.520718,o,142.0,12.0
59080.523485,o,169.0,11.0
59080.539409,o,170.0,10.0
59080.633793,o,66.0,30.0
59084.529979,o,117.0,11.0
59084.531829,o,125.0,10.0
59084.535077,o,121.0,9.0
59084.552175,o,146.0,8.0
59088.532138,o,96.0,12.0
59088.534903,o,101.0,8.0
59088.540521,o,99.0,9.0
59090.537445,o,99.0,12.0
59090.539275,o,79.0,12.0
59090.542021,o,74.0,11.0
59090.547065,o,100.0,11.0
59091.485264,o,70.0,23.0
59091.493091,o,97.0,21.0
59092.465267,o,61.0,20.0
59092.468037,o,99.0,21.0
59092.471261,o,48.0,22.0
59092.479574,o,105.0,23.0
59093.470291,o,107.0,26.0
59093.473516,o,140.0,27.0
59093.477188,o,117.0,23.0
59093.484963,o,54.0,24.0
59094.437011,o,41.0,26.0
59094.440692,o,94.0,29.0
59094.44345,o,80.0,25.0
59094.455533,o,86.0,27.0
