mjd,filter,uJy,duJy
59059.562238,c,-4.0,8.0
59059.565441,c,2.0,7.0
59059.570588,c,10.0,7.0
59059.606164,c,6.0,8.0
59079.381739,c,36.0,10.0
59079.416181,c,60.0,9.0
59079.424716,c,48.0,8.0
59079.427945,c,51.0,10.0
59083.423055,c,101.0,9.0
59083.425516,c,96.0,9.0
59083.429257,c,99.0,10.0
59083.434748,c,102.0,8.0
59087.508075,c,143.0,12.0
59087.511691,c,121.0,11.0
59087.517002,c,154.0,11.0
59087.552434,c,140.0,11.0
59107.434441,c,40.0,9.0
59107.437642,c,34.0,8.0
59107.443154,c,58.0,9.0
59107.454527,c,53.0,9.0
59111.475644,c,26.0,13.0
59111.478502,c,38.0,11.0
59111.507535,c,29.0,16.0
59111.511555,c,30.0,15.0
59115.468037,c,25.0,9.0
59115.468495,c,14.0,10.0
59115.471245,c,16.0,10.0
59115.47216,c,38.0,10.0
59115.477682,c,19.0,8.0
59115.479061,c,28.0,10.0
59115.488758,c,27.0,8.0
59115.491964,c,27.0,15.0
59135.42338,c,19.0,11.0
59135.427079,c,25.0,10.0
59135.432629,c,10.0,13.0
59135.443639,c,13.0,10.0
59061.474179,o,10.0,10.0
59061.476021,o,18.0,9.0
59061.478783,o,-4.0,13.0
59061.483866,o,-14.0,10.0
59065.528162,o,-4.0,19.0
59065.532314,o,-2.0,20.0
59065.537935,o,-16.0,19.0
59065.568505,o,-11.0,22.0
59069.474009,o,26.0,17.0
59069.498242,o,44.0,16.0
59069.5015,o,18.0,14.0
59069.504266,o,16.0,14.0
59071.450932,o,-8.0,12.0
59071.454148,o,-4.0,9.0
59071.457836,o,-4.0,11.0
59071.46677,o,2.0,10.0
59073.513842,o,14.0,8.0
59073.517191,o,24.0,9.0
59073.527798,o,8.0,11.0
59073.533753,o,-12.0,10.0
59075.506339,o,8.0,10.0
59075.510003,o,603.0,326.0
59075.515166,o,16.0,10.0
59075.525967,o,7.0,10.0
59077.561319,o,13.0,9.0
59077.564487,o,21.0,9.0
59077.590359,o,38.0,8.0
59077.603147,o,45.0,9.0
59085.387756,o,127.0,15.0
59085.416506,o,147.0,11.0
59085.418808,o,121.0,14.0
59085.432774,o,125.0,13.0
59089.454142,o,165.0,12.0
59089.45651,o,167.0,18.0
59089.456971,o,132.0,13.0
59089.462944,o,154.0,14.0
59089.467187,o,155.0,13.0
59089.472908,o,145.0,12.0
59093.363184,o,148.0,18.0
59093.36643,o,174.0,21.0
59093.36919,o,172.0,30.0
59093.370573,o,166.0,24.0
59093.380266,o,178.0,21.0
59097.489908,o,73.0,52.0
59097.493132,o,132.0,51.0
59097.498517,o,60.0,55.0
59097.510002,o,140.0,46.0
59101.433457,o,108.0,9.0
59101.438112,o,90.0,10.0
59101.46381,o,107.0,10.0
59101.469005,o,95.0,11.0
59103.459058,o,72.0,13.0
59103.46226,o,169.0,12.0
59103.472435,o,108.0,11.0
59103.479349,o,108.0,12.0
59105.424594,o,88.0,19.0
59105.431962,o,100.0,12.0
59105.442325,o,59.0,12.0
59105.445692,o,46.0,12.0
59109.352511,o,57.0,9.0
59109.354354,o,70.0,9.0
59109.358059,o,69.0,9.0
59109.365263,o,52.0,9.0
59113.403123,o,24.0,13.0
59113.41315,o,30.0,24.0
59113.422536,o,48.0,25.0
59113.427889,o,42.0,21.0
59117.356752,o,42.0,12.0
59117.369438,o,46.0,10.0
59117.371315,o,15.0,12.0
59117.374715,o,24.0,12.0
59119.401512,o,29.0,14.0
59119.40243,o,18.0,15.0
59119.404731,o,32.0,15.0
59119.405657,o,25.0,14.0
59119.431683,o,38.0,15.0
59119.432834,o,29.0,18.0
59119.439392,o,42.0,20.0
59119.441796,o,69.0,22.0
59121.385149,o,42.0,15.0
59121.398591,o,25.0,15.0
59121.404371,o,30.0,14.0
59121.407184,o,23.0,14.0
59125.3991,o,28.0,15.0
59125.404677,o,30.0,20.0
59125.408034,o,27.0,15.0
59125.417886,o,27.0,17.0
59127.390826,o,45.0,34.0
59127.39392,o,38.0,36.0
59127.400151,o,-38.0,29.0
59127.411074,o,-56.0,55.0
59129.414271,o,33.0,16.0
59129.417497,o,29.0,11.0
59129.4227,o,7.0,10.0
59129.435674,o,45.0,9.0
59131.420603,o,34.0,14.0
59131.423813,o,16.0,14.0
59131.433983,o,6.0,14.0
59131.441388,o,27.0,13.0
59133.381748,o,3.0,8.0
59133.385072,o,17.0,10.0
59133.390278,o,19.0,10.0
59133.401755,o,0.0,12.0
59077.37496529985,ZTF_g,27.290029177380376,3.9429946128734854
59077.41753470013,ZTF_g,25.899441560738413,3.348323129634399
59079.33246529987,ZTF_g,41.8898494951771,3.4846579851105393
59080.42111109989,ZTF_g,51.22854250383785,4.734219415491084
59080.42792819999,ZTF_g,51.34521775029655,4.624686816470662
59081.30696759978,ZTF_g,60.327093230564635,3.851403457547759
59084.39893520018,ZTF_g,93.11464674596292,4.099277164054238
59085.37208329979,ZTF_g,109.36007515047177,4.379375310189914
59087.33765049977,ZTF_g,117.6603131725032,4.239642024999891
59088.32693290012,ZTF_g,117.50490615966787,9.349247456616869
59089.28723380016,ZTF_g,111.61680839254487,11.338487705134316
59090.28557869978,ZTF_g,110.44437452052411,9.564156571009418
59090.401215299964,ZTF_g,108.31564744346458,6.632151585264255
59091.305763899814,ZTF_g,103.38368307984749,12.124669010589502
59092.303993099835,ZTF_g,93.37271779962933,10.442076552843531
59093.40281250002,ZTF_g,84.1830002931462,14.786610872265607
59112.3041087999,ZTF_g,13.079766770089316,3.9945604429127677
59114.31745370012,ZTF_g,13.0280674990664,3.708191959051252
59077.30130789988,ZTF_r,28.57424736081735,4.731841161261799
59078.30521989986,ZTF_r,40.44622560682879,4.516951191714219
59079.37226849981,ZTF_r,48.188210633430565,4.5550173622609105
59080.326053199824,ZTF_r,59.14946216181547,4.615185163750515
59080.370833300054,ZTF_r,57.169290179845454,6.043247861590969
59081.37348379986,ZTF_r,76.50918927268998,4.35178728461912
59084.30667820014,ZTF_r,118.14191331431125,5.703660241149434
59086.33601849992,ZTF_r,148.37666315511805,4.561317076239699
59087.28435190022,ZTF_r,156.99463085884247,7.810417421534093
59087.37133099977,ZTF_r,160.31686070628948,5.9468021669236295
59088.43554400001,ZTF_r,160.75111723751394,9.453831845958144
59090.456666700076,ZTF_r,173.4746420364418,9.533409008158527
59093.35262730019,ZTF_r,162.29532128867942,12.896568592312624
59094.408101900015,ZTF_r,151.81965493507417,16.718237977198008
59096.36543980008,ZTF_r,135.28398886359108,9.347574286770403
59098.33031249978,ZTF_r,121.48213056209732,12.42275047603673
59098.35767359985,ZTF_r,128.0278345678864,9.45143814983915
59099.32667820016,ZTF_r,117.60159174953661,10.022485776050543
59104.4352545999,ZTF_r,87.67020054475576,14.347438359011443
59106.36728010001,ZTF_r,75.41851902172091,9.779182803415836
59109.24114579987,ZTF_r,57.853548240014696,6.9435094142371145
59112.34260419989,ZTF_r,49.76403650572936,5.454807177098492
59113.277303200215,ZTF_r,42.454213537053995,4.388164209247136
59115.32407409977,ZTF_r,37.32302193144973,3.8912615548359133
59116.317858799826,ZTF_r,37.62835216946858,4.971014653404658
59116.36737270001,ZTF_r,35.407364350801316,4.472027607913586
59118.24599540001,ZTF_r,31.874339934058682,6.37048347855581
