mjd,filter,uJy,duJy
59119.613762,c,3.0,15.0
59119.619291,c,27.0,12.0
59119.630822,c,19.0,11.0
59119.640184,c,-82.0,106.0
59139.623811,c,382.0,126.0
59139.629604,c,591.0,101.0
59139.633262,c,555.0,46.0
59139.643123,c,360.0,226.0
59143.571767,c,1182.0,390.0
59143.58494,c,751.0,279.0
59170.549124,c,96.0,16.0
59170.550953,c,49.0,13.0
59170.554628,c,80.0,8.0
59170.559664,c,83.0,8.0
59109.610981,o,28.0,15.0
59109.620858,o,2.0,17.0
59109.631463,o,35.0,18.0
59109.635147,o,54.0,23.0
59117.601376,o,18.0,12.0
59117.607399,o,7.0,14.0
59117.624438,o,-4.0,10.0
59117.629059,o,9.0,13.0
59125.578719,o,194.0,23.0
59125.581959,o,127.0,25.0
59125.588886,o,148.0,22.0
59125.605517,o,144.0,21.0
59127.577152,o,254.0,26.0
59127.580836,o,231.0,23.0
59127.587249,o,228.0,24.0
59127.59736,o,251.0,22.0
59129.61156,o,289.0,14.0
59129.622503,o,303.0,14.0
59129.626658,o,321.0,16.0
59129.637129,o,327.0,18.0
59140.550775,o,426.0,14.0
59140.554946,o,428.0,12.0
59140.561393,o,419.0,13.0
59140.577548,o,448.0,15.0
59145.609409,o,300.0,11.0
59145.629773,o,362.0,10.0
59145.631613,o,367.0,11.0
59145.637447,o,396.0,11.0
59153.577289,o,244.0,17.0
59153.595426,o,228.0,16.0
59153.613745,o,246.0,15.0
59153.628989,o,250.0,20.0
59154.580285,o,216.0,24.0
59154.583521,o,249.0,22.0
59154.590403,o,229.0,22.0
59154.600509,o,273.0,22.0
59155.574278,o,116.0,61.0
59155.577495,o,174.0,71.0
59156.547951,o,228.0,18.0
59156.550277,o,269.0,16.0
59156.554419,o,249.0,17.0
59156.565491,o,233.0,18.0
59157.520468,o,268.0,19.0
59157.525088,o,226.0,20.0
59157.532456,o,219.0,18.0
59157.542175,o,305.0,17.0
59158.535973,o,299.0,33.0
59158.543329,o,310.0,43.0
59158.546144,o,206.0,22.0
59158.551662,o,238.0,24.0
59179.604108,o,96.0,10.0
59179.630316,o,67.0,10.0
59179.633541,o,93.0,12.0
59179.639562,o,102.0,12.0
59180.490584,o,109.0,12.0
59180.500258,o,54.0,12.0
59180.503945,o,162.0,13.0
59181.440918,o,107.0,21.0
59181.445063,o,120.0,16.0
59181.455672,o,122.0,17.0
59181.463968,o,118.0,17.0
59182.481672,o,117.0,23.0
59182.483963,o,118.0,19.0
59182.486719,o,133.0,20.0
59182.492668,o,116.0,18.0
59183.461519,o,121.0,42.0
59124.50834489986,ZTF_g,119.65939425303239,17.756055619986288
59126.485057900194,ZTF_g,201.18148058840552,15.506809237045852
59128.46646990022,ZTF_g,314.7690330968602,19.08882746849975
59130.51438659988,ZTF_g,405.0404529095704,19.041465665298183
59135.47516199993,ZTF_g,520.5283645522054,19.994119545838934
59137.456180599984,ZTF_g,551.7953038244655,25.59884961390067
59139.44410880003,ZTF_g,534.3172558376826,22.609445195049663
59141.463148099836,ZTF_g,472.97087695072713,18.651603864087686
59145.46351849986,ZTF_g,392.7831059365034,17.01849850150726
59149.516018500086,ZTF_g,272.2448042099688,14.63393396841331
59150.50636570016,ZTF_g,244.15498732911558,13.043719105636383
59151.469432900194,ZTF_g,231.99829863834313,14.534405856101715
59153.508842600044,ZTF_g,180.5109700176822,13.179920552593853
59158.48238429986,ZTF_g,118.1430014465565,11.894212456882732
59165.443159699906,ZTF_g,49.63741998564485,7.0594750863360165
59168.46439810004,ZTF_g,46.10779992889308,7.833703660178849
59170.462800899986,ZTF_g,37.11931900441403,6.096624589878871
59173.44219909981,ZTF_g,23.25733775674282,6.776580886398035
59124.46290510008,ZTF_r,136.15638116824414,15.540722171105736
59126.50776620023,ZTF_r,209.34953471639983,12.905438704323446
59130.523043999914,ZTF_r,379.46663839498007,19.703667095801357
59135.503842600156,ZTF_r,503.5748128470786,25.512578491305135
59137.503275500145,ZTF_r,535.4843713111002,20.87155843346295
59139.516944400035,ZTF_r,510.1538869908951,18.726073853577333
59141.48435189994,ZTF_r,495.2950640887265,21.804983333067945
59143.49851850001,ZTF_r,464.1303838275716,18.925403487063633
59151.524687500205,ZTF_r,290.62783052576685,13.605037232902962
59153.478993100114,ZTF_r,283.64086425384255,17.172855484056438
59156.511423599906,ZTF_r,268.3415969420307,16.103155678097046
59158.506736100186,ZTF_r,262.10010806010087,18.838644686722198
59168.43733800016,ZTF_r,183.45721654246643,11.812558707019846
59170.506782399956,ZTF_r,155.20124472188692,10.95959809402288
59180.444236100186,ZTF_r,107.8854307748859,18.908736559398875
59182.47486109985,ZTF_r,95.17699745327293,12.938407666054108
59185.393912000116,ZTF_r,97.55285858058822,10.607171654402515
59194.464513900224,ZTF_r,62.28542038612799,9.261198020253692
59196.46362269996,ZTF_r,50.6110328139032,8.975303019494893
