mjd,filter,uJy,duJy
59108.475783,c,-5.0,9.0
59108.478551,c,-2.0,11.0
59108.481306,c,-8.0,10.0
59108.486382,c,1.0,12.0
59136.464762,c,102.0,11.0
59136.468459,c,108.0,12.0
59136.474406,c,102.0,12.0
59136.521879,c,90.0,12.0
59140.441881,c,77.0,13.0
59140.445081,c,91.0,14.0
59140.450576,c,88.0,15.0
59140.460968,c,74.0,14.0
59144.43884,c,74.0,10.0
59144.442039,c,65.0,11.0
59144.449843,c,62.0,10.0
59144.4836,c,57.0,9.0
59104.5346,o,-12.0,12.0
59104.538272,o,-6.0,12.0
59104.572939,o,-8.0,13.0
59104.601444,o,-5.0,13.0
59106.484127,o,14.0,10.0
59106.486903,o,10.0,10.0
59106.508995,o,11.0,10.0
59106.512227,o,-5.0,10.0
59110.467382,o,1.0,15.0
59110.469226,o,8.0,40.0
59110.472456,o,6.0,13.0
59110.480873,o,-6.0,16.0
59114.467028,o,29.0,15.0
59114.46979,o,3.0,14.0
59114.473022,o,13.0,14.0
59114.482841,o,-22.0,18.0
59118.453935,o,-3.0,13.0
59118.456697,o,5.0,17.0
59118.45946,o,20.0,12.0
59118.478816,o,-9.0,13.0
59120.496662,o,6.0,22.0
59120.499869,o,25.0,23.0
59120.50583,o,14.0,15.0
59120.51685,o,14.0,53.0
59122.488668,o,69.0,18.0
59122.491896,o,52.0,19.0
59122.497486,o,-189.0,48.0
59122.532868,o,40.0,19.0
59126.429634,o,65.0,20.0
59126.432872,o,76.0,22.0
59126.436108,o,63.0,19.0
59126.447585,o,65.0,22.0
59130.46411,o,86.0,12.0
59130.467346,o,63.0,15.0
59130.472886,o,94.0,15.0
59130.483144,o,108.0,14.0
59131.6131,o,61.0,18.0
59131.616325,o,103.0,19.0
59131.626448,o,71.0,19.0
59131.636002,o,112.0,25.0
59132.471195,o,97.0,17.0
59132.476771,o,96.0,18.0
59132.480886,o,74.0,16.0
59132.491428,o,100.0,15.0
59134.478403,o,92.0,11.0
59134.481234,o,77.0,11.0
59134.487884,o,83.0,11.0
59134.498315,o,75.0,11.0
59138.446289,o,92.0,34.0
59138.449518,o,48.0,31.0
59138.455051,o,62.0,34.0
59138.490371,o,92.0,12.0
59142.32493,o,-9.0,55.0
59142.329997,o,101.0,25.0
59142.341101,o,62.0,16.0
59142.346219,o,81.0,20.0
59146.441858,o,74.0,11.0
59146.445079,o,60.0,13.0
59146.450608,o,59.0,12.0
59146.462121,o,60.0,9.0
59148.412752,o,65.0,20.0
59148.415531,o,48.0,19.0
59148.421034,o,36.0,26.0
59148.43121,o,16.0,25.0
59154.428094,o,43.0,27.0
59154.431778,o,14.0,22.0
59154.438223,o,8.0,25.0
59154.448381,o,53.0,29.0
59156.44248,o,29.0,22.0
59156.44616,o,38.0,20.0
59156.451654,o,59.0,18.0
59156.463596,o,80.0,26.0
59160.397608,o,25.0,30.0
59160.40081,o,27.0,36.0
59160.406766,o,24.0,50.0
59160.416836,o,-67.0,88.0
59162.395993,o,57.0,12.0
59162.399228,o,43.0,13.0
59162.406138,o,85.0,11.0
59162.417203,o,13.0,15.0
59170.37463,o,1.0,24.0
59170.378326,o,33.0,11.0
59170.41039,o,23.0,13.0
59170.415957,o,32.0,14.0
59180.36359,o,38.0,24.0
59180.366792,o,49.0,22.0
59180.373203,o,21.0,26.0
59180.376008,o,67.0,28.0
59180.37921,o,58.0,27.0
59180.383326,o,28.0,26.0
59180.385156,o,28.0,28.0
59180.395253,o,30.0,27.0
59182.326517,o,46.0,39.0
59182.331126,o,31.0,34.0
59182.33389,o,-24.0,23.0
59182.362537,o,16.0,42.0
59182.36623,o,6.0,29.0
59182.371299,o,18.0,27.0
59125.41504629981,ZTF_g,60.38930062135216,14.421792397641147
59129.314641200006,ZTF_g,70.13099490348411,10.494161105457536
59131.33078699978,ZTF_g,85.59760236009333,7.9640286440638866
59134.26076389989,ZTF_g,80.47415033525782,8.539801035761412
59136.38834490022,ZTF_g,80.16714180601721,7.898594393041722
59138.23701390019,ZTF_g,78.98663275499705,7.290734464006597
59140.28497690009,ZTF_g,68.8328893481396,6.415026132930917
59142.389895800035,ZTF_g,58.3266723778465,7.097625716281359
59144.35577550018,ZTF_g,54.30167173319407,7.085443917774702
59123.31946759997,ZTF_r,43.583288894485094,11.938058876860273
59125.32291670004,ZTF_r,67.11147747237996,7.986095229966228
59126.33706020005,ZTF_r,67.61215836111177,10.012602633324104
59129.25987270009,ZTF_r,83.82971699415269,7.362393317455396
59134.32559029991,ZTF_r,98.46965129959295,7.415550342683549
59136.306041699834,ZTF_r,95.12529136336485,6.1271258536286455
59140.257685199846,ZTF_r,88.72949300634517,7.604993767337422
59144.24491900019,ZTF_r,70.8592905792056,5.871339419360838
59150.28225689987,ZTF_r,58.94964580369275,9.258393883567281
59152.21721060015,ZTF_r,54.86810991883379,8.166635039991412
59158.21959490003,ZTF_r,46.61353076184753,6.754575454028352
59164.302789399866,ZTF_r,39.60591034191905,9.931397421055111
59166.33194439998,ZTF_r,41.85652792684533,6.32478253458733
59168.14071760001,ZTF_r,34.92258636079993,4.356858025769024
59170.25630789995,ZTF_r,35.87005148269217,5.095813754891576
