mjd,filter,uJy,duJy
59109.603526,c,10.0,13.0
59109.60767,c,4.0,11.0
59109.625969,c,5.0,10.0
59109.636109,c,-2.0,14.0
59113.609809,c,-20.0,14.0
59113.618581,c,21.0,26.0
59113.622698,c,-17.0,21.0
59113.643453,c,-86.0,67.0
59117.610827,c,-6.0,11.0
59117.616332,c,0.0,11.0
59117.63115,c,4.0,10.0
59117.637958,c,16.0,17.0
59137.58976,c,195.0,10.0
59137.591588,c,199.0,10.0
59137.594341,c,195.0,10.0
59137.607564,c,186.0,11.0
59141.569677,c,158.0,12.0
59141.57288,c,131.0,14.0
59141.578381,c,155.0,10.0
59141.598517,c,151.0,10.0
59145.577152,c,114.0,10.0
59145.57898,c,100.0,13.0
59145.581723,c,110.0,10.0
59145.588933,c,106.0,10.0
59169.474746,c,40.0,10.0
59169.477963,c,25.0,9.0
59169.48396,c,17.0,9.0
59169.494553,c,34.0,8.0
59169.504532,c,9.0,11.0
59169.506361,c,44.0,13.0
59169.509561,c,18.0,11.0
59169.51505,c,7.0,9.0
59107.60856,o,1.0,11.0
59107.621021,o,12.0,9.0
59107.631039,o,0.0,10.0
59107.638404,o,-9.0,29.0
59111.599105,o,32.0,17.0
59111.60464,o,55.0,35.0
59111.622767,o,-1.0,11.0
59111.629684,o,28.0,10.0
59115.603472,o,-4.0,15.0
59115.606708,o,2.0,12.0
59115.624737,o,26.0,11.0
59115.634961,o,45.0,17.0
59119.574273,o,24.0,13.0
59119.577511,o,14.0,10.0
59119.583503,o,41.0,13.0
59119.593732,o,15.0,12.0
59121.57114,o,41.0,17.0
59121.574389,o,20.0,19.0
59121.579991,o,50.0,21.0
59121.593871,o,43.0,15.0
59123.583777,o,78.0,24.0
59123.587468,o,60.0,27.0
59123.589321,o,56.0,24.0
59123.594385,o,105.0,26.0
59123.610518,o,93.0,26.0
59125.59799,o,92.0,21.0
59125.601191,o,95.0,18.0
59125.618516,o,107.0,21.0
59125.629622,o,105.0,15.0
59127.555354,o,150.0,28.0
59127.579357,o,156.0,19.0
59127.58259,o,110.0,21.0
59127.589554,o,149.0,19.0
59127.599319,o,160.0,21.0
59129.581359,o,159.0,17.0
59129.584164,o,146.0,19.0
59129.589772,o,157.0,23.0
59129.601596,o,165.0,17.0
59131.608737,o,168.0,13.0
59131.614265,o,187.0,14.0
59131.634178,o,179.0,16.0
59131.640812,o,176.0,19.0
59133.583467,o,207.0,13.0
59133.585296,o,205.0,14.0
59133.589413,o,182.0,12.0
59133.601236,o,172.0,12.0
59135.57432,o,201.0,12.0
59135.57754,o,195.0,15.0
59135.583121,o,174.0,14.0
59135.593732,o,157.0,42.0
59139.574342,o,679.0,1801.0
59139.576643,o,5518.0,2013.0
59143.574121,o,-48.0,134.0
59147.535883,o,124.0,12.0
59147.537727,o,121.0,11.0
59147.54049,o,107.0,10.0
59147.546017,o,119.0,11.0
59157.530579,o,88.0,27.0
59157.532409,o,91.0,31.0
59157.537526,o,99.0,28.0
59157.543027,o,105.0,32.0
59159.521972,o,-188.0,170.0
59159.532954,o,509.0,266.0
59159.539878,o,775.0,499.0
59179.468857,o,45.0,20.0
59179.471622,o,6.0,29.0
59179.475309,o,19.0,110.0
59179.486239,o,-93.0,94.0
59181.528989,o,19.0,21.0
59181.532209,o,36.0,22.0
59181.537724,o,30.0,22.0
59181.548283,o,2.0,18.0
59183.475109,o,-13.0,29.0
59183.476488,o,13.0,26.0
59183.479708,o,48.0,27.0
59183.484772,o,-2.0,29.0
59185.447724,o,40.0,21.0
59185.450925,o,26.0,20.0
59185.469772,o,54.0,23.0
59185.472516,o,71.0,18.0
59187.452357,o,35.0,23.0
59187.4542,o,32.0,14.0
59187.476977,o,54.0,18.0
59187.480663,o,55.0,16.0
