mjd,filter,uJy,duJy
59138.521135,c,37.0,12.0
59138.522991,c,17.0,14.0
59138.52665,c,-5.0,17.0
59138.531713,c,10.0,27.0
59142.456796,c,47.0,8.0
59142.46233,c,36.0,8.0
59142.464174,c,35.0,8.0
59142.476623,c,44.0,8.0
59146.538371,c,65.0,8.0
59146.542586,c,44.0,9.0
59146.549018,c,69.0,8.0
59146.559663,c,75.0,10.0
59147.521782,c,79.0,8.0
59147.52548,c,86.0,8.0
59147.532127,c,60.0,8.0
59147.548083,c,65.0,8.0
59170.358618,c,42.0,9.0
59170.36185,c,42.0,8.0
59170.371655,c,14.0,8.0
59170.410041,c,44.0,8.0
59191.412942,c,13.0,9.0
59191.416537,c,20.0,9.0
59191.421499,c,1.0,10.0
59191.43148,c,28.0,11.0
59194.422322,c,7.0,9.0
59194.426901,c,29.0,8.0
59194.432433,c,13.0,8.0
59194.442606,c,13.0,8.0
59195.457516,c,0.0,8.0
59195.460355,c,20.0,8.0
59195.482713,c,23.0,8.0
59195.494985,c,9.0,10.0
59197.392202,c,11.0,7.0
59197.395258,c,10.0,8.0
59197.427989,c,21.0,10.0
59197.434014,c,15.0,8.0
59198.329812,c,1.0,11.0
59198.333533,c,0.0,11.0
59198.336313,c,27.0,16.0
59198.351491,c,26.0,18.0
59200.398854,c,20.0,13.0
59200.406229,c,-10.0,9.0
59200.427089,c,10.0,7.0
59200.429866,c,24.0,8.0
59125.461331,o,38.0,25.0
59125.463177,o,-23.0,23.0
59125.480958,o,29.0,21.0
59125.489725,o,-30.0,24.0
59131.586344,o,2.0,16.0
59131.591643,o,-4.0,11.0
59131.600902,o,-12.0,12.0
59131.605971,o,-32.0,13.0
59131.64307,o,-8.0,17.0
59132.369095,o,-18.0,30.0
59132.378694,o,23.0,13.0
59132.412773,o,18.0,11.0
59132.427117,o,25.0,10.0
59135.605503,o,-35.0,39.0
59135.614007,o,21.0,14.0
59135.617222,o,176.0,120.0
59135.634426,o,42.0,17.0
59136.469795,o,-1.0,8.0
59136.491024,o,2.0,13.0
59136.493912,o,6.0,8.0
59136.516011,o,-14.0,8.0
59140.494354,o,45.0,8.0
59140.496197,o,50.0,8.0
59140.499,o,38.0,10.0
59140.506861,o,26.0,8.0
59145.566044,o,86.0,9.0
59145.589858,o,84.0,9.0
59145.618529,o,72.0,9.0
59145.638474,o,72.0,10.0
59148.415895,o,92.0,16.0
59148.438365,o,74.0,30.0
59148.440212,o,67.0,22.0
59148.442977,o,74.0,36.0
59150.606225,o,160.0,377.0
59150.618109,o,45.0,1555.0
59158.457828,o,62.0,18.0
59158.460604,o,70.0,18.0
59158.467133,o,77.0,18.0
59158.480798,o,85.0,20.0
59160.555074,o,79.0,13.0
59160.558855,o,77.0,14.0
59160.564078,o,66.0,12.0
59160.597728,o,69.0,16.0
59163.51728,o,68.0,13.0
59163.523856,o,78.0,12.0
59163.527058,o,70.0,13.0
59163.537414,o,87.0,10.0
59164.570299,o,71.0,10.0
59164.57445,o,88.0,11.0
59164.622058,o,64.0,13.0
59164.632645,o,32.0,10.0
59179.396235,o,-9.0,35.0
59179.421032,o,43.0,14.0
59179.422867,o,31.0,21.0
59179.423325,o,12.0,24.0
59179.438881,o,40.0,19.0
59180.316624,o,50.0,18.0
59180.319393,o,51.0,21.0
59180.329072,o,69.0,18.0
59180.346134,o,61.0,16.0
59186.480775,o,19.0,24.0
59186.484113,o,88.0,20.0
59186.48962,o,17.0,21.0
59186.499712,o,30.0,24.0
59187.491387,o,31.0,15.0
59187.51076,o,-3.0,16.0
59187.518549,o,29.0,19.0
59189.417609,o,39.0,11.0
59189.422783,o,28.0,10.0
59189.43118,o,20.0,10.0
59189.438571,o,12.0,15.0
59190.447074,o,18.0,12.0
59190.451235,o,14.0,13.0
59190.456752,o,31.0,11.0
59190.492106,o,-2.0,10.0
59192.446371,o,2.0,10.0
59192.449597,o,9.0,11.0
59192.456512,o,24.0,9.0
59192.469443,o,36.0,10.0
59193.437217,o,17.0,8.0
59193.446464,o,47.0,10.0
59193.449411,o,23.0,9.0
59193.460179,o,45.0,8.0
59143.37947920011,ZTF_g,39.69362843293114,4.616719071026066
59145.4099653,ZTF_g,46.34947294455705,4.104533693244201
59149.44525460014,ZTF_g,52.74008191539383,7.133848461517665
59157.4151504999,ZTF_g,51.285051976224445,10.618591622971035
59164.422546300106,ZTF_g,34.126739706867305,4.589155707365495
59166.415879600216,ZTF_g,28.775388778035403,4.398840356004212
59170.43047450017,ZTF_g,21.318664746104396,4.65861073809051
59139.36592590017,ZTF_r,26.382746224040176,7.072913630413776
59143.33892360004,ZTF_r,65.74803838014296,5.72532639387121
59145.367870400194,ZTF_r,75.73907556045972,5.84139837713396
59149.43783560023,ZTF_r,97.82277982837763,8.7970167518858
59151.370833300054,ZTF_r,115.17674478554704,11.0317983589036
59153.379467600025,ZTF_r,94.37392115838112,12.551673935645667
59157.4241204001,ZTF_r,81.6854677008639,15.861057593837709
59164.32206019992,ZTF_r,62.23432736347103,7.887460407537487
59166.30524310004,ZTF_r,49.85978483308786,6.142922168993813
59168.352638899814,ZTF_r,56.07571244173937,6.471747608363903
59170.29576390004,ZTF_r,49.920623388316585,6.091340481388231
59181.290925899986,ZTF_r,48.52554257144912,9.50866784095427
