mjd,filter,uJy,duJy
59251.42195,c,10.0,9.0
59251.425153,c,23.0,7.0
59251.430283,c,2.0,8.0
59251.440918,c,0.0,9.0
59252.454244,c,-2.0,8.0
59252.459775,c,10.0,8.0
59252.463004,c,-6.0,8.0
59252.482132,c,-26.0,9.0
59253.375763,c,6.0,8.0
59253.378984,c,18.0,8.0
59253.384514,c,3.0,9.0
59253.40378,c,-22.0,7.0
59255.418028,c,30.0,8.0
59255.446003,c,43.0,8.0
59255.450124,c,37.0,8.0
59255.478732,c,48.0,10.0
59257.41849,c,81.0,7.0
59257.423102,c,87.0,7.0
59257.43552,c,76.0,8.0
59257.454746,c,84.0,8.0
59258.397138,c,111.0,10.0
59258.401359,c,106.0,8.0
59258.434599,c,101.0,10.0
59258.439885,c,99.0,10.0
59261.420765,c,191.0,8.0
59261.449909,c,213.0,8.0
59261.452973,c,185.0,8.0
59261.480932,c,213.0,8.0
59262.396138,c,243.0,12.0
59262.399339,c,238.0,10.0
59262.409114,c,230.0,11.0
59262.421135,c,266.0,9.0
59287.348174,c,163.0,39.0
59287.35249,c,59.0,22.0
59287.35943,c,92.0,22.0
59291.339508,c,67.0,11.0
59291.342708,c,55.0,11.0
59291.353357,c,104.0,10.0
59291.359792,c,100.0,9.0
59309.326518,c,12.0,7.0
59309.343189,c,43.0,8.0
59309.349135,c,21.0,7.0
59309.356388,c,32.0,8.0
59312.30925,c,14.0,7.0
59312.312474,c,12.0,7.0
59312.318093,c,20.0,5.0
59312.338863,c,2.0,6.0
59238.472611,o,-25.0,20.0
59238.475429,o,2.0,30.0
59238.480923,o,-59.0,20.0
59238.491084,o,3.0,16.0
59245.448767,o,-28.0,15.0
59245.464077,o,-45.0,14.0
59245.467765,o,-56.0,18.0
59245.475241,o,-17.0,14.0
59246.450733,o,3.0,16.0
59246.45119,o,-54.0,15.0
59246.453512,o,-43.0,17.0
59246.453969,o,15.0,15.0
59246.459102,o,-14.0,17.0
59246.45956,o,-74.0,15.0
59246.469647,o,-60.0,13.0
59246.471938,o,-47.0,16.0
59248.495904,o,-16.0,11.0
59248.499135,o,-18.0,15.0
59248.505584,o,-20.0,10.0
59248.517554,o,-38.0,16.0
59264.406423,o,106.0,34.0
59264.410791,o,304.0,54.0
59264.415912,o,162.0,54.0
59264.416886,o,155.0,28.0
59264.419667,o,259.0,15.0
59264.427404,o,252.0,14.0
59265.371518,o,189.0,64.0
59265.377244,o,238.0,160.0
59267.322336,o,271.0,15.0
59267.325094,o,283.0,18.0
59267.327837,o,245.0,17.0
59267.333828,o,308.0,16.0
59272.480283,o,222.0,40.0
59272.483063,o,273.0,33.0
59272.490905,o,254.0,30.0
59276.374162,o,140.0,11.0
59276.377974,o,178.0,11.0
59276.38397,o,168.0,14.0
59276.394105,o,161.0,10.0
59277.397312,o,134.0,11.0
59277.424444,o,137.0,11.0
59277.441292,o,126.0,15.0
59277.446254,o,177.0,14.0
59280.400964,o,305.0,20.0
59293.309617,o,125.0,10.0
59293.31284,o,106.0,11.0
59293.330256,o,113.0,9.0
59293.339612,o,89.0,10.0
59300.318824,o,58.0,50.0
59300.322059,o,-77.0,61.0
59300.328516,o,31.0,36.0
59300.341919,o,51.0,26.0
59303.364343,o,91.0,19.0
59303.370045,o,19.0,20.0
59303.374228,o,55.0,18.0
59303.385275,o,32.0,20.0
59304.317154,o,43.0,19.0
59304.320859,o,26.0,20.0
59304.326849,o,5.0,26.0
59304.338385,o,48.0,14.0
59305.325927,o,29.0,12.0
59305.336091,o,43.0,8.0
59305.341239,o,45.0,10.0
59305.344462,o,43.0,9.0
59307.290231,o,27.0,10.0
59307.293965,o,37.0,11.0
59307.320915,o,70.0,10.0
59307.329196,o,59.0,12.0
59256.27605320001,ZTF_g,62.41503235782867,8.06717097074967
59260.27511569997,ZTF_g,192.60519639431146,14.586899678200757
59263.27546299994,ZTF_g,287.13094480594305,31.328988635577446
59265.20341440011,ZTF_g,312.02399999895636,16.7048926637427
59267.23381939996,ZTF_g,324.7311869805333,16.82666809610258
59271.226388900075,ZTF_g,316.0594645412908,20.983634977510807
59273.17249999987,ZTF_g,274.62773812319705,16.54860805792097
59275.17116900021,ZTF_g,235.26493354106967,12.193769950343768
59278.21277779993,ZTF_g,168.39143580236407,18.125898539104515
59293.1527315001,ZTF_g,40.394291948366785,8.978717532666126
59314.20740740001,ZTF_g,19.520008390127416,7.63132734687517
59321.17331020022,ZTF_g,19.261051834608498,6.107892761972243
59256.21217590012,ZTF_r,66.38653476556728,6.411996941407931
59260.25439810008,ZTF_r,195.99274702369544,9.647250137652081
59263.23432870023,ZTF_r,253.11623388468706,18.453395750693495
59265.2532060002,ZTF_r,303.88467568258665,13.036120857625765
59267.29768519988,ZTF_r,314.6429462047893,14.787000496966622
59271.25682870019,ZTF_r,324.65492837465365,14.883124337664649
59273.23646989977,ZTF_r,293.63782597654756,16.401075045712776
59275.2331019002,ZTF_r,254.1141214345683,13.855664918799285
59278.18687500013,ZTF_r,190.98620537857738,11.04933278166058
59281.225254599936,ZTF_r,180.35940752785828,9.182666805934243
59291.2183333002,ZTF_r,140.62469709889308,10.262307141494459
59293.171203699894,ZTF_r,126.81773724845532,10.907772989868045
59301.173726900015,ZTF_r,79.76118544082921,12.615724763584387
59303.152627300005,ZTF_r,65.02494596885951,7.663335302411442
59316.15765050007,ZTF_r,45.72566181509066,7.0375470649350955
59319.19785880018,ZTF_r,40.90390772537704,8.284879167068164
59321.202395800035,ZTF_r,35.59422980298345,6.747632550572351
