mjd,filter,uJy,duJy
59258.368431,c,5.0,10.0
59258.370718,c,14.0,9.0
59258.373461,c,5.0,10.0
59258.400902,c,6.0,9.0
59260.403387,c,-18.0,10.0
59260.407534,c,0.0,8.0
59260.413063,c,-8.0,9.0
59260.423744,c,-9.0,8.0
59262.415984,c,-7.0,9.0
59262.422535,c,-4.0,8.0
59262.425768,c,-3.0,9.0
59262.43865,c,-2.0,8.0
59264.434318,c,24.0,26.0
59264.440311,c,-7.0,22.0
59264.444928,c,-58.0,48.0
59264.461584,c,92.0,134.0
59312.313942,c,109.0,9.0
59312.317633,c,96.0,8.0
59312.323665,c,103.0,8.0
59312.338402,c,104.0,9.0
59320.313689,c,-160.0,83.0
59267.330599,o,2.0,15.0
59267.333371,o,-9.0,13.0
59267.336115,o,10.0,13.0
59267.358918,o,18.0,15.0
59268.367985,o,0.0,15.0
59268.401537,o,25.0,16.0
59268.429746,o,13.0,18.0
59268.454731,o,-22.0,19.0
59272.4826,o,-45.0,33.0
59272.485825,o,-13.0,35.0
59272.491366,o,-6.0,35.0
59272.52627,o,-58.0,41.0
59276.386273,o,34.0,13.0
59276.389496,o,48.0,14.0
59276.395488,o,6.0,12.0
59276.405627,o,-3.0,14.0
59280.38341,o,48.0,8.0
59280.386643,o,48.0,10.0
59280.396805,o,40.0,8.0
59280.402351,o,32.0,11.0
59288.316329,o,167.0,11.0
59288.326472,o,171.0,11.0
59288.332013,o,161.0,12.0
59288.334799,o,142.0,10.0
59292.328502,o,184.0,11.0
59292.331731,o,172.0,12.0
59292.339099,o,193.0,12.0
59292.349424,o,186.0,10.0
59300.330857,o,161.0,28.0
59300.334085,o,180.0,42.0
59300.339617,o,196.0,30.0
59300.353455,o,135.0,35.0
59304.418738,o,150.0,22.0
59304.430095,o,139.0,20.0
59304.443892,o,108.0,24.0
59304.457589,o,110.0,35.0
59306.341221,o,116.0,13.0
59306.346719,o,145.0,14.0
59306.350863,o,131.0,12.0
59306.36103,o,127.0,12.0
59322.276767,o,98.0,14.0
59322.279974,o,96.0,14.0
59322.286391,o,101.0,13.0
59322.296484,o,137.0,12.0
59324.286106,o,116.0,12.0
59324.290259,o,87.0,15.0
59324.296245,o,84.0,17.0
59324.306378,o,77.0,15.0
59326.267218,o,95.0,32.0
59326.270436,o,81.0,25.0
59326.278255,o,57.0,25.0
59326.296255,o,58.0,24.0
59328.306807,o,36.0,20.0
59328.310032,o,111.0,20.0
59328.316959,o,63.0,25.0
59328.328488,o,77.0,23.0
59332.267536,o,60.0,14.0
59332.270758,o,37.0,15.0
59332.276298,o,89.0,18.0
59332.286902,o,78.0,21.0
59334.262957,o,61.0,13.0
59334.266637,o,43.0,14.0
59334.273543,o,38.0,12.0
59334.284573,o,64.0,14.0
59336.290371,o,66.0,12.0
59336.29406,o,29.0,13.0
59336.299588,o,48.0,12.0
59336.313421,o,46.0,14.0
59281.32353009982,ZTF_g,54.661406199173214,8.823039501033461
59293.15084489994,ZTF_g,257.87046298473143,12.837518134449255
59296.28722220007,ZTF_g,253.28414219234818,22.42860908432794
59301.24850689992,ZTF_g,194.76189880936056,28.175376000776676
59303.214513900224,ZTF_g,182.37747556883383,12.531478968400986
59306.33153939992,ZTF_g,138.4322252226398,13.202932734022774
59308.23579860013,ZTF_g,105.86938737657994,7.661539634006628
59310.21998840012,ZTF_g,89.44119642636332,12.728950048045197
59315.19137729984,ZTF_g,60.11084042596242,5.696174621012396
59317.17017359985,ZTF_g,49.441996553654086,4.7069874027739065
59321.172349500004,ZTF_g,36.969570064530345,8.05283054400419
59323.17311340012,ZTF_g,37.77461093882185,10.083152649102018
59334.17449070001,ZTF_g,24.719518097071234,7.042903058297523
59278.17045139987,ZTF_r,22.76145393141638,7.859082874003301
59291.219745399896,ZTF_r,217.41124348744464,14.72813512882821
59293.2286111,ZTF_r,229.66668401855947,12.217631299785406
59296.2347569,ZTF_r,234.7281630218631,16.581809108551802
59301.28231480019,ZTF_r,193.0452855592785,18.80421671820712
59303.23804400023,ZTF_r,192.4324902249984,13.63180497049446
59306.213113400154,ZTF_r,156.08055475636752,8.825815286464756
59308.1942245001,ZTF_r,141.68673740805554,8.399096984838915
59310.194363399874,ZTF_r,136.08266319076975,9.223520282770519
59312.25682870019,ZTF_r,135.50021989472302,8.949811975746831
59315.15633099992,ZTF_r,123.70179454624282,7.444489011131185
59317.15709490003,ZTF_r,122.12371301653077,8.085585736600054
59321.21951390011,ZTF_r,110.25929214000904,8.512746800649506
59323.20719909994,ZTF_r,105.81937691658672,10.790138876673225
59328.16165510006,ZTF_r,81.94227173655237,13.162518494342505
59334.25493060006,ZTF_r,51.189631123335595,10.49195713924506
59336.20813659998,ZTF_r,46.94775180866172,6.370317639396896
