mjd,filter,uJy,duJy
59308.381418,c,106.0,9.0
59308.383264,c,86.0,9.0
59308.386031,c,100.0,10.0
59308.391104,c,113.0,9.0
59311.372281,c,117.0,10.0
59311.375546,c,110.0,8.0
59311.390186,c,85.0,9.0
59311.39715,c,105.0,9.0
59312.423905,c,102.0,8.0
59312.426733,c,109.0,7.0
59312.43373,c,84.0,8.0
59312.44501,c,100.0,9.0
59337.42219,c,29.0,12.0
59337.440268,c,14.0,10.0
59337.451752,c,28.0,12.0
59337.458177,c,73.0,32.0
59338.409829,c,45.0,12.0
59338.413945,c,13.0,14.0
59338.421775,c,58.0,14.0
59338.442353,c,28.0,14.0
59342.348726,c,31.0,9.0
59342.352893,c,22.0,10.0
59342.362537,c,41.0,9.0
59342.376816,c,30.0,8.0
59346.343463,c,16.0,10.0
59346.34857,c,10.0,9.0
59346.351345,c,23.0,8.0
59346.361516,c,6.0,9.0
59268.485303,o,-10.0,16.0
59268.495996,o,29.0,14.0
59268.500155,o,-14.0,13.0
59270.488028,o,12.0,19.0
59270.491227,o,32.0,21.0
59270.493982,o,-2.0,16.0
59270.500383,o,14.0,21.0
59278.590061,o,19.0,40.0
59278.593278,o,-16.0,43.0
59278.598818,o,123.0,70.0
59278.613358,o,93.0,66.0
59279.455919,o,15.0,9.0
59279.459146,o,-5.0,8.0
59279.463761,o,22.0,8.0
59279.470667,o,15.0,8.0
59280.459474,o,-11.0,11.0
59280.462717,o,25.0,9.0
59280.465944,o,2.0,9.0
59280.47102,o,-3.0,10.0
59284.571073,o,16.0,18.0
59284.574758,o,35.0,12.0
59284.580379,o,35.0,11.0
59288.436165,o,50.0,8.0
59288.438009,o,57.0,8.0
59288.440778,o,35.0,7.0
59288.449276,o,34.0,7.0
59291.464455,o,62.0,8.0
59291.469614,o,78.0,9.0
59291.499403,o,84.0,8.0
59291.504963,o,74.0,9.0
59292.467547,o,95.0,9.0
59292.470771,o,81.0,10.0
59292.478181,o,60.0,8.0
59292.512999,o,82.0,10.0
59295.402562,o,74.0,14.0
59295.404405,o,109.0,13.0
59295.40717,o,79.0,13.0
59295.434575,o,111.0,12.0
59299.392651,o,128.0,24.0
59299.395416,o,117.0,20.0
59299.400024,o,107.0,28.0
59299.405551,o,103.0,24.0
59304.396316,o,164.0,25.0
59304.398615,o,138.0,25.0
59304.402348,o,64.0,22.0
59304.424511,o,121.0,16.0
59305.383074,o,123.0,28.0
59305.384905,o,64.0,16.0
59305.48139,o,106.0,22.0
59305.487344,o,152.0,46.0
59306.381407,o,121.0,11.0
59306.383234,o,113.0,11.0
59306.385996,o,124.0,10.0
59306.396072,o,98.0,12.0
59307.473653,o,104.0,13.0
59307.476889,o,124.0,15.0
59307.483372,o,131.0,13.0
59307.494493,o,98.0,14.0
59321.375205,o,78.0,14.0
59321.378863,o,59.0,14.0
59321.408005,o,74.0,12.0
