mjd,filter,uJy,duJy
59288.388125,c,67.0,12.0
59288.392287,c,92.0,11.0
59288.42771,c,54.0,9.0
59288.444804,c,57.0,8.0
59292.469599,c,127.0,10.0
59292.476941,c,117.0,10.0
59292.479231,c,140.0,9.0
59292.48567,c,115.0,11.0
59310.482462,c,71.0,7.0
59310.485239,c,38.0,7.0
59310.488469,c,60.0,7.0
59310.497139,c,56.0,7.0
59313.572067,c,77.0,7.0
59313.574906,c,53.0,7.0
59313.605858,c,82.0,9.0
59313.63624,c,60.0,13.0
59314.494508,c,51.0,10.0
59314.496808,c,34.0,9.0
59314.504242,c,31.0,6.0
59314.514458,c,34.0,7.0
59318.458119,c,42.0,9.0
59318.461814,c,31.0,7.0
59318.48451,c,44.0,8.0
59318.490045,c,56.0,9.0
59322.446889,c,19.0,7.0
59322.449194,c,23.0,7.0
59322.451962,c,12.0,6.0
59322.457026,c,47.0,7.0
59344.394803,c,7.0,10.0
59344.407828,c,3.0,10.0
59344.433398,c,17.0,8.0
59344.437362,c,16.0,9.0
59347.466109,c,40.0,8.0
59347.471765,c,-5.0,8.0
59347.476432,c,18.0,9.0
59347.487477,c,-9.0,9.0
59270.617628,o,-35.0,11.0
59270.625229,o,19.0,15.0
59270.647243,o,11.0,15.0
59270.660441,o,59.0,12.0
59278.58044,o,16.0,33.0
59278.582352,o,16.0,34.0
59278.59247,o,28.0,18.0
59278.595249,o,-14.0,22.0
59294.457615,o,59.0,9.0
59294.492973,o,72.0,9.0
59294.49713,o,66.0,10.0
59294.521015,o,101.0,9.0
59298.537086,o,168.0,14.0
59298.538992,o,103.0,12.0
59298.541759,o,97.0,15.0
59298.551682,o,71.0,13.0
59299.484567,o,276.0,182.0
59299.488224,o,97.0,22.0
59299.49376,o,173.0,19.0
59300.490187,o,97.0,37.0
59300.51535,o,184.0,65.0
59300.518559,o,66.0,64.0
59300.522676,o,-148.0,93.0
59304.494578,o,103.0,36.0
59304.496936,o,7.0,49.0
59304.499683,o,204.0,104.0
59304.504761,o,125.0,47.0
59306.582817,o,-16.0,12.0
59306.592594,o,28.0,11.0
59306.606898,o,48.0,12.0
59306.611523,o,27.0,12.0
59320.408517,o,-1.0,11.0
59320.433472,o,47.0,10.0
59320.443721,o,23.0,12.0
59320.449201,o,-13.0,11.0
59324.38181,o,23.0,11.0
59324.399058,o,66.0,14.0
59324.427049,o,-30.0,10.0
59324.435989,o,37.0,11.0
59324.627259,o,56.0,15.0
59326.382521,o,-1.0,16.0
59326.388742,o,0.0,15.0
59326.395434,o,-4.0,15.0
59326.427753,o,39.0,13.0
59327.414217,o,57.0,20.0
59327.418827,o,14.0,19.0
59327.434266,o,9.0,18.0
59327.443081,o,-68.0,17.0
59328.395684,o,47.0,27.0
59328.422579,o,67.0,23.0
59328.432186,o,38.0,23.0
59328.435921,o,-28.0,21.0
59329.505085,o,18.0,20.0
59329.509494,o,-21.0,16.0
59329.542582,o,-40.0,23.0
59329.570985,o,62.0,22.0
59331.504337,o,-80.0,74.0
59331.514338,o,113.0,61.0
59331.547882,o,8.0,23.0
59332.525869,o,-45.0,20.0
59332.529093,o,32.0,23.0
59332.535056,o,12.0,19.0
59332.547549,o,33.0,23.0
59333.428506,o,10.0,12.0
59333.460059,o,11.0,16.0
59333.462845,o,-79.0,16.0
59333.466071,o,64.0,13.0
59337.478754,o,70.0,51.0
59337.503846,o,-36.0,8.0
59337.507072,o,61.0,11.0
59337.518572,o,84.0,10.0
59341.577626,o,-22.0,10.0
59341.580397,o,3.0,9.0
59346.467343,o,-103.0,7.0
59346.471034,o,-48.0,10.0
59346.476585,o,-21.0,7.0
59346.510597,o,-32.0,9.0
59350.403329,o,-12.0,8.0
59350.419341,o,-64.0,7.0
59350.422133,o,-10.0,9.0
59290.42575229984,ZTF_g,97.5729869455866,10.493487673959196
59292.44975689985,ZTF_g,115.51149374492769,13.444059200844482
59295.28145830007,ZTF_g,141.14386313978676,18.99831235414327
59295.30846060021,ZTF_g,136.21232313641246,17.043988027127224
59297.322488400154,ZTF_g,136.67491107562182,16.10699925879284
59297.3420833,ZTF_g,126.51627600106383,15.709692559320683
59300.368541699834,ZTF_g,106.61021028937365,18.687758879344116
59300.38765050005,ZTF_g,117.26618592983299,16.547456367495293
59302.36300930008,ZTF_g,111.17317272815897,16.603860408195622
59302.38775460003,ZTF_g,96.25870174754968,17.293719761935563
59305.406701399945,ZTF_g,67.20172173581037,12.322901458759258
59305.40716439998,ZTF_g,56.1158053361772,10.977255937116178
59307.387349499855,ZTF_g,58.00550337808735,7.575606758927777
59307.38782409998,ZTF_g,65.10015161207451,8.977566519610141
59309.34456019988,ZTF_g,46.89429379678534,8.157465203486385
59309.35944439983,ZTF_g,39.66066574415036,9.892659174563805
59292.46788189979,ZTF_r,113.76691983335576,12.762736367143697
59295.408402800094,ZTF_r,151.30079151590752,19.037356063526445
59295.40886570001,ZTF_r,145.83078043781862,11.85894027968384
59297.3883795999,ZTF_r,129.90719337279074,15.083408276649525
59297.406921300106,ZTF_r,143.56084304021346,16.01092683383077
59300.42687499989,ZTF_r,122.98076776396518,18.080451060468608
59300.44810190005,ZTF_r,131.19195382352186,21.548458975378818
59302.40835649986,ZTF_r,122.16871334396309,11.472127660966905
59305.349363400135,ZTF_r,97.50794417171761,10.086042576258322
59305.45462960005,ZTF_r,111.33302260858534,16.168743352465516
59307.36432870012,ZTF_r,92.86943427488075,12.950157061068722
59309.413032399956,ZTF_r,76.09476847568602,15.774619677650907
59311.46883099992,ZTF_r,75.1198652117055,11.631887912769566
