mjd,filter,uJy,duJy
59308.418424,c,134.0,8.0
59308.422571,c,125.0,7.0
59308.429568,c,140.0,7.0
59308.440104,c,139.0,9.0
59312.427655,c,84.0,7.0
59312.431888,c,88.0,7.0
59312.438983,c,90.0,8.0
59312.44923,c,107.0,8.0
59338.378786,c,58.0,19.0
59338.408456,c,24.0,12.0
59338.415784,c,12.0,15.0
59338.419012,c,47.0,21.0
59342.334923,c,16.0,8.0
59342.338586,c,15.0,7.0
59342.345018,c,27.0,7.0
59342.359321,c,25.0,8.0
59346.332429,c,5.0,8.0
59346.336577,c,22.0,10.0
59346.342548,c,43.0,10.0
59346.35691,c,20.0,10.0
59349.32996,c,15.0,11.0
59349.333163,c,18.0,11.0
59349.340071,c,10.0,10.0
59349.351169,c,25.0,14.0
59350.312933,c,21.0,12.0
59350.317049,c,-12.0,11.0
59350.322626,c,18.0,14.0
59350.397386,c,38.0,12.0
59276.497858,o,4.0,12.0
59276.501084,o,22.0,13.0
59276.50615,o,-4.0,9.0
59276.519046,o,-18.0,11.0
59278.509096,o,12.0,54.0
59278.514604,o,-98.0,72.0
59278.518747,o,28.0,49.0
59278.553263,o,17.0,24.0
59280.454126,o,25.0,10.0
59280.488444,o,11.0,10.0
59280.49167,o,-10.0,9.0
59280.498131,o,-12.0,9.0
59288.513446,o,63.0,10.0
59288.517279,o,53.0,9.0
59288.55245,o,54.0,8.0
59292.394101,o,108.0,10.0
59292.397335,o,105.0,9.0
59292.400565,o,123.0,9.0
59292.427208,o,112.0,10.0
59296.573243,o,155.0,11.0
59296.576935,o,163.0,12.0
59296.584313,o,151.0,11.0
59296.594473,o,147.0,15.0
59304.533243,o,137.0,25.0
59304.536319,o,130.0,24.0
59304.541952,o,258.0,74.0
59305.495117,o,115.0,22.0
59305.498325,o,152.0,21.0
59305.504753,o,146.0,18.0
59305.515323,o,132.0,20.0
59306.462998,o,133.0,12.0
59306.466265,o,126.0,14.0
59306.489402,o,132.0,13.0
59306.49815,o,127.0,15.0
59307.481038,o,116.0,12.0
59307.485215,o,110.0,11.0
59307.491675,o,127.0,11.0
59307.511106,o,128.0,13.0
59322.355274,o,89.0,13.0
59322.36077,o,87.0,10.0
59322.393264,o,75.0,12.0
59322.418846,o,83.0,11.0
59324.352059,o,86.0,12.0
59324.359426,o,61.0,12.0
59324.362649,o,92.0,12.0
59324.374655,o,64.0,9.0
59326.351473,o,72.0,21.0
59326.355196,o,61.0,20.0
59326.386811,o,98.0,18.0
59326.414806,o,93.0,22.0
59331.442229,o,38.0,29.0
59331.446404,o,49.0,34.0
59331.476247,o,21.0,29.0
59331.504182,o,42.0,49.0
59332.395418,o,15.0,20.0
59332.398645,o,51.0,18.0
59332.404208,o,41.0,20.0
59332.415798,o,51.0,17.0
59333.459405,o,76.0,29.0
59333.469538,o,18.0,39.0
59333.475087,o,80.0,36.0
59333.481077,o,40.0,40.0
59334.360672,o,46.0,15.0
59334.36435,o,58.0,15.0
59334.370319,o,52.0,17.0
59334.399666,o,43.0,13.0
59336.366033,o,53.0,13.0
59336.369259,o,49.0,13.0
59336.37479,o,47.0,12.0
59336.410209,o,18.0,18.0
59344.330818,o,24.0,9.0
59344.334514,o,26.0,8.0
59344.341924,o,26.0,8.0
59344.35301,o,58.0,10.0
59348.315398,o,34.0,11.0
59348.320929,o,8.0,11.0
59348.324655,o,26.0,12.0
59348.334794,o,31.0,9.0
59291.29307870008,ZTF_g,108.17846133301813,11.142080274692486
59293.29342589993,ZTF_g,139.5698462244119,11.461603801999408
59298.395694400184,ZTF_g,193.30861088438564,18.627124928418294
59303.28156250017,ZTF_g,167.3527294865801,17.488137973546063
59305.27478010021,ZTF_g,120.75580015452213,11.486267812345478
59307.2958217999,ZTF_g,127.9011354585185,9.085608803407036
59309.31248839991,ZTF_g,107.89516909745456,10.00238627165967
59311.228715300094,ZTF_g,86.44645730738551,12.384501343397254
59313.254236099776,ZTF_g,71.3140005427422,6.785309287556607
59319.25494210003,ZTF_g,38.20631922314947,8.008484403840683
59323.255046300124,ZTF_g,35.786563820638484,9.566935357626685
59325.22658560006,ZTF_g,37.35541796174621,8.197587939780933
59336.25026619993,ZTF_g,14.362829333625065,5.325098101740974
59342.25031250017,ZTF_g,18.86426983696064,5.6099918868066
59293.25288189994,ZTF_r,155.73936514200344,8.543460480629916
59296.35045140004,ZTF_r,176.66153513328334,14.642690909936018
59298.30579859996,ZTF_r,195.9243434026724,18.696677314106733
59307.25584489992,ZTF_r,151.93855788156125,8.668027660935017
59309.25234950008,ZTF_r,134.6627874822606,11.68722856831978
59311.30988429999,ZTF_r,117.04368859855639,7.638504299414684
59313.29510420002,ZTF_r,108.20925325239133,9.82131336425776
59315.23269680003,ZTF_r,101.20304971540985,7.352224717429784
59319.22927080002,ZTF_r,102.36295157040152,9.151834609667523
59323.22594910022,ZTF_r,96.00618224444857,8.075678162061948
59325.254525499884,ZTF_r,96.8935348417615,9.284245958193463
59336.295648099855,ZTF_r,51.97024928471374,9.211481121943029
59338.21153939981,ZTF_r,49.22843165347137,6.679458087419746
59340.252453700174,ZTF_r,37.2355694525071,6.7507864633198365
59342.25322919991,ZTF_r,35.63034274059519,6.872681819131807
59344.229305599816,ZTF_r,34.98539647859,6.2094616950653645
59349.175196799915,ZTF_r,36.69117332327057,5.410998178506255
