mjd,filter,uJy,duJy
59309.419593,c,13.0,7.0
59309.423496,c,15.0,7.0
59309.426729,c,10.0,6.0
59309.43412,c,14.0,6.0
59313.46732,c,52.0,6.0
59313.476372,c,48.0,6.0
59313.479599,c,44.0,6.0
59313.489391,c,50.0,6.0
59317.401221,c,78.0,7.0
59317.403568,c,74.0,8.0
59317.406327,c,64.0,7.0
59317.417452,c,72.0,7.0
59321.385092,c,76.0,9.0
59321.387917,c,104.0,9.0
59321.393227,c,103.0,8.0
59321.405303,c,91.0,8.0
59339.434574,c,30.0,36.0
59339.467782,c,55.0,15.0
59339.470623,c,46.0,9.0
59343.403323,c,46.0,8.0
59343.406534,c,45.0,9.0
59343.412876,c,50.0,9.0
59343.447156,c,33.0,9.0
59347.364555,c,18.0,8.0
59347.367852,c,25.0,9.0
59347.4006,c,8.0,9.0
59347.409187,c,37.0,8.0
59355.527092,c,31.0,13.0
59355.529893,c,29.0,11.0
59355.535016,c,3.0,12.0
59355.546042,c,0.0,13.0
59369.373696,c,5.0,7.0
59369.409408,c,10.0,8.0
59369.428208,c,12.0,8.0
59369.431431,c,21.0,8.0
59373.375681,c,1.0,7.0
59373.410864,c,3.0,8.0
59373.428417,c,5.0,7.0
59373.435221,c,6.0,7.0
59293.46892,o,4.0,9.0
59293.483362,o,11.0,8.0
59293.500156,o,-5.0,8.0
59293.503386,o,-7.0,8.0
59297.46658,o,-13.0,13.0
59297.468423,o,-6.0,14.0
59297.471189,o,-16.0,14.0
59297.482881,o,-23.0,11.0
59299.431526,o,-34.0,79.0
59299.433853,o,-53.0,123.0
59299.436617,o,107.0,72.0
59299.446815,o,-160.0,61.0
59300.391531,o,35.0,72.0
59300.395705,o,99.0,105.0
59300.408995,o,-125.0,71.0
59305.394118,o,7.0,11.0
59305.396884,o,10.0,14.0
59305.424355,o,-9.0,12.0
59305.429574,o,9.0,14.0
59319.389569,o,62.0,12.0
59319.391868,o,93.0,11.0
59319.394628,o,72.0,12.0
59319.396471,o,65.0,10.0
59319.398302,o,65.0,13.0
59319.429131,o,70.0,10.0
59319.433099,o,75.0,14.0
59319.435844,o,52.0,11.0
59323.364981,o,102.0,17.0
59323.367875,o,92.0,13.0
59323.37062,o,68.0,14.0
59323.376619,o,102.0,13.0
59327.347458,o,92.0,23.0
59327.349288,o,61.0,30.0
59327.356789,o,87.0,23.0
59327.362057,o,38.0,20.0
59332.466159,o,72.0,19.0
59332.469017,o,42.0,21.0
59332.475277,o,72.0,16.0
59332.509953,o,123.0,25.0
59333.454663,o,62.0,15.0
59333.482198,o,61.0,17.0
59333.512029,o,46.0,16.0
59333.516909,o,61.0,15.0
59335.433999,o,53.0,12.0
59335.436941,o,85.0,14.0
59335.442247,o,45.0,13.0
59337.427675,o,55.0,9.0
59337.43392,o,52.0,8.0
59337.438525,o,63.0,9.0
59337.455619,o,53.0,10.0
59341.418824,o,44.0,9.0
59341.422065,o,48.0,11.0
59341.427413,o,53.0,8.0
59341.438244,o,69.0,13.0
59345.416918,o,32.0,10.0
59345.42068,o,41.0,11.0
59345.448673,o,37.0,11.0
59345.454222,o,43.0,9.0
59349.365435,o,38.0,8.0
59349.368447,o,30.0,11.0
59349.401962,o,37.0,9.0
59349.407283,o,51.0,10.0
59351.357676,o,34.0,12.0
59351.360576,o,45.0,12.0
59351.366026,o,48.0,13.0
59351.375885,o,31.0,12.0
59353.292672,o,37.0,10.0
59353.295777,o,32.0,10.0
59353.298542,o,37.0,10.0
59353.30362,o,33.0,8.0
59359.342349,o,29.0,44.0
59359.347968,o,55.0,50.0
59359.356569,o,110.0,62.0
59359.363136,o,42.0,44.0
59361.412436,o,33.0,21.0
59361.415674,o,17.0,20.0
59361.434765,o,11.0,20.0
59361.448365,o,41.0,20.0
59363.361117,o,6.0,14.0
59363.371206,o,17.0,12.0
59363.374423,o,4.0,11.0
59363.379991,o,27.0,14.0
59367.322925,o,40.0,9.0
59367.326127,o,26.0,9.0
59367.342086,o,9.0,12.0
59367.347478,o,15.0,11.0
59371.352711,o,5.0,11.0
59371.355916,o,8.0,13.0
59371.361409,o,5.0,12.0
59371.372487,o,15.0,13.0
59307.32119210018,ZTF_g,11.13063650096904,4.405549070092671
59311.27829860011,ZTF_g,27.393025387560513,9.554997161747295
59317.27707180008,ZTF_g,73.63942690992245,5.489080177851985
59321.361296299845,ZTF_g,94.67567278703953,7.835028361881906
59325.36288189981,ZTF_g,93.66885252307345,8.844824656478474
59329.351736099925,ZTF_g,81.65327342568409,13.66494753795303
59338.317569400184,ZTF_g,40.40560370531593,5.518991396533731
59340.33782410016,ZTF_g,31.676996747018293,5.831435485089777
59342.33968750015,ZTF_g,27.153211349610906,5.838864343622508
59344.296747699846,ZTF_g,23.72402647414475,4.322027403645334
59346.35994210001,ZTF_g,21.877616239495485,4.555307317445132
59348.34304400021,ZTF_g,19.941599968755394,4.8051174973021284
59309.39168980019,ZTF_r,16.99965078563226,5.611402840540456
59313.33908559987,ZTF_r,43.396469587936,7.908012048506217
59317.320706000086,ZTF_r,68.89910810073684,6.367973315541877
59321.30959489988,ZTF_r,89.35984360116382,7.684629859563285
59323.33829860017,ZTF_r,96.03112132222077,8.087027996521499
59325.30010419991,ZTF_r,96.49748621384379,8.691626551944532
59329.26815970009,ZTF_r,103.60005834661406,14.483763260267866
59338.27512730006,ZTF_r,66.42904362887485,6.098730565778642
59340.295300900005,ZTF_r,55.170129071676946,5.745053978083853
59344.39380790014,ZTF_r,53.18358390862908,7.630765916653313
59350.279398099985,ZTF_r,44.034472683746955,6.675529821091165
59354.231875000056,ZTF_r,34.93294499157603,6.35806519116506
