mjd,filter,uJy,duJy
59429.356104,c,15.0,7.0
59429.359329,c,20.0,8.0
59429.375835,c,27.0,7.0
59429.393263,c,6.0,7.0
59432.355377,c,39.0,6.0
59432.360919,c,6.0,6.0
59432.369218,c,21.0,7.0
59432.373028,c,20.0,8.0
59436.314037,c,50.0,7.0
59436.324179,c,53.0,7.0
59436.329286,c,57.0,7.0
59436.333438,c,33.0,7.0
59454.288813,c,8.0,10.0
59454.292085,c,40.0,9.0
59454.298058,c,18.0,9.0
59454.311811,c,59.0,11.0
59458.331259,c,-12.0,38.0
59458.350152,c,86.0,57.0
59458.361745,c,-11722.0,16942.0
59462.283129,c,35.0,8.0
59462.286831,c,30.0,9.0
59462.29465,c,24.0,10.0
59462.313057,c,18.0,12.0
59466.261025,c,3.0,8.0
59466.264236,c,17.0,8.0
59466.271143,c,19.0,9.0
59466.283131,c,27.0,9.0
59414.289595,o,-4.0,16.0
59414.292807,o,-3.0,16.0
59414.298303,o,6.0,16.0
59414.303364,o,17.0,14.0
59416.352713,o,-8.0,23.0
59416.363584,o,10.0,36.0
59416.416977,o,-2.0,38.0
59419.376289,o,33.0,20.0
59419.394489,o,22.0,28.0
59419.398688,o,-32.0,23.0
59419.40466,o,-1.0,21.0
59420.376562,o,18.0,14.0
59420.379789,o,20.0,12.0
59420.385823,o,12.0,13.0
59420.396876,o,19.0,16.0
59424.36931,o,15.0,10.0
59424.372544,o,3.0,11.0
59424.408049,o,18.0,12.0
59424.413612,o,-20.0,11.0
59425.393581,o,1.0,10.0
59425.396805,o,20.0,12.0
59425.406568,o,19.0,16.0
59425.423686,o,2.0,10.0
59426.37532,o,5.0,12.0
59426.378543,o,-11.0,9.0
59426.40962,o,-1.0,10.0
59426.415118,o,-1.0,12.0
59434.346342,o,24.0,11.0
59434.349548,o,25.0,11.0
59434.358284,o,42.0,12.0
59434.37021,o,57.0,12.0
59438.314012,o,43.0,10.0
59438.317212,o,54.0,10.0
59438.322716,o,28.0,10.0
59438.332817,o,52.0,10.0
59440.31347,o,28.0,17.0
59440.317184,o,10.0,17.0
59440.324096,o,47.0,14.0
59440.343356,o,48.0,11.0
59441.301443,o,61.0,10.0
59441.306083,o,68.0,11.0
59441.313682,o,40.0,9.0
59441.326429,o,42.0,12.0
59442.317084,o,81.0,12.0
59442.320317,o,77.0,15.0
