mjd,filter,uJy,duJy
59435.57985,c,9.0,10.0
59435.583076,c,-25.0,8.0
59435.588605,c,17.0,10.0
59435.608359,c,-1.0,8.0
59439.578338,c,-7.0,10.0
59439.581562,c,-11.0,12.0
59439.588051,c,-26.0,10.0
59439.606072,c,6.0,11.0
59439.630491,c,-10.0,25.0
59443.591466,c,-9.0,9.0
59443.595616,c,-11.0,9.0
59443.620587,c,-13.0,9.0
59443.621969,c,-4.0,12.0
59443.629838,c,0.0,16.0
59461.564675,c,234.0,10.0
59461.566506,c,228.0,11.0
59461.576489,c,224.0,11.0
59461.581583,c,240.0,10.0
59465.554676,c,267.0,11.0
59465.556963,c,226.0,10.0
59465.562477,c,242.0,11.0
59465.56893,c,234.0,10.0
59469.61603,c,228.0,13.0
59469.62039,c,233.0,14.0
59469.627802,c,234.0,13.0
59469.637077,c,249.0,22.0
59441.571791,o,24.0,14.0
59441.575008,o,23.0,15.0
59441.578666,o,3.0,13.0
59441.579581,o,-2.0,11.0
59441.581867,o,-11.0,10.0
59441.587397,o,-7.0,9.0
59441.590599,o,14.0,11.0
59441.608953,o,-50.0,11.0
59445.552512,o,1.0,12.0
59445.555267,o,-7.0,12.0
59445.558011,o,-4.0,12.0
59445.568099,o,8.0,10.0
59447.525871,o,1.0,24.0
59447.528177,o,16.0,29.0
59447.529101,o,-30.0,24.0
59447.534625,o,-6.0,21.0
59447.547981,o,12.0,22.0
59449.598675,o,44.0,24.0
59449.602791,o,14.0,20.0
59449.608857,o,-9.0,26.0
59449.617661,o,6.0,19.0
59449.63618,o,-18.0,46.0
59451.567057,o,46.0,19.0
59451.56982,o,-9.0,17.0
59451.572582,o,38.0,17.0
59451.577648,o,30.0,16.0
59453.623516,o,73.0,17.0
59453.627173,o,50.0,19.0
59453.629915,o,68.0,22.0
59453.633117,o,45.0,26.0
59455.558412,o,106.0,10.0
59455.561648,o,121.0,11.0
59455.564876,o,131.0,13.0
59455.573177,o,113.0,15.0
59457.571611,o,140.0,18.0
59457.5739,o,109.0,13.0
59457.579292,o,115.0,14.0
59457.584371,o,106.0,14.0
59463.527007,o,186.0,13.0
59463.530229,o,200.0,13.0
59463.546358,o,164.0,16.0
59463.552837,o,147.0,15.0
59467.52701,o,187.0,15.0
59467.529774,o,160.0,16.0
59467.545857,o,134.0,22.0
59467.54862,o,200.0,22.0
59471.523326,o,181.0,15.0
59471.525169,o,182.0,15.0
59471.529331,o,171.0,15.0
59471.537625,o,176.0,15.0
59477.449406,o,164.0,194.0
59479.47226,o,138.0,40.0
59479.490608,o,117.0,38.0
59479.493841,o,68.0,45.0
59479.496606,o,102.0,39.0
59481.486065,o,128.0,27.0
59481.487893,o,123.0,27.0
59481.490638,o,140.0,22.0
59481.502978,o,86.0,21.0
59483.502136,o,93.0,25.0
59483.5049,o,136.0,25.0
59483.507667,o,68.0,27.0
59483.521435,o,140.0,24.0
59483.641571,o,204.0,79.0
59485.490118,o,84.0,14.0
59485.491948,o,99.0,13.0
59485.495149,o,108.0,12.0
59485.500639,o,113.0,14.0
59487.498539,o,131.0,16.0
59487.500842,o,130.0,16.0
59487.508744,o,92.0,17.0
59487.514273,o,52.0,17.0
59489.479806,o,118.0,12.0
59489.483007,o,101.0,14.0
59489.486213,o,119.0,13.0
59489.491702,o,90.0,13.0
59491.47664,o,62.0,19.0
59491.479404,o,111.0,17.0
59491.48217,o,125.0,17.0
59491.487699,o,116.0,16.0
59493.40749,o,92.0,14.0
59493.413032,o,93.0,15.0
59493.418181,o,108.0,15.0
59493.451191,o,107.0,13.0
59495.478096,o,-234.0,93.0
59495.481843,o,75.0,23.0
59495.484607,o,-12.0,61.0
59495.491057,o,61.0,20.0
59501.459127,o,59.0,13.0
59501.460955,o,60.0,16.0
59501.466069,o,77.0,12.0
59501.476977,o,66.0,11.0
59503.435984,o,52.0,25.0
59503.438289,o,75.0,25.0
59503.442903,o,19.0,22.0
59503.447972,o,101.0,24.0
59505.431212,o,57.0,307.0
59505.433503,o,52.0,80.0
59505.439035,o,45.0,227.0
59505.447182,o,56.0,52.0
59509.497074,o,16.0,29.0
59509.500748,o,68.0,35.0
59509.52855,o,33.0,26.0
59509.556939,o,61.0,36.0
59511.435398,o,58.0,31.0
59511.438627,o,-20.0,42.0
59511.441391,o,46.0,39.0
59511.44695,o,154.0,72.0
59513.466517,o,29.0,14.0
59513.469767,o,54.0,14.0
59513.50518,o,46.0,15.0
59513.533543,o,28.0,17.0
59515.40817,o,5.0,17.0
59515.412788,o,14.0,15.0
59515.419241,o,15.0,16.0
59515.42432,o,53.0,14.0
