mjd,filter,uJy,duJy
59444.551638,c,-4.0,9.0
59444.554411,c,-1.0,7.0
59444.560429,c,-20.0,9.0
59444.571502,c,8.0,9.0
59462.55535,c,234.0,10.0
59462.559974,c,201.0,10.0
59462.564122,c,232.0,10.0
59462.570543,c,256.0,10.0
59466.539391,c,280.0,9.0
59466.542638,c,302.0,10.0
59466.548139,c,308.0,9.0
59466.555496,c,332.0,9.0
59470.544917,c,257.0,10.0
59470.546773,c,306.0,10.0
59470.549553,c,283.0,10.0
59470.558277,c,271.0,9.0
59518.480789,c,35.0,8.0
59518.484464,c,36.0,8.0
59518.490615,c,29.0,8.0
59518.504259,c,48.0,8.0
59522.442226,c,24.0,9.0
59522.445894,c,48.0,12.0
59522.451425,c,67.0,10.0
59522.462975,c,50.0,11.0
59442.582301,o,0.0,9.0
59442.595094,o,39.0,12.0
59442.601505,o,8.0,10.0
59442.609291,o,-31.0,11.0
59445.563983,o,-5.0,10.0
59445.567183,o,-53.0,11.0
59445.572676,o,-51.0,10.0
59445.583213,o,-58.0,11.0
59447.536466,o,-52.0,21.0
59447.539694,o,-58.0,15.0
59447.54614,o,44.0,18.0
59447.556277,o,-6.0,15.0
59448.565316,o,0.0,18.0
59448.568542,o,-42.0,17.0
59448.575447,o,-20.0,17.0
59448.588364,o,22.0,18.0
59450.57197,o,31.0,20.0
59450.574738,o,-18.0,24.0
59450.580257,o,3.0,24.0
59450.592225,o,-49.0,23.0
59452.526053,o,-20.0,17.0
59452.529751,o,25.0,18.0
59452.538527,o,-46.0,15.0
59452.555913,o,-39.0,15.0
59454.510266,o,-58.0,21.0
59454.515325,o,-78.0,17.0
59454.519907,o,-57.0,24.0
59454.531867,o,21.0,20.0
59456.57435,o,68.0,13.0
59456.576192,o,41.0,10.0
59456.578954,o,62.0,12.0
59456.584948,o,12.0,23.0
59458.560907,o,80.0,24.0
59458.562737,o,223.0,36.0
59458.572681,o,74.0,10.0
59458.580049,o,101.0,14.0
59460.577962,o,178.0,12.0
59460.579806,o,168.0,13.0
59460.58257,o,163.0,13.0
59460.594558,o,179.0,13.0
59464.565448,o,243.0,11.0
59464.567301,o,213.0,9.0
59464.577452,o,169.0,10.0
59464.58299,o,262.0,11.0
59474.516617,o,253.0,14.0
59474.518447,o,262.0,14.0
59474.52215,o,238.0,14.0
59474.527238,o,266.0,40.0
59474.641359,o,220.0,26.0
59477.470934,o,315.0,67.0
59477.472763,o,179.0,46.0
59477.475521,o,286.0,54.0
59477.481489,o,184.0,102.0
59478.436738,o,204.0,42.0
59478.440899,o,205.0,35.0
59478.445022,o,157.0,39.0
59478.455758,o,107.0,39.0
59484.517779,o,134.0,18.0
59484.520085,o,161.0,18.0
59484.523312,o,156.0,16.0
59484.530448,o,162.0,17.0
59485.502013,o,141.0,12.0
59485.504757,o,141.0,11.0
59485.525579,o,169.0,15.0
59485.528778,o,130.0,14.0
59486.498593,o,157.0,14.0
59486.500427,o,127.0,13.0
59486.504849,o,134.0,12.0
59486.510375,o,110.0,12.0
59488.509231,o,184.0,18.0
59488.511075,o,178.0,15.0
59488.513843,o,161.0,15.0
59488.518908,o,129.0,15.0
59489.490787,o,147.0,11.0
59489.492617,o,133.0,12.0
59489.495819,o,101.0,12.0
59489.512049,o,192.0,13.0
59490.508224,o,52.0,14.0
59490.510101,o,100.0,11.0
59490.512862,o,154.0,12.0
59490.518177,o,124.0,12.0
59492.496017,o,-36.0,73.0
59492.499257,o,-69.0,49.0
59492.504819,o,-440.0,138.0
59492.512196,o,-753.0,133.0
59493.498688,o,119.0,12.0
59493.500518,o,147.0,10.0
59493.506033,o,64.0,11.0
59493.51293,o,99.0,12.0
59494.487048,o,127.0,13.0
59494.489343,o,131.0,15.0
59494.496541,o,113.0,11.0
59494.505348,o,144.0,11.0
59496.494541,o,117.0,18.0
59496.499146,o,150.0,16.0
59496.509653,o,114.0,17.0
59496.643152,o,144.0,69.0
59498.512744,o,69.0,11.0
59498.540892,o,111.0,10.0
59498.569339,o,141.0,12.0
59498.593644,o,34.0,13.0
59500.432682,o,105.0,15.0
59500.434529,o,84.0,15.0
59500.439139,o,146.0,16.0
59500.444212,o,95.0,15.0
59501.506543,o,13.0,8.0
59501.509745,o,-9.0,10.0
59501.544948,o,50.0,10.0
59501.573379,o,-3.0,9.0
59503.383858,o,75.0,23.0
59503.389416,o,108.0,25.0
59503.391256,o,45.0,21.0
59503.409154,o,83.0,20.0
59504.440323,o,178.0,401.0
59506.40492,o,35.0,24.0
59506.406756,o,34.0,27.0
59506.413185,o,32.0,25.0
59506.419172,o,53.0,29.0
59510.494371,o,44.0,24.0
59510.497941,o,7.0,28.0
59510.543444,o,10.0,27.0
59510.571807,o,35.0,25.0
59511.333481,o,77.0,32.0
59511.340389,o,63.0,38.0
59511.355643,o,49.0,29.0
59511.380472,o,67.0,28.0
59512.468192,o,98.0,23.0
59512.471418,o,30.0,21.0
59512.478332,o,0.0,17.0
59512.493702,o,79.0,21.0
59513.365768,o,74.0,15.0
59513.370823,o,59.0,14.0
59513.373121,o,-22.0,12.0
59513.384144,o,21.0,13.0
59516.454106,o,62.0,14.0
59516.487448,o,45.0,14.0
59516.490676,o,70.0,16.0
59516.496209,o,35.0,21.0
59520.448282,o,22.0,14.0
59520.480081,o,50.0,15.0
59520.481463,o,1.0,13.0
59520.483318,o,28.0,14.0
59520.484701,o,-24.0,14.0
59520.48937,o,-12.0,12.0
59520.511276,o,20.0,16.0
