mjd,filter,uJy,duJy
59815.170186,c,-1.0,10.0
59815.193501,c,3.0,11.0
59815.196675,c,23.0,10.0
59815.220635,c,4.0,11.0
59819.223379,c,34.0,8.0
59819.22518,c,28.0,9.0
59819.228332,c,11.0,8.0
59819.262005,c,19.0,10.0
59820.550481,c,29.0,9.0
59820.578785,c,29.0,10.0
59820.608076,c,28.0,8.0
59820.614696,c,32.0,9.0
59821.530341,c,36.0,8.0
59821.563267,c,51.0,8.0
59821.579974,c,40.0,9.0
59821.604851,c,28.0,9.0
59822.449898,c,50.0,11.0
59822.451706,c,63.0,12.0
59822.477143,c,48.0,11.0
59822.496853,c,55.0,11.0
59823.285887,c,50.0,8.0
59823.28904,c,32.0,8.0
59823.295357,c,48.0,9.0
59823.325098,c,43.0,9.0
59824.400646,c,66.0,10.0
59824.402454,c,45.0,11.0
59824.40522,c,59.0,8.0
59824.440717,c,49.0,12.0
59843.449283,c,60.0,9.0
59843.452436,c,84.0,10.0
59843.475421,c,92.0,5.0
59843.496683,c,88.0,8.0
59844.395672,c,83.0,9.0
59844.397516,c,84.0,9.0
59844.400287,c,78.0,8.0
59844.405501,c,70.0,9.0
59846.446788,c,0.0,328.0
59846.494417,c,-156.0,148.0
59846.499642,c,-484.0,312.0
59847.362607,c,62.0,11.0
59847.36587,c,70.0,9.0
59847.371415,c,73.0,10.0
59847.376533,c,50.0,11.0
59848.535701,c,50.0,12.0
59848.567745,c,53.0,12.0
59848.576537,c,59.0,12.0
59848.584993,c,58.0,14.0
59850.457074,c,41.0,9.0
59850.460818,c,49.0,9.0
59850.496766,c,46.0,10.0
59850.508775,c,62.0,9.0
59851.428103,c,37.0,10.0
59851.440267,c,63.0,10.0
59851.445188,c,40.0,10.0
59851.458923,c,81.0,9.0
59852.493389,c,54.0,10.0
59852.499895,c,62.0,11.0
59852.53544,c,53.0,12.0
59854.41742,c,47.0,9.0
59854.421189,c,38.0,9.0
59854.453117,c,55.0,9.0
59854.458571,c,20.0,10.0
59870.395649,c,24.0,9.0
59870.398621,c,22.0,9.0
59870.404731,c,33.0,9.0
59870.418252,c,27.0,10.0
59871.12613,c,9.0,11.0
59871.129734,c,19.0,11.0
