mjd,filter,uJy,duJy
59851.46498,c,22.0,8.0
59851.467852,c,9.0,8.0
59851.497381,c,14.0,8.0
59851.504764,c,42.0,8.0
59853.343691,c,2.0,8.0
59853.345576,c,2.0,8.0
59853.348347,c,17.0,8.0
59853.353474,c,-20.0,9.0
59855.429133,c,-4.0,7.0
59855.432362,c,1.0,7.0
59855.43516,c,6.0,7.0
59855.443981,c,4.0,8.0
59856.513927,c,44.0,10.0
59856.518643,c,27.0,8.0
59856.551915,c,-10.0,9.0
59856.558745,c,4.0,8.0
59857.515825,c,4.0,7.0
59857.52095,c,10.0,8.0
59857.524183,c,24.0,9.0
59857.534871,c,18.0,8.0
59869.363836,c,65.0,8.0
59869.393629,c,51.0,9.0
59869.403836,c,33.0,10.0
59869.405796,c,29.0,10.0
59871.431027,c,102.0,12.0
59871.434198,c,100.0,11.0
59871.440076,c,103.0,10.0
59871.450946,c,101.0,11.0
59875.417804,c,181.0,12.0
59875.420973,c,184.0,10.0
59875.43686,c,118.0,8.0
59883.408818,c,159.0,11.0
59883.418801,c,199.0,10.0
59899.360165,c,63.0,9.0
59899.362939,c,67.0,8.0
59899.392099,c,83.0,9.0
59901.319169,c,56.0,8.0
59901.361149,c,40.0,8.0
59901.365333,c,40.0,7.0
59901.393294,c,79.0,8.0
59904.422735,c,47.0,9.0
59904.42551,c,67.0,9.0
59904.438948,c,64.0,9.0
59904.448206,c,56.0,10.0
59905.380463,c,21.0,12.0
59905.384821,c,32.0,9.0
59905.391746,c,43.0,10.0
59905.402852,c,48.0,13.0
59907.353984,c,46.0,7.0
59907.360486,c,58.0,6.0
59907.370217,c,55.0,8.0
59907.384163,c,66.0,8.0
59908.301513,c,49.0,7.0
59908.317063,c,53.0,9.0
59908.330735,c,17.0,7.0
59908.333991,c,36.0,8.0
59909.324744,c,55.0,9.0
59909.328445,c,29.0,8.0
59909.333553,c,44.0,9.0
59909.369096,c,12.0,10.0
59927.278379,c,5.0,10.0
59927.28155,c,14.0,9.0
59927.28795,c,28.0,11.0
59927.299316,c,25.0,10.0
59851.455927,o,-31.0,7.0
59851.488157,o,-42.0,13.0
59851.489518,o,0.0,12.0
59851.490907,o,-53.0,13.0
59851.494082,o,-58.0,9.0
59851.494533,o,-9.0,12.0
