mjd,filter,uJy,duJy
59869.146724,c,-7.0,6.0
59869.148977,c,-14.0,8.0
59869.1747,c,-13.0,9.0
59869.177851,c,-10.0,7.0
59870.238014,c,0.0,8.0
59870.240847,c,-14.0,8.0
59870.246295,c,1.0,6.0
59870.258528,c,-27.0,6.0
59873.2345,c,7.0,7.0
59873.237631,c,2.0,7.0
59873.24287,c,-5.0,8.0
59873.278206,c,-14.0,7.0
59874.145291,c,-26.0,9.0
59874.147541,c,-30.0,10.0
59874.178357,c,-8.0,9.0
59874.181508,c,5.0,8.0
59877.172825,c,-13.0,9.0
59877.175077,c,6.0,9.0
59877.17868,c,-9.0,9.0
59877.184984,c,-22.0,9.0
59878.220474,c,21.0,11.0
59878.224685,c,11.0,10.0
59878.230961,c,24.0,8.0
59878.26643,c,-8.0,9.0
59881.208096,c,234.0,10.0
59881.21107,c,248.0,10.0
59881.227473,c,260.0,10.0
59898.940353,c,1614.0,16.0
59898.942892,c,1576.0,16.0
59898.948346,c,1559.0,15.0
59898.967547,c,1595.0,16.0
59899.924695,c,1567.0,16.0
59899.927851,c,1598.0,16.0
59899.932819,c,1580.0,16.0
59899.945118,c,1557.0,19.0
59902.920636,c,1392.0,16.0
59902.923795,c,1380.0,14.0
59902.929221,c,1378.0,15.0
59902.939883,c,1385.0,19.0
59903.91976,c,1331.0,14.0
59903.923375,c,1355.0,14.0
59903.930304,c,1324.0,15.0
59903.962075,c,1305.0,15.0
59906.900407,c,1088.0,13.0
59906.903184,c,1070.0,13.0
59906.934907,c,1110.0,14.0
59906.952907,c,1115.0,15.0
59907.914089,c,1016.0,14.0
59907.92447,c,1021.0,14.0
59907.928563,c,1029.0,14.0
59907.934037,c,1003.0,13.0
59910.900234,c,861.0,13.0
59910.903386,c,846.0,13.0
59910.909102,c,841.0,13.0
59910.919083,c,839.0,13.0
59929.127363,c,304.0,12.0
59929.130989,c,332.0,10.0
59929.136462,c,332.0,10.0
59929.14649,c,266.0,22.0
59929.147391,c,323.0,11.0
59930.117074,c,296.0,11.0
59930.121317,c,319.0,12.0
59930.126985,c,318.0,12.0
59930.133497,c,254.0,143.0
59930.141985,c,322.0,12.0
59934.127786,c,241.0,10.0
59934.130976,c,265.0,12.0
59934.136384,c,282.0,11.0
59934.139086,c,200.0,20.0
59934.149704,c,266.0,11.0
59938.07108,c,209.0,10.0
59938.074683,c,205.0,9.0
59938.080179,c,229.0,9.0
59858.957777,o,21.0,103.0
59859.931775,o,29.0,33.0
59859.934937,o,-2.0,31.0
59859.938102,o,-40.0,30.0
59859.963892,o,-33.0,20.0
59860.920576,o,89.0,49.0
59860.92238,o,-16.0,32.0
59860.925545,o,-2.0,31.0
59860.931004,o,-21.0,26.0
59862.285069,o,26.0,33.0
59862.288224,o,-66.0,31.0
59862.294849,o,37.0,35.0
59862.329897,o,38.0,46.0
59866.196438,o,-13.0,14.0
59866.198239,o,-10.0,17.0
59866.211361,o,-3.0,14.0
59866.223214,o,19.0,13.0
59871.063695,o,-26.0,12.0
59871.082964,o,-22.0,11.0
59871.085721,o,1.0,13.0
59871.091764,o,-21.0,15.0
59871.911776,o,-37.0,16.0
59871.914582,o,-25.0,13.0
59871.920309,o,-3.0,13.0
59871.942855,o,-4.0,14.0
59874.84948,o,-42.0,15.0
59874.852231,o,-21.0,16.0
59874.857281,o,19.0,26.0
59874.867764,o,20.0,24.0
59875.96881,o,-10.0,11.0
59875.973846,o,-7.0,14.0
59875.978639,o,-2.0,12.0
59875.97909,o,-15.0,10.0
59876.013198,o,4.0,14.0
59876.019151,o,-27.0,12.0
59878.992405,o,40.0,12.0
59879.006332,o,14.0,14.0
59879.078599,o,40.0,15.0
59879.081787,o,72.0,14.0
59879.089398,o,115.0,21.0
59879.0972,o,82.0,32.0
59879.913568,o,133.0,12.0
59879.91628,o,117.0,10.0
59879.919141,o,101.0,9.0
59882.143961,o,314.0,12.0
59882.145816,o,300.0,14.0
59882.155494,o,344.0,13.0
59882.894814,o,-58.0,489.0
59883.007062,o,459.0,15.0
59883.016407,o,452.0,17.0
59883.994049,o,550.0,15.0
59884.025717,o,608.0,16.0
59885.130804,o,774.0,27.0
59885.139246,o,747.0,19.0
59885.14465,o,704.0,19.0
59886.21106,o,844.0,22.0
59886.226864,o,899.0,18.0
59886.229635,o,874.0,20.0
59886.234348,o,870.0,22.0
59889.210803,o,1146.0,30.0
59889.219074,o,1122.0,27.0
59890.868898,o,1216.0,38.0
59890.871669,o,1151.0,35.0
59890.874394,o,1190.0,32.0
59890.879812,o,1236.0,30.0
59891.962267,o,1320.0,35.0
59893.162502,o,1224.0,26.0
59893.189857,o,1288.0,28.0
59893.195575,o,1243.0,26.0
59894.193936,o,1333.0,143.0
59894.197089,o,1347.0,124.0
59894.203952,o,729.0,313.0
59894.220144,o,1051.0,179.0
59894.938709,o,1269.0,20.0
59894.941416,o,1237.0,20.0
59894.946825,o,1242.0,21.0
59894.957568,o,1247.0,19.0
59897.181489,o,1258.0,20.0
59897.185092,o,1286.0,20.0
59897.190504,o,1281.0,20.0
59897.199938,o,1226.0,19.0
59898.124665,o,1191.0,14.0
59898.126017,o,1222.0,17.0
59898.128719,o,1249.0,16.0
59898.133677,o,1207.0,17.0
59901.155115,o,1397.0,21.0
59901.158269,o,1258.0,20.0
59901.167973,o,1356.0,22.0
59901.195059,o,1317.0,21.0
59902.211512,o,1278.0,23.0
59902.215251,o,1269.0,21.0
59902.22051,o,1194.0,21.0
59902.230553,o,1237.0,20.0
59905.17583,o,868.0,16.0
59905.178987,o,844.0,16.0
59905.188918,o,860.0,16.0
59905.194003,o,837.0,16.0
59906.160066,o,809.0,17.0
59906.163779,o,805.0,17.0
59906.171405,o,762.0,16.0
59906.201417,o,756.0,16.0
59909.19395,o,640.0,15.0
59909.197103,o,612.0,15.0
59909.220825,o,599.0,15.0
59909.236436,o,584.0,26.0
59910.165022,o,571.0,15.0
59910.168176,o,579.0,15.0
59910.177138,o,593.0,14.0
59910.201913,o,594.0,14.0
59911.893905,o,571.0,39.0
59911.897401,o,579.0,19.0
59911.902831,o,544.0,15.0
59911.912706,o,549.0,15.0
59913.146933,o,552.0,18.0
59913.150085,o,543.0,18.0
59913.15995,o,604.0,17.0
59913.165435,o,543.0,18.0
59914.14247,o,495.0,19.0
59914.795447,o,527.0,24.0
59914.798607,o,499.0,22.0
59914.801348,o,511.0,19.0
59914.808915,o,526.0,20.0
59915.883193,o,535.0,22.0
59915.90219,o,541.0,19.0
59915.905345,o,537.0,20.0
59915.911256,o,604.0,18.0
59917.114272,o,532.0,32.0
59917.146784,o,512.0,31.0
59917.149937,o,519.0,31.0
59917.155342,o,589.0,32.0
59918.148017,o,527.0,33.0
59918.151171,o,576.0,33.0
59918.157475,o,577.0,31.0
59918.171678,o,557.0,30.0
59918.896869,o,372.0,159.0
59919.845083,o,554.0,25.0
59919.850761,o,548.0,31.0
59919.855568,o,532.0,27.0
59919.866531,o,485.0,26.0
59921.146702,o,451.0,29.0
59921.150305,o,493.0,40.0
59921.157151,o,578.0,34.0
59921.171693,o,556.0,26.0
59922.090477,o,603.0,28.0
59922.106864,o,549.0,23.0
59922.110078,o,531.0,24.0
59922.138476,o,606.0,48.0
59922.840265,o,570.0,20.0
59922.845644,o,550.0,16.0
59922.848832,o,575.0,20.0
59922.860794,o,946.0,119.0
59925.093834,o,515.0,13.0
59925.097594,o,534.0,15.0
59925.107563,o,524.0,15.0
59925.112662,o,516.0,14.0
59926.139446,o,511.0,15.0
59926.144996,o,537.0,14.0
59926.148155,o,524.0,16.0
59926.158597,o,538.0,17.0
59926.912127,o,522.0,14.0
59926.915299,o,503.0,14.0
59926.922152,o,502.0,15.0
59926.947585,o,505.0,16.0
59927.837494,o,503.0,12.0
59927.841862,o,488.0,14.0
59927.847347,o,521.0,13.0
59927.8574,o,476.0,15.0
59931.875102,o,404.0,11.0
59931.878254,o,430.0,13.0
59931.883667,o,417.0,12.0
59931.893712,o,419.0,13.0
59934.888214,o,328.0,13.0
59934.891418,o,338.0,14.0
59934.896856,o,306.0,13.0
59934.907525,o,315.0,13.0
59935.830229,o,313.0,12.0
59935.840182,o,330.0,12.0
59935.84338,o,326.0,13.0
59935.8495,o,337.0,12.0
59878.35664349981,ZTF_g,39.10929614777545,10.41998216981613
59880.35668980004,ZTF_g,168.23625800864184,21.519444450470285
59882.378124999814,ZTF_g,379.32651409528546,45.21021744424653
59887.27232640004,ZTF_g,1224.9433377810176,36.65846235186387
