mjd,filter,uJy,duJy
59875.276243,c,-3.0,9.0
59875.278045,c,-2.0,9.0
59875.281202,c,10.0,9.0
59875.306387,c,-10.0,9.0
59876.480438,c,-5.0,12.0
59876.482248,c,-7.0,10.0
59876.496543,c,-9.0,11.0
59876.520807,c,-2.0,11.0
59879.271218,c,16.0,8.0
59879.273929,c,-3.0,9.0
59879.277544,c,34.0,10.0
59880.593046,c,31.0,10.0
59880.603146,c,28.0,10.0
59880.607212,c,39.0,9.0
59880.613159,c,18.0,12.0
59883.238711,c,85.0,9.0
59883.240516,c,89.0,9.0
59883.244577,c,106.0,10.0
59884.475105,c,131.0,11.0
59884.477818,c,157.0,10.0
59884.505979,c,134.0,11.0
59900.922735,c,272.0,12.0
59900.942775,c,267.0,10.0
59900.945933,c,233.0,10.0
59900.958594,c,248.0,10.0
59906.443072,c,148.0,10.0
59906.444918,c,179.0,9.0
59906.447694,c,158.0,8.0
59906.467136,c,155.0,9.0
59908.914208,c,149.0,9.0
59908.94869,c,179.0,9.0
59908.95514,c,152.0,11.0
59908.958302,c,155.0,10.0
59910.492765,c,124.0,10.0
59910.500305,c,112.0,10.0
59910.512181,c,106.0,9.0
59912.997597,c,86.0,10.0
59913.000751,c,102.0,10.0
59913.006631,c,100.0,11.0
59913.019745,c,137.0,9.0
59931.182752,c,26.0,9.0
59931.185905,c,35.0,8.0
59931.221555,c,52.0,8.0
59931.240779,c,31.0,8.0
59935.179998,c,30.0,8.0
59935.183602,c,43.0,9.0
59935.219106,c,47.0,8.0
59935.22503,c,31.0,8.0
59939.141755,c,49.0,10.0
59939.14507,c,20.0,9.0
59939.176211,c,17.0,9.0
59860.522471,o,-15.0,22.0
59860.524279,o,46.0,26.0
59860.527443,o,30.0,26.0
59860.532872,o,-8.0,28.0
59861.021013,o,15.0,49.0
59861.022816,o,42.0,49.0
59861.026423,o,-19.0,43.0
59861.034132,o,42.0,50.0
59862.476399,o,-28.0,24.0
59862.479503,o,1.0,21.0
59862.482272,o,-29.0,20.0
59862.48735,o,-15.0,24.0
59867.306827,o,29.0,23.0
59867.309082,o,16.0,21.0
59867.331547,o,31.0,23.0
59867.3532,o,-19.0,22.0
59868.521394,o,13.0,12.0
59868.524556,o,7.0,13.0
59868.527721,o,0.0,15.0
59868.534503,o,-13.0,15.0
59870.539253,o,1.0,10.0
59870.542031,o,-9.0,11.0
59870.547639,o,20.0,10.0
59870.553645,o,3.0,11.0
59872.514733,o,-2.0,9.0
59872.516541,o,7.0,11.0
59872.521513,o,19.0,10.0
59872.527842,o,-4.0,14.0
59873.022512,o,18.0,18.0
59873.029948,o,-17.0,17.0
59873.033554,o,-48.0,19.0
59873.043504,o,-16.0,12.0
59874.547955,o,-39.0,11.0
59874.553495,o,6.0,7.0
59874.556729,o,-20.0,10.0
59874.570789,o,-37.0,10.0
59876.974098,o,362.0,19.0
59876.989147,o,64.0,37.0
59876.992321,o,27.0,15.0
59876.997808,o,12.0,11.0
59878.413597,o,-12.0,12.0
59878.415906,o,-6.0,14.0
59878.448852,o,-5.0,13.0
59878.462693,o,-2.0,12.0
59880.964472,o,56.0,17.0
59880.970776,o,81.0,19.0
59882.546717,o,121.0,12.0
59882.556618,o,125.0,10.0
59886.602681,o,265.0,11.0
59887.207151,o,344.0,19.0
59887.209857,o,333.0,16.0
59887.240333,o,327.0,16.0
59888.909265,o,364.0,28.0
59888.917025,o,335.0,27.0
59890.441048,o,363.0,28.0
59890.444801,o,383.0,23.0
59890.450344,o,363.0,25.0
59891.150353,o,414.0,61.0
59891.153074,o,413.0,65.0
59891.159472,o,376.0,78.0
59891.173423,o,530.0,148.0
59896.56365,o,380.0,19.0
59896.566831,o,356.0,20.0
59896.57552,o,382.0,22.0
59896.585919,o,384.0,23.0
59897.050807,o,382.0,22.0
59897.077055,o,389.0,19.0
59897.087295,o,359.0,21.0
59897.093253,o,347.0,24.0
59898.497017,o,318.0,9.0
59898.499803,o,333.0,13.0
59898.532709,o,311.0,15.0
59898.542411,o,321.0,13.0
59899.169354,o,341.0,13.0
59899.172979,o,305.0,15.0
59899.177933,o,285.0,16.0
59899.19273,o,286.0,14.0
59903.201342,o,222.0,14.0
59903.203149,o,211.0,12.0
