mjd,filter,uJy,duJy
59884.620254,c,10.0,19.0
59884.621159,c,22.0,10.0
59884.626711,c,48.0,10.0
59884.630783,c,52.0,11.0
59884.639564,c,43.0,15.0
59884.646109,c,52.0,16.0
59906.615622,c,136.0,10.0
59906.634669,c,110.0,8.0
59906.644043,c,114.0,10.0
59906.651757,c,102.0,14.0
59935.307859,c,30.0,9.0
59935.311018,c,14.0,9.0
59935.317332,c,41.0,9.0
59935.327243,c,30.0,8.0
59939.30708,c,38.0,10.0
59939.309331,c,41.0,9.0
59939.31249,c,40.0,10.0
59939.31751,c,55.0,9.0
59943.315282,c,14.0,10.0
59943.317084,c,48.0,9.0
59943.33361,c,43.0,10.0
59943.336763,c,52.0,9.0
59881.086168,o,24.0,32.0
59881.101875,o,44.0,30.0
59881.105972,o,8.0,18.0
59881.113278,o,29.0,23.0
59890.620368,o,117.0,22.0
59890.637999,o,142.0,18.0
59890.64031,o,142.0,18.0
59891.338857,o,112.0,213.0
59891.345653,o,333.0,58.0
59894.570894,o,172.0,18.0
59894.573202,o,160.0,17.0
59894.574589,o,133.0,16.0
59894.580745,o,172.0,19.0
59898.575549,o,185.0,14.0
59898.607389,o,167.0,16.0
59898.611102,o,186.0,16.0
59898.649122,o,236.0,24.0
59908.609591,o,121.0,14.0
59908.61277,o,105.0,10.0
59908.622718,o,102.0,10.0
59908.628598,o,152.0,12.0
59915.287334,o,57.0,22.0
59915.290496,o,43.0,24.0
59915.291848,o,119.0,19.0
59915.295001,o,86.0,16.0
59915.296354,o,113.0,14.0
59915.301932,o,129.0,18.0
59915.307788,o,97.0,15.0
59915.312311,o,106.0,25.0
59917.061383,o,1747.0,585.0
59917.065444,o,35.0,818.0
59917.078717,o,-18.0,216.0
59917.080977,o,58.0,98.0
59917.092365,o,184.0,123.0
59919.302978,o,53.0,36.0
59919.306132,o,21.0,40.0
59919.311995,o,64.0,21.0
59919.321999,o,101.0,22.0
59919.32335,o,149.0,28.0
59919.326509,o,167.0,31.0
59919.333116,o,86.0,21.0
59919.339894,o,130.0,28.0
59921.024365,o,130.0,35.0
59921.027975,o,78.0,32.0
59921.036467,o,80.0,33.0
59921.046385,o,82.0,23.0
59923.310668,o,98.0,26.0
59923.313822,o,132.0,28.0
59923.321524,o,99.0,26.0
59923.327666,o,69.0,26.0
59923.354205,o,48.0,28.0
59928.475408,o,78.0,18.0
59928.478572,o,49.0,21.0
59928.482664,o,109.0,19.0
59928.515592,o,48.0,17.0
59928.667226,o,76.0,34.0
59931.316397,o,82.0,14.0
59931.31955,o,74.0,11.0
59931.329353,o,58.0,12.0
59931.337107,o,70.0,12.0
59931.348056,o,94.0,12.0
59941.034123,o,53.0,8.0
59941.041941,o,14.0,10.0
59941.045101,o,40.0,9.0
59941.05503,o,47.0,10.0
59944.948792,o,24.0,21.0
59944.951954,o,-36.0,19.0
59944.961712,o,40.0,16.0
59944.982174,o,24.0,12.0
59947.2163,o,24.0,20.0
59947.233601,o,-31.0,29.0
59947.234521,o,18.0,18.0
59947.236323,o,58.0,16.0
59947.238575,o,124.0,27.0
59947.240828,o,40.0,17.0
59893.44152780017,ZTF_g,150.1641976723742,25.208700867771952
59897.477661999874,ZTF_g,145.37107433033185,15.267110471123356
59901.507141199894,ZTF_g,125.03672788290615,9.537820051745936
59903.50225690007,ZTF_g,124.13721562129206,11.357292283430777
59910.49395829998,ZTF_g,79.08920316785655,9.308152977264168
59914.46538189985,ZTF_g,62.46500800974614,7.794321990233633
59888.477638899814,ZTF_r,113.85077728816864,11.176150600502313
59893.48153939983,ZTF_r,183.09007391305218,16.852763987253777
59901.52370369993,ZTF_r,188.4166162114347,9.19141970324822
59905.42557869991,ZTF_r,198.77419348126648,54.480323462630196
59914.50436339993,ZTF_r,107.49067745123997,9.05440611311601
59923.441041700076,ZTF_r,103.8857549029323,13.315087158365179
59930.462754600216,ZTF_r,89.57771912192128,8.60222938801842
59933.400023099966,ZTF_r,67.56161150841544,10.947991262818086
