MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60697.262678,21.879,1.755,6,11,c,0,1.05,24.10233,22.0498,1674.88,5609.22,2.3,2.19,-52.7,-0.442,19.43,20.92,02a60697o0124c
60697.266352,-21.499,1.412,-9,13,c,0,1.21,24.10233,22.0498,1655.21,5569.29,2.31,2.25,-52.6,-0.433,19.45,20.93,02a60697o0132c
60699.249746,-21.463,1.508,-9,14,o,0,1.35,24.10233,22.0498,8457.56,8822.23,2.81,2.7,-76.7,-0.423,19.34,20.56,01a60699o0089o
60699.25295,-20.984,0.828,-15,12,o,0,1.26,24.10233,22.0498,8475.65,8860.76,2.72,2.51,-61.2,-0.451,19.38,20.56,01a60699o0096o
60699.258514,20.85,0.696,17,12,o,0,1.69,24.10233,22.0498,8414.77,8782.93,2.71,2.56,-68.4,-0.439,19.38,20.56,01a60699o0108o
60699.268803,-21.048,1.0,-14,14,o,0,1.32,24.10233,22.0498,8393.42,8902.09,2.81,2.64,67.8,-0.425,19.33,20.55,01a60699o0130o
60700.32721,19.653,0.308,50,15,o,0,1.05,24.10233,22.0498,8737.64,3003.84,2.52,2.35,-61.9,-0.462,19.2,20.17,01a60700o0003o
60700.330459,20.081,0.42,34,14,o,0,1.72,24.10233,22.0498,8754.59,3042.76,2.58,2.56,88.2,-0.421,19.14,20.12,01a60700o0010o
60700.33558,-22.031,3.069,-6,17,o,0,1.26,24.10233,22.0498,8695.82,2966.93,3.03,2.94,-75.0,-0.39,18.91,20.07,01a60700o0021o
60703.298168,-20.129,0.489,-32,16,o,0,1.14,24.10233,22.0498,2472.04,7186.13,2.77,2.5,49.9,-0.4,19.27,20.4,01a60703o0018o
60703.301928,-20.056,0.414,-34,14,o,0,1.49,24.10233,22.0498,2490.27,7224.39,3.33,2.79,49.0,-0.328,19.13,20.37,01a60703o0026o
60703.307435,-19.85,0.317,-42,13,o,0,1.21,24.10233,22.0498,2429.61,7146.21,2.67,2.46,53.7,-0.414,19.25,20.34,01a60703o0038o
60703.319094,-20.567,0.682,-22,15,o,0,1.25,24.10233,22.0498,2406.18,7262.07,2.66,2.51,56.2,-0.415,19.23,20.3,01a60703o0063o
60704.257518,-20.838,0.943,-17,16,o,0,1.79,24.10233,22.0498,2984.4,3315.64,2.46,2.26,39.5,-0.449,19.11,20.12,01a60704o0128o
60704.261236,20.529,0.662,22,15,o,0,1.44,24.10233,22.0498,3002.8,3354.73,2.34,2.21,40.4,-0.459,19.2,20.21,01a60704o0136o
60704.268193,-21.322,1.479,-11,16,o,0,1.29,24.10233,22.0498,2940.81,3275.0,2.48,2.32,40.1,-0.441,19.14,20.21,01a60704o0151o
60704.280284,21.706,2.703,8,20,o,0,1.41,24.10233,22.0498,2922.14,3392.01,2.46,2.33,42.1,-0.444,18.83,19.85,01a60704o0177o
60708.214309,26.183,233.0,0,28,o,0,0.93,24.10233,22.0498,5914.77,789.84,2.45,2.34,58.6,-0.448,18.53,18.72,01a60708o0029o
60708.21752,22.739,6.292,3,18,o,0,1.22,24.10233,22.0498,5935.0,826.78,2.39,2.28,19.7,-0.461,18.92,19.43,01a60708o0036o
60708.223666,-21.454,1.277,-10,12,o,0,1.57,24.10233,22.0498,5874.99,747.62,2.3,2.28,44.6,-0.464,19.24,20.02,01a60708o0049o
60708.249613,-20.444,0.561,-24,14,o,0,1.34,24.10233,22.0498,5852.34,867.78,2.57,2.5,-28.4,-0.457,19.2,20.18,01a60708o0104o
60709.216041,20.076,1.152,34,39,o,0,1.23,24.10233,22.0498,4601.85,9782.13,2.1,1.97,-51.6,-0.444,18.48,18.65,02a60709o0030o
60709.219214,21.929,4.87,6,30,o,0,1.11,24.10233,22.0498,4583.17,9742.4,2.13,1.94,-56.1,-0.448,18.81,19.18,02a60709o0037o
60709.227012,-20.722,1.195,-19,22,o,0,1.38,24.10233,22.0498,4641.88,9817.57,2.2,1.93,-55.3,-0.441,19.02,19.6,02a60709o0054o
60709.237988,-20.394,0.695,-25,18,o,0,2.13,24.10233,22.0498,4660.15,9699.86,2.13,1.88,-52.0,-0.449,19.04,19.64,02a60709o0078o
