MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60697.588574,20.973,1.629,15,24,o,0,0.95,246.05579,25.27206,1595.62,9715.55,2.88,2.6,73.1,-0.388,19.13,20.22,01a60697o0736o
60697.597661,-20.113,1.041,-33,34,o,0,1.12,246.05579,25.27206,1599.89,9717.83,2.86,2.62,72.7,-0.399,17.86,18.67,01a60697o0752o
60697.604908,-22.645,5.074,-3,16,o,0,1.27,246.05579,25.27206,8988.72,818.9,2.23,1.76,-58.1,-0.5,19.21,20.24,02a60697o0781o
60697.612575,20.954,1.07,15,16,o,0,1.13,246.05579,25.27206,8985.39,817.87,2.25,1.73,-59.7,-0.505,19.27,20.32,02a60697o0794o
60699.631314,-20.337,0.503,-27,13,o,0,0.96,246.05579,25.27206,7554.92,7977.98,3.02,2.85,41.7,-0.378,19.24,20.59,01a60699o0873o
60699.652032,22.165,2.667,5,13,o,0,0.84,246.05579,25.27206,7540.94,7935.69,3.12,2.9,45.6,-0.375,19.27,20.67,01a60699o0913o
60699.66605,19.893,0.405,40,16,o,0,1.0,246.05579,25.27206,7600.12,8011.11,3.13,2.99,42.0,-0.403,19.08,20.21,01a60699o0941o
60699.669785,-25.858,126.0,0,21,o,0,0.84,246.05579,25.27206,7619.08,7895.12,2.97,2.78,47.6,-0.368,18.8,19.57,01a60699o0949o
60704.621835,-21.336,2.05,-11,22,o,0,0.9,246.05579,25.27206,561.45,3342.23,2.62,2.39,43.8,-0.378,18.77,20.2,01a60704o0887o
60704.627465,-19.966,0.634,-37,24,o,0,1.43,246.05579,25.27206,539.92,3304.23,2.73,2.48,45.5,-0.37,18.46,19.94,01a60704o0898o
60704.630712,22.526,8.7,4,31,o,0,0.98,246.05579,25.27206,597.92,3381.02,2.64,2.42,41.7,-0.378,18.49,19.95,01a60704o0905o
60704.650125,19.162,0.557,78,44,o,0,1.16,246.05579,25.27206,622.48,3270.63,2.79,2.49,40.2,-0.36,18.0,19.49,01a60704o0946o
60708.605903,20.829,0.739,17,12,o,0,1.15,246.05579,25.27206,8195.98,5855.42,3.01,2.92,51.6,-0.394,19.25,20.68,01a60708o0852o
60708.608705,-21.957,2.484,-6,15,o,0,0.98,246.05579,25.27206,8177.73,5815.09,3.12,2.99,43.5,-0.385,19.24,20.68,01a60708o0858o
60708.613888,-22.617,3.7,-3,12,o,0,1.36,246.05579,25.27206,8236.97,5893.18,2.87,2.73,36.4,-0.392,19.33,20.7,01a60708o0869o
60708.624729,-22.385,3.0,-4,12,o,0,0.88,246.05579,25.27206,8258.91,5778.16,2.75,2.62,37.3,-0.399,19.43,20.72,01a60708o0892o
60709.615424,24.785,23.0,0,10,c,0,1.1,246.05579,25.27206,2427.95,4715.53,2.42,2.29,39.0,-0.414,19.43,21.08,02a60709o0883c
60709.618692,21.006,0.725,14,10,c,0,0.91,246.05579,25.27206,2445.61,4754.52,2.42,2.22,38.4,-0.41,19.46,21.09,02a60709o0890c
60709.624353,22.85,4.444,3,12,c,0,0.89,246.05579,25.27206,2385.16,4676.03,2.49,2.25,36.1,-0.406,19.45,21.11,02a60709o0902c
60709.635416,24.451,18.25,1,11,c,0,1.08,246.05579,25.27206,2364.18,4791.73,2.51,2.33,38.1,-0.403,19.49,21.2,02a60709o0926c
60710.584624,-24.655,34.667,0,17,o,0,0.95,246.05579,25.27206,1628.76,9780.86,2.99,2.67,75.5,-0.385,19.15,20.32,01a60710o0711o
60710.59978,24.428,14.75,1,9,c,0,1.27,246.05579,25.27206,6293.13,4528.84,2.5,2.33,32.1,-0.395,19.42,21.17,02a60710o0836c
60710.602509,-22.765,4.333,-3,12,c,0,0.79,246.05579,25.27206,6309.57,4566.9,2.55,2.35,34.8,-0.397,19.45,21.18,02a60710o0842c
60710.607554,0.0,21.453,0,10,c,0,1.21,246.05579,25.27206,6252.15,4490.56,2.54,2.33,38.8,-0.393,19.48,21.23,02a60710o0853c
60710.617349,22.992,4.467,2,10,c,0,0.92,246.05579,25.27206,6229.41,4604.38,2.54,2.32,36.7,-0.392,19.49,21.24,02a60710o0874c
60711.578589,21.932,2.139,6,13,o,0,1.0,246.05579,25.27206,1563.14,9701.69,2.95,2.69,83.0,-0.414,19.28,20.59,01a60711o0699o
60711.583928,-20.831,0.905,-17,15,o,0,1.02,246.05579,25.27206,9033.22,791.9,2.17,1.68,-53.3,-0.511,19.3,20.46,02a60711o0714o
60711.593751,-21.13,0.897,-13,12,o,0,1.03,246.05579,25.27206,8995.85,755.7,2.07,1.64,-54.2,-0.495,19.41,20.51,02a60711o0733o
60711.597981,-22.299,3.2,-4,14,o,0,0.98,246.05579,25.27206,8972.67,870.57,2.11,1.68,-57.2,-0.513,19.39,20.55,02a60711o0741o
60711.632105,21.604,1.235,8,10,o,0,1.33,246.05579,25.27206,9005.07,816.77,2.03,1.63,-56.8,-0.502,19.49,20.75,02a60711o0804o
60712.592609,23.157,5.154,2,10,o,0,1.28,246.05579,25.27206,5345.92,1470.85,2.72,2.55,35.1,-0.422,19.44,20.9,01a60712o0780o
60712.595847,21.507,1.138,9,10,o,0,1.24,246.05579,25.27206,5326.41,1429.73,2.59,2.44,32.2,-0.43,19.49,20.91,01a60712o0787o
60712.602537,-25.918,65.0,0,10,o,0,1.32,246.05579,25.27206,5384.64,1508.39,2.71,2.62,41.7,-0.422,19.45,20.94,01a60712o0800o
60712.613203,22.609,3.095,3,10,o,0,1.64,246.05579,25.27206,5406.78,1393.78,2.84,2.61,43.3,-0.392,19.48,21.04,01a60712o0822o
60714.588366,-24.568,18.667,0,10,c,0,1.43,246.05579,25.27206,5255.59,2983.51,2.64,2.45,39.4,-0.4,19.34,21.08,02a60714o0801c
60714.59153,21.721,1.5,7,11,c,0,1.19,246.05579,25.27206,5272.85,3021.79,2.62,2.43,42.6,-0.4,19.38,21.2,02a60714o0808c
60714.599329,21.935,1.735,6,11,c,0,0.99,246.05579,25.27206,5211.11,2944.22,2.65,2.44,45.0,-0.409,19.46,21.35,02a60714o0825c
60714.611296,0.0,21.227,0,12,c,0,0.98,246.05579,25.27206,5189.32,3060.11,2.67,2.42,44.4,-0.402,19.39,21.36,02a60714o0851c
60715.609846,-18.806,1.16,-109,126,o,0,1.05,246.05579,25.27206,5375.39,7569.48,2.85,2.61,51.4,-0.34,16.55,17.42,01a60715o0635o
60715.612628,-17.921,0.677,-246,167,o,0,0.94,246.05579,25.27206,5357.8,7530.95,2.79,2.61,50.8,-0.361,16.47,17.5,01a60715o0641o
60715.618758,17.524,0.708,355,252,o,0,1.08,246.05579,25.27206,5417.96,7610.93,3.22,2.59,49.8,-0.29,16.74,17.85,01a60715o0654o
60715.635706,-21.633,18.857,-8,152,o,0,1.11,246.05579,25.27206,5438.44,7493.14,2.7,2.49,49.5,-0.36,17.21,18.6,01a60715o0688o
60716.535821,20.098,0.804,33,27,o,0,1.02,246.05579,25.27206,9299.59,1311.26,2.83,2.68,-53.6,-0.424,18.5,19.04,01a60716o0707o
60716.538704,20.94,1.552,15,24,o,0,1.54,246.05579,25.27206,9281.86,1271.2,2.73,2.46,-61.7,-0.461,18.55,19.08,01a60716o0713o
60716.557844,20.839,1.447,17,24,o,0,1.13,246.05579,25.27206,9342.22,1347.73,2.75,2.59,-48.0,-0.452,18.69,19.31,01a60716o0754o
60716.563866,21.816,3.152,7,22,o,0,1.24,246.05579,25.27206,9365.9,1229.92,2.63,2.47,-47.8,-0.459,18.75,19.37,01a60716o0767o
60717.589375,20.675,1.179,20,23,o,0,1.32,246.05579,25.27206,1352.31,9266.31,2.02,1.92,-27.1,-0.488,18.68,19.16,02a60717o0560o
60717.592571,22.288,6.282,4,28,o,0,0.68,246.05579,25.27206,1368.06,9306.18,2.05,1.89,-20.6,-0.498,18.74,19.18,02a60717o0567o
60717.598542,-20.987,1.783,-15,26,o,0,1.18,246.05579,25.27206,1309.54,9228.12,2.04,1.92,-17.9,-0.491,18.71,19.22,02a60717o0580o
60717.608664,-19.857,0.555,-41,23,o,0,0.94,246.05579,25.27206,1282.9,9344.35,2.02,1.88,-26.4,-0.494,18.78,19.26,02a60717o0602o
60718.604818,20.504,1.043,23,24,o,0,0.98,246.05579,25.27206,1136.38,2652.87,2.11,1.87,34.9,-0.458,18.65,19.03,02a60718o0856o
60718.608449,21.242,1.676,12,19,o,0,1.03,246.05579,25.27206,1154.17,2692.03,2.15,1.89,34.8,-0.448,18.66,19.05,02a60718o0864o
60718.616305,-20.83,1.432,-17,24,o,0,0.75,246.05579,25.27206,1093.23,2611.6,2.06,1.85,32.6,-0.467,18.63,19.08,02a60718o0881o
60718.626296,23.513,17.769,1,25,o,0,0.76,246.05579,25.27206,1075.12,2728.65,2.13,1.89,35.5,-0.455,18.72,19.13,02a60718o0901o
60719.587262,21.406,2.014,10,20,o,0,1.22,246.05579,25.27206,9487.07,7915.73,2.62,2.49,-64.1,-0.464,18.83,19.41,01a60719o0813o
60719.598771,-21.409,2.077,-10,21,o,0,1.36,246.05579,25.27206,9471.09,7874.16,2.69,2.65,-88.0,-0.442,18.83,19.46,01a60719o0836o
60719.602972,-19.921,0.498,-39,19,o,0,1.12,246.05579,25.27206,9531.63,7954.8,2.81,2.64,35.9,-0.425,18.81,19.5,01a60719o0845o
60719.60809,21.958,4.229,6,25,o,0,0.74,246.05579,25.27206,9550.27,7836.56,2.88,2.86,-83.8,-0.414,18.78,19.53,01a60719o0856o
60720.577521,20.759,1.049,18,19,o,0,0.99,246.05579,25.27206,6677.82,3513.08,2.72,2.61,42.2,-0.401,18.92,19.65,01a60720o0658o
60720.580331,-20.104,0.536,-33,18,o,0,1.26,246.05579,25.27206,6659.36,3473.41,2.65,2.63,-89.5,-0.416,18.91,19.67,01a60720o0664o
60720.593836,21.762,2.419,7,17,o,0,1.2,246.05579,25.27206,6718.1,3551.72,3.01,2.74,38.0,-0.374,18.88,19.76,01a60720o0693o
60720.599912,-21.612,2.217,-8,18,o,0,1.02,246.05579,25.27206,6739.37,3434.77,2.67,2.51,37.7,-0.395,19.02,19.79,01a60720o0706o
60721.57869,-22.637,5.185,-3,17,o,0,1.29,246.05579,25.27206,3965.08,7045.52,2.32,1.89,31.3,-0.426,18.94,19.52,02a60721o0797o
60721.581491,19.954,0.444,38,17,o,0,1.5,246.05579,25.27206,3982.36,7083.83,2.46,2.1,34.2,-0.428,18.93,19.54,02a60721o0803o
60721.586753,20.159,0.59,31,18,o,0,1.02,246.05579,25.27206,3922.36,7005.76,2.37,1.94,35.6,-0.417,18.99,19.57,02a60721o0814o
