MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60698.333755,19.852,0.739,42,31,o,0,1.07,215.19557,-19.78614,442.16,2017.45,1.97,1.77,62.3,-0.432,18.56,19.28,04a60698o0649o
60698.336476,-20.967,1.9,-15,28,o,0,1.74,215.19557,-19.78614,422.28,1978.35,1.96,1.75,50.2,-0.44,18.58,19.28,04a60698o0655o
60698.339673,-19.871,0.796,-41,33,o,0,1.11,215.19557,-19.78614,481.27,2057.55,1.94,1.79,55.2,-0.443,18.51,19.28,04a60698o0662o
60698.362478,-19.882,0.814,-40,33,o,0,1.02,215.19557,-19.78614,498.74,1941.99,1.86,1.72,66.4,-0.461,18.59,19.33,04a60698o0708o
60699.096639,-23.846,13.125,-1,14,o,0,1.85,215.19557,-19.78614,537.91,1892.72,2.27,1.93,-72.6,-0.411,19.22,20.29,03a60699o0688o
60699.100728,-22.172,2.972,-5,15,o,0,1.07,215.19557,-19.78614,520.44,1852.13,2.26,2.0,-65.1,-0.419,19.23,20.31,03a60699o0697o
60699.105529,-19.813,0.418,-43,18,o,0,0.75,215.19557,-19.78614,578.47,1931.87,2.21,1.95,-66.6,-0.414,19.13,20.04,03a60699o0706o
60699.113733,20.065,0.599,34,20,o,0,1.03,215.19557,-19.78614,602.79,1815.58,2.22,1.98,-66.3,-0.422,18.97,19.74,03a60699o0720o
60702.335586,-21.342,0.878,-10,9,c,0,1.44,215.19557,-19.78614,6339.83,3693.92,2.34,2.09,-59.5,-0.388,19.37,20.97,04a60702o0679c
60702.337857,-21.018,0.728,-14,10,c,0,1.21,215.19557,-19.78614,6320.81,3655.53,2.3,2.07,-50.3,-0.386,19.39,20.98,04a60702o0684c
60702.344789,21.135,0.914,13,12,c,0,1.17,215.19557,-19.78614,6380.01,3732.76,2.28,2.05,-50.3,-0.395,19.44,21.04,04a60702o0698c
60702.369179,20.627,0.537,20,11,c,0,1.53,215.19557,-19.78614,6398.68,3618.32,2.4,2.22,-41.7,-0.379,19.36,20.93,04a60702o0751c
60705.329414,21.394,1.08,10,11,c,0,1.23,215.19557,-19.78614,2497.7,7566.28,2.43,1.85,-75.0,-0.389,19.41,21.12,04a60705o0666c
60705.332572,-24.912,24.333,0,10,c,0,1.72,215.19557,-19.78614,2478.36,7527.42,2.38,1.85,-74.6,-0.389,19.44,21.11,04a60705o0673c
60705.338577,-23.846,10.375,-1,11,c,0,0.99,215.19557,-19.78614,2536.14,7605.2,2.42,1.85,-75.1,-0.385,19.49,21.17,04a60705o0686c
60705.350683,-21.528,0.868,-9,8,c,0,1.84,215.19557,-19.78614,2554.04,7489.53,2.41,1.85,-75.2,-0.385,19.51,21.26,04a60705o0711c
60706.304308,-21.452,1.078,-10,10,c,0,1.08,215.19557,-19.78614,2490.95,3889.47,2.11,1.97,70.4,-0.383,19.45,21.21,04a60706o0613c
60706.310903,-21.235,0.747,-12,9,c,0,1.29,215.19557,-19.78614,2472.56,3850.69,2.16,1.99,57.4,-0.385,19.4,21.26,04a60706o0626c
60706.314092,23.684,8.2,1,10,c,0,1.11,215.19557,-19.78614,2530.1,3928.75,2.1,1.96,65.6,-0.389,19.47,21.28,04a60706o0633c
60706.322703,22.743,3.478,3,10,c,0,1.23,215.19557,-19.78614,2547.9,3813.12,2.15,2.0,74.7,-0.389,19.46,21.29,04a60706o0652c
60707.052767,-21.378,1.273,-10,13,o,0,1.48,215.19557,-19.78614,2538.97,3812.8,2.36,2.13,-61.3,-0.419,19.22,20.51,03a60707o0621o
60707.058387,-23.481,8.455,-2,12,o,0,1.4,215.19557,-19.78614,2522.35,3772.68,2.22,1.96,-68.6,-0.425,19.28,20.52,03a60707o0633o
60707.061543,-20.861,0.691,-16,11,o,0,1.23,215.19557,-19.78614,2578.42,3852.13,2.18,1.98,-65.1,-0.429,19.29,20.52,03a60707o0640o
60707.072012,-21.034,0.978,-14,14,o,0,1.11,215.19557,-19.78614,2604.09,3736.15,2.36,2.11,-69.9,-0.415,19.23,20.59,03a60707o0663o
60708.053829,-19.933,0.382,-39,15,o,0,2.15,215.19557,-19.78614,64.88,9943.99,2.73,2.36,-54.4,-0.466,19.32,20.68,03a60708o0618o
60708.055653,-22.191,4.35,-5,21,o,0,0.82,215.19557,-19.78614,10206.73,10145.23,3.02,2.27,-44.3,-0.496,19.27,20.61,03a60708o0622o
60708.057008,-20.612,0.912,-21,19,o,0,1.26,215.19557,-19.78614,46.97,9904.11,2.86,2.47,-54.0,-0.452,19.32,20.72,03a60708o0625o
60708.063158,21.205,1.51,12,18,o,0,1.11,215.19557,-19.78614,104.08,9982.7,2.79,2.45,-53.3,-0.464,19.32,20.73,03a60708o0637o
60708.066807,20.525,0.902,22,20,o,0,0.92,215.19557,-19.78614,10188.68,10107.56,3.0,2.26,-44.6,-0.494,19.3,20.65,03a60708o0645o
60708.069961,-22.531,5.2,-4,18,o,0,1.43,215.19557,-19.78614,10249.77,10187.53,2.96,2.23,-45.7,-0.497,19.3,20.67,03a60708o0652o
60708.073583,-20.531,0.865,-22,19,o,0,0.96,215.19557,-19.78614,132.28,9865.53,2.96,2.53,-58.1,-0.437,19.28,20.74,03a60708o0660o
60708.075406,-20.382,0.67,-26,17,o,0,1.3,215.19557,-19.78614,10270.33,10070.65,3.08,2.28,-44.7,-0.503,19.3,20.67,03a60708o0664o
60709.305631,-20.759,0.62,-18,11,c,0,1.33,215.19557,-19.78614,155.25,10095.69,2.92,1.99,-72.5,-0.366,19.47,21.29,04a60709o0605c
60709.315416,21.441,1.339,10,13,c,0,0.96,215.19557,-19.78614,135.72,10056.76,2.98,2.01,-73.8,-0.368,19.48,21.32,04a60709o0624c
60709.318592,22.035,2.355,6,13,c,0,0.72,215.19557,-19.78614,193.1,10136.22,2.94,2.04,-74.6,-0.356,19.46,21.34,04a60709o0631c
60709.32088,-20.451,0.75,-24,18,c,0,0.87,215.19557,-19.78614,10324.25,10056.6,2.81,2.42,-75.0,-0.461,19.4,21.24,04a60709o0636c
60709.32406,19.982,0.458,37,17,c,0,1.15,215.19557,-19.78614,10303.65,10017.87,2.75,2.41,-76.8,-0.48,19.43,21.26,04a60709o0643c
60709.330158,20.923,1.267,16,20,c,0,0.8,215.19557,-19.78614,10366.2,10096.59,2.64,2.42,-66.9,-0.439,19.43,21.26,04a60709o0656c
60709.330609,-20.564,0.55,-22,12,c,0,0.99,215.19557,-19.78614,215.97,10017.85,2.93,2.03,-71.7,-0.369,19.46,21.34,04a60709o0657c
60709.335266,-19.817,0.39,-43,17,c,0,0.9,215.19557,-19.78614,10383.3,9978.98,2.59,2.48,-63.0,-0.454,19.48,21.29,04a60709o0666c
60710.206725,17.026,0.098,562,55,c,0,24.37,215.19557,-19.78614,309.5,45.14,4.35,1.95,43.1,-0.323,19.07,20.72,04a60710o0402c
60710.26039,23.126,10.5,2,21,c,0,0.95,215.19557,-19.78614,351.73,92.18,3.47,1.75,41.7,-0.417,19.35,21.02,04a60710o0517c
60710.317938,-23.55,7.875,-1,11,c,0,1.01,215.19557,-19.78614,6353.27,10285.73,2.92,1.91,-73.3,-0.394,19.41,21.16,04a60710o0638c
60710.32703,21.806,2.088,7,14,c,0,1.44,215.19557,-19.78614,6333.99,10247.35,2.85,1.86,-74.2,-0.406,19.46,21.18,04a60710o0656c
60710.330197,20.405,0.543,25,14,c,0,0.99,215.19557,-19.78614,6391.76,10325.58,2.82,1.87,-70.9,-0.407,19.44,21.18,04a60710o0663c
60710.337963,21.81,1.634,7,11,c,0,1.19,215.19557,-19.78614,6409.97,10207.67,2.84,1.89,-69.1,-0.408,19.4,21.23,04a60710o0680c
60711.047522,20.928,1.0,15,15,o,0,1.09,215.19557,-19.78614,6239.52,10280.19,2.85,2.26,-41.1,-0.39,19.28,20.58,03a60711o0617o
60711.057764,-22.459,3.25,-4,12,o,0,1.94,215.19557,-19.78614,6221.91,10239.68,2.82,2.27,-41.7,-0.391,19.27,20.57,03a60711o0638o
60711.061842,21.356,1.491,10,16,o,0,1.22,215.19557,-19.78614,6278.85,10320.19,2.85,2.23,-38.2,-0.398,19.26,20.58,03a60711o0647o
60711.067725,24.567,24.0,0,13,o,0,1.18,215.19557,-19.78614,6301.0,10203.34,2.78,2.19,-38.7,-0.4,19.34,20.67,03a60711o0660o
60714.214474,19.861,0.732,41,30,o,0,1.35,215.19557,-19.78614,8117.1,1621.46,3.0,2.49,-23.6,-0.286,18.18,19.09,04a60714o0320o
60714.218724,-20.074,0.873,-34,30,o,0,1.45,215.19557,-19.78614,8096.66,1585.08,2.82,2.46,-30.8,-0.385,18.31,19.14,04a60714o0329o
60714.236314,23.272,13.6,2,24,o,0,1.23,215.19557,-19.78614,8159.69,1660.62,2.49,2.08,-23.3,-0.378,18.6,19.52,04a60714o0366o
60714.241719,-20.92,1.467,-16,23,o,0,0.93,215.19557,-19.78614,8176.39,1546.14,2.44,2.1,-29.7,-0.373,18.75,19.74,04a60714o0376o
60715.059774,-20.972,0.758,-15,11,o,0,1.89,215.19557,-19.78614,8218.16,1692.56,2.36,2.17,-48.1,-0.425,19.29,20.7,03a60715o0647o
60715.06295,21.523,1.383,9,12,o,0,1.05,215.19557,-19.78614,8201.48,1654.42,2.29,2.12,-49.6,-0.431,19.32,20.72,03a60715o0654o
60715.069288,21.946,2.054,6,12,o,0,1.09,215.19557,-19.78614,8258.02,1732.97,2.43,2.21,-52.5,-0.423,19.28,20.71,03a60715o0668o
60715.078817,-21.04,0.947,-14,13,o,0,1.09,215.19557,-19.78614,8284.25,1616.13,2.57,2.39,-50.6,-0.409,19.21,20.72,03a60715o0689o
60717.302714,21.866,4.625,6,30,o,0,0.7,215.19557,-19.78614,4297.86,5538.67,2.0,1.82,-44.2,-0.45,18.56,19.11,04a60717o0551o
60717.315434,-23.777,22.25,-1,25,o,0,1.18,215.19557,-19.78614,4279.44,5500.26,2.04,1.89,-54.3,-0.455,18.56,19.19,04a60717o0575o
60717.318205,-20.845,1.534,-17,26,o,0,1.12,215.19557,-19.78614,4337.48,5578.09,2.08,1.88,-51.9,-0.46,18.61,19.23,04a60717o0581o
60717.323714,-20.428,0.971,-24,24,o,0,1.43,215.19557,-19.78614,4355.9,5462.19,2.12,1.91,-50.5,-0.467,18.62,19.28,04a60717o0593o
60718.308709,-18.963,0.33,-94,31,o,0,1.1,215.19557,-19.78614,2375.16,1948.86,1.87,1.79,73.9,-0.417,18.37,18.69,04a60718o0640o
60718.310972,20.183,0.933,31,29,o,0,1.03,215.19557,-19.78614,2355.56,1909.92,1.86,1.8,51.0,-0.41,18.4,18.71,04a60718o0645o
60718.314598,-20.83,1.865,-17,32,o,0,0.96,215.19557,-19.78614,2414.45,1988.37,1.89,1.83,45.3,-0.413,18.42,18.73,04a60718o0653o
60718.324663,23.905,24.125,1,24,o,0,1.38,215.19557,-19.78614,2434.26,1871.62,1.87,1.81,-25.0,-0.41,18.41,18.73,04a60718o0674o
60719.064302,-20.027,0.653,-35,23,o,0,1.23,215.19557,-19.78614,2475.13,1866.64,2.17,1.99,-58.9,-0.414,18.67,19.13,03a60719o0496o
60719.066131,-19.81,0.59,-43,26,o,0,0.86,215.19557,-19.78614,2458.05,1827.44,2.27,2.07,-64.2,-0.409,18.64,19.14,03a60719o0500o
60719.069307,23.407,15.417,2,24,o,0,1.21,215.19557,-19.78614,2515.6,1907.24,2.2,2.05,-61.3,-0.41,18.66,19.14,03a60719o0507o
60719.082051,20.306,0.88,27,24,o,0,0.83,215.19557,-19.78614,2540.53,1789.4,2.2,2.03,-68.0,-0.413,18.67,19.16,03a60719o0534o
60720.022962,-21.905,4.091,-6,26,o,0,1.48,215.19557,-19.78614,8625.09,7787.79,2.84,2.29,-47.4,-0.385,18.52,19.14,03a60720o0578o
60720.02567,-19.787,0.688,-44,30,o,0,1.17,215.19557,-19.78614,8606.81,7749.08,2.81,2.3,-47.2,-0.379,18.54,19.14,03a60720o0584o
60720.046306,-25.696,163.0,0,31,o,0,0.78,215.19557,-19.78614,8667.44,7825.79,2.83,2.31,-49.5,-0.386,18.57,19.23,03a60720o0628o
60720.05265,19.568,0.534,54,29,o,0,1.0,215.19557,-19.78614,8690.41,7711.42,2.81,2.27,-47.9,-0.386,18.6,19.25,03a60720o0642o
60721.319826,19.919,0.793,39,31,o,0,1.08,215.19557,-19.78614,8772.78,7768.13,2.1,1.88,-21.1,-0.436,18.48,18.8,04a60721o0506o
