MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60695.283634,-20.083,0.633,-34,21,o,0,1.01,144.2946,-1.30622,2011.53,1267.81,2.03,1.71,36.3,-0.473,19.02,19.82,04a60695o0550o
60695.286817,-22.185,3.641,-5,18,o,0,1.5,144.2946,-1.30622,2032.62,1307.26,2.05,1.73,34.1,-0.482,19.03,19.85,04a60695o0557o
60695.29677,20.731,0.849,18,16,o,0,1.33,144.2946,-1.30622,1973.32,1228.64,2.09,1.73,36.4,-0.487,19.06,19.88,04a60695o0579o
60695.302203,20.929,1.111,15,17,o,0,1.2,144.2946,-1.30622,1953.51,1346.37,1.88,1.74,13.0,-0.461,19.03,19.88,04a60695o0591o
60696.527144,-19.004,0.527,-91,48,o,0,1.37,144.2946,-1.30622,8681.95,1027.28,2.09,1.69,-59.4,-0.528,17.64,18.3,02a60696o0698o
60696.532593,21.039,1.588,14,22,o,0,0.63,144.2946,-1.30622,8663.12,987.94,2.0,1.62,-62.2,-0.521,18.89,19.7,02a60696o0710o
60696.535775,22.092,2.296,5,12,o,0,1.23,144.2946,-1.30622,8722.58,1070.84,2.05,1.65,-56.5,-0.505,19.34,20.41,02a60696o0717o
60696.567625,21.639,1.691,8,14,o,0,1.0,144.2946,-1.30622,8730.83,948.82,2.08,1.6,-57.7,-0.528,19.3,20.31,02a60696o0785o
60698.496365,20.636,0.521,20,10,o,0,1.01,144.2946,-1.30622,2092.79,3265.97,3.0,2.78,45.5,-0.401,19.46,21.19,01a60698o0497o
60698.499467,21.46,0.95,10,9,o,0,1.77,144.2946,-1.30622,2113.1,3303.19,2.93,2.66,40.7,-0.399,19.54,21.17,01a60698o0503o
60698.505894,21.362,0.929,10,10,o,0,1.03,144.2946,-1.30622,2055.94,3224.34,2.83,2.56,44.0,-0.405,19.57,21.14,01a60698o0517o
60698.515662,21.961,1.846,6,11,o,0,1.01,144.2946,-1.30622,2036.35,3339.29,2.86,2.61,47.3,-0.406,19.51,21.09,01a60698o0538o
60699.275742,17.715,0.54,298,161,o,0,0.58,144.2946,-1.30622,2114.39,3214.16,1.95,1.92,27.5,-0.445,19.34,20.68,04a60699o0532o
60699.278921,-21.326,1.067,-11,11,o,0,1.18,144.2946,-1.30622,2134.18,3252.7,2.02,1.88,48.0,-0.424,19.34,20.68,04a60699o0539o
60699.289068,-22.481,3.344,-4,12,o,0,1.19,144.2946,-1.30622,2076.53,3175.61,1.94,1.86,46.6,-0.443,19.37,20.65,04a60699o0561o
60699.315139,21.535,1.486,9,13,o,0,0.94,144.2946,-1.30622,2056.35,3291.69,1.97,1.88,27.7,-0.436,19.38,20.67,04a60699o0617o
60700.454064,17.188,0.724,484,350,c,0,1.1,144.2946,-1.30622,7890.71,7601.16,2.7,2.46,36.4,-0.426,17.12,18.74,02a60700o0548c
60700.455872,19.536,1.6,56,89,c,0,1.45,144.2946,-1.30622,7907.63,7640.61,2.7,2.45,33.2,-0.384,17.41,19.04,02a60700o0552c
60700.485103,-19.293,1.0,-70,70,c,0,1.02,144.2946,-1.30622,2722.16,2879.46,2.44,2.25,39.1,-0.41,17.52,19.2,02a60700o0615c
60701.011514,24.049,14.667,1,13,o,0,1.24,144.2946,-1.30622,7821.83,7646.81,2.37,1.95,-52.7,-0.423,19.46,20.85,03a60701o0534o
60701.014674,-25.261,39.5,0,11,o,0,1.18,144.2946,-1.30622,7839.33,7686.3,2.35,1.93,-53.1,-0.426,19.44,20.84,03a60701o0541o
60701.049522,21.774,1.84,7,13,o,0,0.74,144.2946,-1.30622,7789.24,7606.64,2.35,1.91,-54.0,-0.422,19.39,20.74,03a60701o0617o
60701.056313,22.584,3.917,3,13,o,0,0.82,144.2946,-1.30622,7771.28,7722.77,2.33,1.88,-53.9,-0.428,19.42,20.74,03a60701o0632o
60703.263765,-21.607,1.212,-8,10,c,0,1.13,144.2946,-1.30622,6301.63,1570.67,2.47,2.21,2.0,-0.386,19.49,21.27,04a60703o0535c
60703.26879,-21.662,1.326,-8,10,c,0,1.51,144.2946,-1.30622,6321.97,1609.43,2.57,2.3,-8.0,-0.39,19.48,21.26,04a60703o0546c
60703.300832,-21.62,1.277,-8,10,c,0,1.17,144.2946,-1.30622,6263.51,1533.29,2.62,2.28,-13.8,-0.381,19.43,21.24,04a60703o0615c
60703.313289,23.096,5.083,2,11,c,0,1.61,144.2946,-1.30622,6242.4,1651.67,2.62,2.3,-19.2,-0.38,19.44,21.28,04a60703o0642c
60704.487933,-20.04,0.474,-35,17,c,0,1.36,144.2946,-1.30622,8476.89,2691.09,2.4,2.29,-61.4,-0.4,18.93,20.8,02a60704o0487c
60704.520896,-19.753,3.455,-46,157,c,0,0.9,144.2946,-1.30622,8450.52,2647.66,3.03,2.69,-4.9,-0.376,16.81,18.76,02a60704o0558c
