# Combination of '2023yrs' data from 'ATLAS', 'ZTF'
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, nan, nan, 96.7204, -24.61472, 60697.066699, -21.802, 1.6, -7.0, 11.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60697.06942, 20.142, 0.306, 32.0, 10.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60697.072693, 21.71, 1.375, 8.0, 10.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60697.079515, -20.58, 0.514, -21.0, 11.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60698.152233, 20.734, 0.617, 18.0, 11.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60698.162929, 17.593, 0.029, 333.0, 10.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60698.165714, 19.656, 0.26, 50.0, 13.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60698.170834, 19.607, 0.24, 52.0, 12.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60698.891502, -20.35, 0.54, -26.0, 14.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60698.89471, 21.022, 0.862, 14.0, 12.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60698.901051, 21.769, 1.51, 7.0, 11.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60698.913183, 20.336, 0.444, 27.0, 12.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60699.896631, -20.248, 0.338, -29.0, 10.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60699.899838, -20.866, 0.686, -16.0, 11.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60699.905316, 19.945, 0.25, 38.0, 10.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60699.916213, 19.608, 0.236, 52.0, 12.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60701.143746, 20.135, 0.322, 32.0, 10.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60701.147393, 19.915, 0.309, 39.0, 12.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60701.154725, 19.986, 0.299, 37.0, 11.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60701.16467, 20.285, 0.404, 28.0, 11.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60702.150813, 20.957, 0.712, 15.0, 11.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60702.154002, 20.068, 0.36, 34.0, 12.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60702.159432, 20.906, 0.775, 16.0, 12.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60702.170311, 19.361, 0.171, 65.0, 11.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60703.880659, -20.943, 0.977, -15.0, 15.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60703.883828, 19.821, 0.309, 43.0, 13.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60703.946862, -20.439, 0.833, -24.0, 20.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60703.962887, 20.421, 0.93, 25.0, 23.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60705.139499, 19.376, 0.189, 64.0, 12.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60705.142719, -22.423, 2.957, -4.0, 12.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60705.148588, 18.778, 0.105, 112.0, 12.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60705.158781, 25.906, 74.0, 0.0, 12.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60706.13633, 19.897, 0.218, 40.0, 9.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60706.139503, 20.93, 0.672, 15.0, 10.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60706.145449, 19.918, 0.256, 39.0, 10.0, ATLAS
c, nan, nan, 96.7204, -24.61472, 60706.157438, 21.947, 1.755, 6.0, 11.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60706.858689, -19.889, 0.311, -40.0, 12.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60706.861847, -19.835, 0.267, -42.0, 11.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60706.869149, -19.836, 0.333, -42.0, 14.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60706.879671, -20.556, 0.639, -22.0, 14.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60707.842985, -20.243, 0.539, -29.0, 16.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60707.846222, 21.031, 0.846, 14.0, 12.0, ATLAS
