MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60695.838432,-22.905,4.25,-2,11,o,0,1.33,59.05795,-31.03304,5420.18,6095.74,2.79,2.52,-53.1,-0.396,19.28,21.09,03a60696o0135o
60695.841643,21.094,0.869,13,12,o,0,1.39,59.05795,-31.03304,5439.65,6134.0,2.86,2.59,-42.9,-0.39,19.24,21.05,03a60696o0142o
60695.848686,20.547,0.526,22,12,o,0,1.23,59.05795,-31.03304,5388.91,6055.98,2.67,2.37,-53.8,-0.398,19.34,21.05,03a60696o0157o
60695.860217,-21.891,1.657,-6,10,o,0,1.51,59.05795,-31.03304,5367.78,6170.18,2.61,2.33,-49.9,-0.4,19.32,21.02,03a60696o0182o
60697.092143,21.012,0.607,14,9,c,0,1.1,59.05795,-31.03304,5456.55,6075.85,2.46,2.08,-69.8,-0.383,19.43,21.85,04a60697o0139c
60697.095321,20.786,0.575,18,10,c,0,1.49,59.05795,-31.03304,5477.11,6114.71,2.39,1.96,-77.0,-0.39,19.38,21.85,04a60697o0146c
60697.10051,20.059,0.253,34,9,c,0,1.54,59.05795,-31.03304,5421.74,6038.38,2.34,1.99,-69.4,-0.382,19.49,21.52,04a60697o0157c
60697.110394,21.796,1.189,7,8,c,0,1.35,59.05795,-31.03304,5401.25,6154.61,2.31,1.92,-66.8,-0.385,19.52,21.46,04a60697o0177c
60698.096133,20.684,0.515,19,10,c,0,1.36,59.05795,-31.03304,7223.82,9977.25,2.87,2.06,-73.8,-0.396,19.62,21.68,04a60698o0152c
60698.099358,21.357,1.085,10,11,c,0,1.3,59.05795,-31.03304,7241.2,10016.15,2.89,2.08,-72.4,-0.393,19.61,21.68,04a60698o0159c
60698.106305,20.164,0.358,31,11,c,0,1.59,59.05795,-31.03304,7186.76,9937.93,2.76,2.01,-72.6,-0.427,19.6,21.69,04a60698o0174c
60698.118264,21.622,1.421,8,12,c,0,0.86,59.05795,-31.03304,7164.4,10055.83,2.87,1.99,-75.1,-0.399,19.63,21.72,04a60698o0200c
60698.83789,-22.729,4.941,-3,14,o,0,0.77,59.05795,-31.03304,7081.82,10026.38,2.7,2.15,-40.2,-0.421,19.44,20.87,03a60699o0136o
60698.842107,22.238,3.042,5,14,o,0,1.16,59.05795,-31.03304,7099.11,10066.84,2.88,2.26,-39.1,-0.418,19.39,20.87,03a60699o0145o
60698.848995,-21.641,1.636,-8,13,o,0,1.28,59.05795,-31.03304,7049.24,9986.19,2.77,2.22,-39.2,-0.41,19.39,20.84,03a60699o0160o
60698.859084,-20.531,0.625,-22,14,o,0,1.44,59.05795,-31.03304,7028.27,10101.92,3.09,2.51,-43.2,-0.412,19.25,20.8,03a60699o0182o
60699.829673,23.927,9.143,1,9,o,0,1.29,59.05795,-31.03304,3752.16,4125.8,2.29,2.02,-57.6,-0.421,19.48,21.11,03a60700o0120o
60699.832868,-24.268,14.6,-1,10,o,0,1.05,59.05795,-31.03304,3772.17,4164.42,2.31,2.05,-58.6,-0.418,19.49,21.1,03a60700o0127o
60699.839313,-24.49,15.0,-1,9,o,0,1.86,59.05795,-31.03304,3715.69,4086.4,2.3,2.08,-55.3,-0.421,19.47,21.08,03a60700o0141o
60699.849445,21.719,1.604,8,12,o,0,0.78,59.05795,-31.03304,3697.02,4201.68,2.27,2.04,-59.0,-0.422,19.48,21.07,03a60700o0163o
60701.068374,20.608,0.38,21,8,c,0,1.59,59.05795,-31.03304,3735.42,4143.66,2.04,1.89,-87.5,-0.387,19.57,21.51,04a60701o0108c
60701.0712,20.991,0.534,15,8,c,0,1.36,59.05795,-31.03304,3755.65,4182.55,2.02,1.89,-87.6,-0.385,19.58,21.49,04a60701o0114c
60701.076408,20.859,0.601,16,10,c,0,0.94,59.05795,-31.03304,3696.59,4106.03,2.1,1.97,-68.7,-0.387,19.57,21.51,04a60701o0125c
60701.08768,20.734,0.432,18,8,c,0,1.19,59.05795,-31.03304,3676.29,4221.86,2.07,1.91,-86.4,-0.386,19.54,21.5,04a60701o0149c
