MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60695.060125,19.132,0.344,81,28,o,0,1.24,208.82252,-17.96658,2176.2,7411.17,2.44,2.11,-57.4,-0.396,18.55,18.91,03a60695o0613o
60695.063297,18.995,0.281,92,26,o,0,1.46,208.82252,-17.96658,2157.88,7371.91,2.53,2.23,-56.7,-0.393,18.53,18.93,03a60695o0620o
60695.070296,18.879,0.29,102,30,o,0,1.16,208.82252,-17.96658,2215.59,7450.19,2.52,2.2,-57.7,-0.394,18.53,18.94,03a60695o0634o
60695.07994,19.664,0.531,50,26,o,0,1.27,208.82252,-17.96658,2238.53,7333.78,2.56,2.29,-54.6,-0.381,18.5,18.94,03a60695o0654o
60698.332854,19.043,0.23,88,20,o,0,1.39,208.82252,-17.96658,2120.61,5569.24,1.94,1.77,-75.3,-0.461,18.8,19.66,04a60698o0647o
60698.336025,18.678,0.163,123,20,o,0,1.02,208.82252,-17.96658,2100.76,5530.45,1.96,1.82,-62.6,-0.446,18.82,19.67,04a60698o0654o
60698.339223,19.156,0.263,79,21,o,0,1.1,208.82252,-17.96658,2158.83,5608.26,2.04,1.84,-60.5,-0.432,18.79,19.69,04a60698o0661o
60698.362027,19.16,0.232,79,18,o,0,1.71,208.82252,-17.96658,2177.1,5493.98,1.98,1.81,-67.8,-0.451,18.82,19.69,04a60698o0707o
60699.071179,19.68,0.324,49,16,o,0,0.98,208.82252,-17.96658,2123.77,5476.61,2.23,1.91,-66.1,-0.428,19.29,20.39,03a60699o0638o
60699.088956,19.541,0.284,55,16,o,0,1.12,208.82252,-17.96658,2109.26,5436.03,2.26,2.02,-72.0,-0.426,19.19,20.21,03a60699o0672o
60699.097548,19.27,0.205,71,15,o,0,1.58,208.82252,-17.96658,2169.22,5514.71,2.29,2.04,-61.5,-0.425,19.25,20.41,03a60699o0690o
60699.101629,19.176,0.187,78,14,o,0,1.16,208.82252,-17.96658,2191.79,5399.42,2.36,2.11,-63.2,-0.42,19.2,20.4,03a60699o0699o
60700.078286,19.038,0.206,88,18,o,0,0.74,208.82252,-17.96658,6686.16,1230.35,2.31,2.13,-46.9,-0.426,19.12,20.42,03a60700o0658o
60700.081469,19.44,0.267,61,16,o,0,1.31,208.82252,-17.96658,6668.49,1191.63,2.35,2.22,-46.6,-0.436,19.13,20.43,03a60700o0665o
60701.334887,19.59,0.196,53,10,c,0,1.34,208.82252,-17.96658,6589.61,1206.74,2.36,2.24,-9.6,-0.402,19.41,21.1,04a60701o0673c
60701.338084,18.755,0.096,114,11,c,0,1.39,208.82252,-17.96658,6568.71,1169.19,2.36,2.26,-10.9,-0.395,19.43,21.11,04a60701o0680c
60702.30654,19.044,0.158,88,14,c,0,1.25,208.82252,-17.96658,8054.68,7195.05,2.45,2.06,-46.8,-0.442,19.41,21.05,04a60702o0617c
60702.309719,19.482,0.219,58,13,c,0,1.28,208.82252,-17.96658,8035.71,7156.32,2.46,2.06,-53.4,-0.432,19.42,21.06,04a60702o0624c
60702.332842,19.079,0.18,85,15,c,0,0.84,208.82252,-17.96658,8097.79,7235.92,2.44,2.08,-47.4,-0.443,19.41,21.06,04a60702o0673c
60702.338308,19.317,0.186,68,13,c,0,1.24,208.82252,-17.96658,8116.83,7119.62,2.57,2.14,-57.0,-0.413,19.44,21.05,04a60702o0685c
60705.314614,19.396,0.197,63,12,c,0,0.75,208.82252,-17.96658,2417.58,915.32,2.36,1.91,39.5,-0.419,19.41,21.1,04a60705o0635c
60705.317797,19.685,0.245,48,12,c,0,1.39,208.82252,-17.96658,2401.1,875.82,2.31,1.86,43.2,-0.435,19.45,21.12,04a60705o0642c
60705.324837,19.274,0.158,71,11,c,0,1.02,208.82252,-17.96658,2458.54,954.81,2.36,1.88,44.2,-0.427,19.43,21.14,04a60705o0656c
60705.334895,19.378,0.168,64,11,c,0,1.24,208.82252,-17.96658,2477.51,837.82,2.32,1.91,42.5,-0.425,19.44,21.18,04a60705o0678c
60706.300646,19.965,0.295,38,11,c,0,1.07,208.82252,-17.96658,4164.65,7411.11,2.48,1.93,-73.1,-0.395,19.44,21.28,04a60706o0605c
60706.30383,19.685,0.228,48,11,c,0,1.02,208.82252,-17.96658,4145.2,7373.05,2.53,1.91,-71.7,-0.397,19.45,21.3,04a60706o0612c
60706.311354,19.829,0.195,42,8,c,0,1.95,208.82252,-17.96658,4203.87,7450.38,2.56,1.95,-71.7,-0.394,19.43,21.34,04a60706o0627c
60706.321352,19.378,0.174,64,11,c,0,1.56,208.82252,-17.96658,4224.19,7335.15,2.42,1.84,-72.0,-0.409,19.53,21.37,04a60706o0649c
60707.050937,19.236,0.204,73,15,o,0,1.2,208.82252,-17.96658,4127.22,7364.65,2.38,2.11,-51.3,-0.516,19.27,20.57,03a60707o0617o
60707.054571,19.654,0.23,50,12,o,0,1.72,208.82252,-17.96658,4108.98,7326.26,2.35,2.06,-54.6,-0.402,19.29,20.57,03a60707o0625o
60707.057936,19.853,0.27,42,11,o,0,1.85,208.82252,-17.96658,4166.03,7403.96,2.39,2.07,-49.0,-0.396,19.3,20.59,03a60707o0632o
60707.067949,19.454,0.191,60,12,o,0,1.49,208.82252,-17.96658,4192.76,7289.28,2.41,2.12,-49.9,-0.396,19.32,20.63,03a60707o0654o
60707.979861,19.672,0.285,49,14,o,0,1.66,208.82252,-17.96658,5900.14,3441.79,2.38,2.1,-54.9,-0.42,19.06,20.29,03a60708o0460o
60707.9831,19.97,0.383,37,14,o,0,1.31,208.82252,-17.96658,5881.23,3406.59,2.33,2.01,-54.4,-0.435,19.13,20.35,03a60708o0467o
60707.988601,19.927,0.352,39,14,o,0,1.43,208.82252,-17.96658,5938.55,3485.05,2.32,2.05,-55.7,-0.428,19.12,20.34,03a60708o0479o
60708.013343,20.091,0.413,33,14,o,0,1.36,208.82252,-17.96658,5961.35,3371.86,2.18,1.94,-54.8,-0.445,19.23,20.48,03a60708o0531o
60709.304266,19.999,0.293,36,11,c,0,1.1,208.82252,-17.96658,5862.73,3445.94,2.19,2.02,-47.8,-0.413,19.46,21.27,04a60709o0602c
60709.307452,19.981,0.267,37,10,c,0,1.25,208.82252,-17.96658,5843.6,3407.35,2.2,2.04,-55.0,-0.41,19.47,21.29,04a60709o0609c
60709.314966,19.618,0.206,52,11,c,0,1.33,208.82252,-17.96658,5901.43,3485.52,2.16,2.0,-46.6,-0.41,19.47,21.3,04a60709o0623c
60709.325879,19.586,0.222,53,12,c,0,1.11,208.82252,-17.96658,5921.25,3369.23,2.32,2.09,-43.7,-0.403,19.46,21.31,04a60709o0647c
60710.308344,19.568,0.186,54,10,c,0,1.48,208.82252,-17.96658,2010.14,3636.12,2.14,1.93,58.6,-0.394,19.45,21.22,04a60710o0617c
60710.311052,-19.84,0.226,-42,10,c,0,151.77,208.82252,-17.96658,1990.04,3597.23,2.18,1.97,54.4,-0.392,19.44,21.2,04a60710o0623c
60710.317026,19.479,0.162,59,10,c,0,1.96,208.82252,-17.96658,2049.55,3674.76,2.11,1.93,52.1,-0.392,19.47,21.23,04a60710o0636c
60710.324719,19.926,0.283,39,11,c,0,1.09,208.82252,-17.96658,2069.28,3558.93,2.12,1.94,56.9,-0.393,19.46,21.23,04a60710o0651c
60710.935058,19.432,0.307,61,19,o,0,1.15,208.82252,-17.96658,2054.11,3548.26,2.57,2.26,-59.7,-0.391,18.83,19.98,03a60711o0374o
60710.93926,20.593,0.875,21,18,o,0,1.39,208.82252,-17.96658,2034.69,3510.56,2.6,2.37,-65.1,-0.395,18.81,20.02,03a60711o0383o
60710.947187,20.232,0.636,29,19,o,0,1.22,208.82252,-17.96658,2091.79,3590.59,2.5,2.18,-65.8,-0.394,18.91,20.02,03a60711o0400o
60710.957303,20.038,0.433,35,15,o,0,1.12,208.82252,-17.96658,2111.98,3472.72,2.41,2.09,-68.3,-0.401,19.03,20.16,03a60711o0422o
60714.330656,19.63,0.215,51,11,c,0,1.5,208.82252,-17.96658,9865.54,5141.69,2.78,2.38,-24.3,-0.39,19.44,21.47,04a60714o0549c
60714.333087,20.666,0.553,20,11,c,0,1.71,208.82252,-17.96658,9846.36,5103.91,2.81,2.46,-26.2,-0.379,19.46,21.5,04a60714o0554c
60714.336337,20.104,0.388,33,13,c,0,0.87,208.82252,-17.96658,9905.28,5180.07,2.78,2.35,-26.2,-0.381,19.47,21.51,04a60714o0561c
60714.358877,19.749,0.227,46,10,c,0,1.41,208.82252,-17.96658,9925.03,5066.16,2.83,2.38,-27.0,-0.38,19.5,21.57,04a60714o0608c
60715.042169,19.95,0.374,38,14,o,0,1.06,208.82252,-17.96658,9866.2,5229.8,2.46,2.08,-53.3,-0.38,19.33,20.79,03a60715o0609o
60715.045341,19.631,0.23,51,12,o,0,1.81,208.82252,-17.96658,9849.4,5192.12,2.58,2.22,-52.0,-0.373,19.31,20.8,03a60715o0616o
60715.051217,20.605,0.554,21,12,o,0,1.5,208.82252,-17.96658,9908.99,5271.07,2.46,2.07,-58.2,-0.381,19.36,20.78,03a60715o0629o
60715.061133,20.659,0.638,20,13,o,0,1.06,208.82252,-17.96658,9932.98,5155.82,2.65,2.21,-55.7,-0.379,19.26,20.78,03a60715o0650o
60717.297233,19.585,0.536,53,28,o,0,1.14,208.82252,-17.96658,5835.61,9058.88,1.97,1.76,-49.5,-0.44,18.59,19.12,04a60717o0539o
60717.299979,19.314,0.342,68,23,o,0,1.47,208.82252,-17.96658,5815.84,9020.34,1.93,1.73,-50.5,-0.445,18.6,19.13,04a60717o0545o
60717.314532,19.546,0.503,55,28,o,0,1.16,208.82252,-17.96658,5874.71,9098.36,1.94,1.74,-42.2,-0.444,18.63,19.19,04a60717o0573o
60717.320465,-22.835,10.947,-3,29,o,0,1.07,208.82252,-17.96658,5893.7,8981.99,2.19,1.82,-55.1,-0.392,18.66,19.27,04a60717o0586o
60718.30095,19.052,0.338,87,29,o,0,1.58,208.82252,-17.96658,4057.43,5480.98,1.96,1.8,-55.9,-0.457,18.36,18.61,04a60718o0623o
60718.303227,-21.335,2.775,-11,30,o,0,0.9,208.82252,-17.96658,4038.24,5442.23,1.9,1.8,-54.7,-0.457,18.36,18.61,04a60718o0628o
60718.306398,19.641,0.741,51,37,o,0,0.81,208.82252,-17.96658,4096.14,5519.35,1.97,1.79,-51.8,-0.466,18.39,18.63,04a60718o0635o
60718.311423,20.451,1.112,24,27,o,0,1.95,208.82252,-17.96658,4114.19,5404.08,1.95,1.81,-46.9,-0.463,18.38,18.65,04a60718o0646o
60719.081601,20.892,1.532,16,24,o,0,0.87,208.82252,-17.96658,4078.48,5429.51,2.21,1.99,-62.0,-0.394,18.69,19.15,03a60719o0533o
60719.091511,19.637,0.409,51,21,o,0,1.48,208.82252,-17.96658,4064.81,5390.21,2.38,2.12,-50.9,-0.394,18.62,19.17,03a60719o0553o
60719.110852,19.785,0.507,44,22,o,0,1.17,208.82252,-17.96658,4132.05,5470.04,2.19,1.97,-53.7,-0.411,18.73,19.24,03a60719o0593o
60719.112989,19.725,0.463,47,22,o,0,1.07,208.82252,-17.96658,4152.99,5355.46,2.17,1.94,-54.9,-0.409,18.74,19.24,03a60719o0597o
60720.074472,19.492,0.477,58,28,o,0,1.03,208.82252,-17.96658,8628.26,1153.74,2.41,2.14,-51.3,-0.429,18.63,19.23,03a60720o0689o
60720.076278,-20.647,1.313,-20,26,o,0,1.03,208.82252,-17.96658,8610.22,1114.45,2.31,2.12,-47.4,-0.434,18.63,19.23,03a60720o0693o
60720.102108,20.097,0.759,33,25,o,0,0.99,208.82252,-17.96658,8680.52,1194.7,2.22,2.03,-45.4,-0.437,18.72,19.26,03a60720o0749o
60720.109796,19.276,0.341,71,24,o,0,1.11,208.82252,-17.96658,8707.43,1077.81,2.2,2.06,-42.9,-0.456,18.74,19.28,03a60720o0765o
60721.01448,19.086,0.379,84,32,o,0,1.3,208.82252,-17.96658,8603.2,1150.63,2.19,1.97,-52.0,-0.454,18.35,18.66,03a60721o0569o
60721.023597,19.386,0.439,64,28,o,0,1.19,208.82252,-17.96658,8587.83,1111.95,2.09,1.94,-44.6,-0.461,18.51,18.76,03a60721o0589o
60721.025414,20.275,1.077,28,30,o,0,1.31,208.82252,-17.96658,8644.79,1190.53,2.22,1.97,-49.1,-0.456,18.46,18.77,03a60721o0593o
