MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60498.583809,21.498,1.4,9,13,o,0,0.97,31.6314,29.99726,9118.28,3585.16,2.14,2.01,-20.8,-0.427,19.41,20.53,02a60498o0714o
60498.586989,-20.848,0.691,-17,12,o,0,1.26,31.6314,29.99726,9139.71,3623.69,2.09,1.96,-37.6,-0.436,19.41,20.52,02a60498o0721o
60498.609697,21.597,1.45,8,12,o,0,1.34,31.6314,29.99726,9091.69,3548.62,2.03,1.93,-50.7,-0.444,19.37,20.32,02a60498o0768o
60498.621792,-21.257,3.704,-11,42,o,0,1.34,31.6314,29.99726,9070.14,3666.63,2.05,1.95,-36.8,-0.44,18.2,18.2,02a60498o0790o
60503.587254,22.402,4.071,4,16,o,0,0.76,31.6314,29.99726,6507.66,8591.59,2.68,2.51,59.5,-0.404,19.3,20.38,01a60503o0694o
60503.590488,-22.15,2.667,-5,13,o,0,0.87,31.6314,29.99726,6487.28,8550.31,2.67,2.49,57.4,-0.398,19.3,20.39,01a60503o0701o
60503.605496,-21.427,1.324,-10,13,o,0,1.28,31.6314,29.99726,6540.91,8628.88,2.75,2.51,54.1,-0.397,19.29,20.39,01a60503o0731o
60503.621221,20.768,1.841,18,33,o,0,1.22,31.6314,29.99726,6555.21,8512.16,2.83,2.48,52.0,-0.384,18.34,18.55,01a60503o0761o
60504.597994,21.383,1.114,10,11,o,0,1.21,31.6314,29.99726,8553.52,2323.18,2.63,2.59,-36.0,-0.433,19.49,20.92,01a60504o0743o
60504.604845,-21.924,1.929,-6,12,o,0,1.24,31.6314,29.99726,8530.83,2282.63,2.69,2.61,-37.3,-0.42,19.41,20.85,01a60504o0755o
60504.615911,-20.936,0.912,-15,14,o,0,1.47,31.6314,29.99726,8581.75,2360.81,2.55,2.5,-58.7,-0.443,19.1,20.01,01a60504o0778o
60504.622732,20.844,2.591,17,43,o,0,0.93,31.6314,29.99726,8597.28,2244.56,2.48,2.47,-2.4,-0.453,18.17,18.34,01a60504o0792o
60505.593685,23.317,9.429,2,16,o,0,0.59,31.6314,29.99726,2084.34,8238.27,2.22,2.08,10.9,-0.427,19.38,20.77,02a60505o0657o
60505.596851,-20.43,0.369,-24,9,o,0,1.53,31.6314,29.99726,2106.05,8277.93,2.21,2.07,17.4,-0.425,19.43,20.78,02a60505o0664o
60505.614203,20.527,0.644,22,14,o,0,1.01,31.6314,29.99726,2057.27,8199.42,2.25,2.11,28.6,-0.421,19.18,20.17,02a60505o0699o
60505.61827,-21.053,1.424,-14,20,o,0,1.79,31.6314,29.99726,2037.28,8315.36,2.37,2.29,25.8,-0.41,18.78,19.46,02a60505o0708o
60506.571448,20.365,0.504,26,13,o,0,0.94,31.6314,29.99726,7916.74,1757.25,2.18,1.87,-53.4,-0.447,19.49,20.82,02a60506o0677o
60506.574621,22.25,2.857,5,13,o,0,0.8,31.6314,29.99726,7934.91,1796.08,2.12,1.87,-57.9,-0.447,19.53,20.82,02a60506o0684o
60506.582108,-21.946,2.347,-6,14,o,0,0.73,31.6314,29.99726,7881.09,1720.38,2.2,2.07,-57.6,-0.438,19.46,20.84,02a60506o0698o
60506.594194,-25.069,32.333,0,11,o,0,1.27,31.6314,29.99726,7866.24,1839.81,2.13,1.97,-61.5,-0.443,19.5,20.83,02a60506o0724o
60507.58122,20.415,0.483,25,12,o,0,0.89,31.6314,29.99726,2691.61,8784.77,2.46,2.29,63.0,-0.422,19.54,20.86,01a60507o0708o
60507.584455,21.006,0.88,14,13,o,0,0.71,31.6314,29.99726,2673.7,8746.69,2.46,2.31,64.6,-0.422,19.59,20.87,01a60507o0715o
60507.592405,21.362,1.333,10,14,o,0,0.63,31.6314,29.99726,2728.91,8821.8,2.56,2.31,60.5,-0.41,19.59,20.89,01a60507o0732o
60507.608898,-21.248,0.957,-12,11,o,0,1.08,31.6314,29.99726,2741.15,8708.11,2.59,2.33,60.2,-0.412,19.52,20.78,01a60507o0765o
60508.582575,22.384,2.704,4,11,o,0,1.02,31.6314,29.99726,5297.61,4800.15,2.79,2.6,46.4,-0.393,19.46,20.94,01a60508o0709o
60508.58627,-21.52,1.194,-9,11,o,0,0.9,31.6314,29.99726,5275.7,4760.84,2.79,2.53,46.5,-0.385,19.51,20.97,01a60508o0717o
60508.594699,-21.417,1.089,-10,11,o,0,1.53,31.6314,29.99726,5329.03,4839.38,3.11,2.83,46.5,-0.369,19.42,21.01,01a60508o0734o
60508.610289,23.131,5.786,2,12,o,0,0.96,31.6314,29.99726,5341.25,4724.23,2.79,2.54,44.4,-0.395,19.47,20.83,01a60508o0765o
60509.57231,21.08,0.827,13,11,o,0,1.46,31.6314,29.99726,5324.1,5747.88,2.35,1.95,35.3,-0.432,19.47,20.73,02a60509o0707o
60509.575477,-21.951,2.17,-6,13,o,0,1.04,31.6314,29.99726,5344.43,5787.0,2.47,1.97,29.6,-0.421,19.38,20.73,02a60509o0714o
60509.581775,20.973,0.812,15,12,o,0,1.31,31.6314,29.99726,5292.16,5709.69,2.53,2.0,30.0,-0.419,19.44,20.74,02a60509o0727o
60509.59352,22.079,2.047,5,11,o,0,1.36,31.6314,29.99726,5273.91,5827.15,2.45,1.93,34.8,-0.427,19.48,20.74,02a60509o0751o
60509.624307,-21.239,2.5,-12,29,o,0,1.23,31.6314,29.99726,5327.61,5774.96,2.44,1.86,38.6,-0.428,18.53,18.69,02a60509o0817o
60510.57187,22.754,5.565,3,16,o,0,0.97,31.6314,29.99726,9217.07,5524.05,2.18,2.13,-21.4,-0.444,19.22,20.04,02a60510o0698o
60510.5755,21.238,1.337,12,16,o,0,1.07,31.6314,29.99726,9238.64,5562.65,2.24,2.19,-32.4,-0.438,19.23,20.14,02a60510o0706o
60510.580961,21.365,1.453,10,15,o,0,0.87,31.6314,29.99726,9179.96,5485.67,2.25,2.2,-38.3,-0.51,19.32,20.36,02a60510o0718o
60510.594932,21.48,1.26,9,12,o,0,0.92,31.6314,29.99726,9166.15,5608.12,2.15,2.1,-22.2,-0.44,19.57,20.98,02a60510o0744o
60512.560993,-20.773,1.173,-18,21,o,0,1.0,31.6314,29.99726,7403.32,448.76,2.23,2.19,-45.8,-0.488,18.75,19.16,01a60512o0634o
60512.563769,20.323,0.865,27,23,o,0,1.06,31.6314,29.99726,7384.82,410.13,2.23,2.19,-67.4,-0.494,18.77,19.17,01a60512o0640o
60512.569326,22.516,6.182,4,22,o,0,1.06,31.6314,29.99726,7439.46,488.21,2.21,2.15,-45.7,-0.499,18.82,19.2,01a60512o0652o
60512.57996,19.808,0.533,43,23,o,0,1.27,31.6314,29.99726,7455.88,372.14,2.33,2.27,51.7,-0.465,18.77,19.26,01a60512o0675o
60513.568,-22.274,8.361,-4,37,o,0,0.71,31.6314,29.99726,3242.94,10111.49,2.3,2.03,-35.4,-0.43,18.76,19.29,02a60513o0637o
60513.571182,-21.272,1.978,-11,22,o,0,1.49,31.6314,29.99726,3261.46,10150.7,2.3,2.03,-32.1,-0.433,18.76,19.3,02a60513o0644o
60513.577096,23.281,19.286,2,34,o,0,0.86,31.6314,29.99726,3205.68,10072.28,2.28,2.06,-41.6,-0.428,18.8,19.33,02a60513o0657o
60513.591947,20.817,1.426,17,24,o,0,0.87,31.6314,29.99726,3190.09,10193.71,2.37,2.06,-46.4,-0.42,18.83,19.37,02a60513o0687o
