MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59709.3132,20.912,0.873,16,14,o,0,1.36,297.30531,-31.03571,5469.42,8428.98,2.24,1.74,-77.8,-0.438,19.35,20.56,04a59709o0647o
59709.317048,20.891,0.725,16,12,o,0,2.28,297.30531,-31.03571,5451.99,8390.3,2.18,1.82,-77.8,-0.453,19.34,20.55,04a59709o0652o
59709.322733,-22.382,3.054,-4,12,o,0,1.66,297.30531,-31.03571,5515.25,8467.95,2.12,1.72,-80.3,-0.437,19.38,20.55,04a59709o0661o
59709.333288,19.987,0.381,37,14,o,0,1.41,297.30531,-31.03571,5542.54,8350.94,2.13,1.7,-80.5,-0.437,19.42,20.56,04a59709o0678o
59710.372187,-21.238,1.038,-12,12,o,0,1.52,297.30531,-31.03571,5518.7,8425.78,2.19,1.73,-75.5,-0.429,19.41,20.62,04a59710o0783o
59710.376234,20.129,0.369,32,12,o,0,0.8,297.30531,-31.03571,5243.83,2258.91,1.75,1.68,-38.9,-0.469,19.48,20.62,04a59710o0790o
59710.382254,-21.052,0.77,-14,11,o,0,2.46,297.30531,-31.03571,5185.85,2174.38,1.8,1.7,-33.5,-0.453,19.44,20.61,04a59710o0801o
59710.394331,-21.638,1.377,-8,11,o,0,1.48,297.30531,-31.03571,5603.33,8347.94,2.21,1.8,-70.9,-0.43,19.36,20.62,04a59710o0822o
59714.246138,20.302,0.747,28,20,o,0,1.54,297.30531,-31.03571,7577.85,5986.21,2.05,1.82,-31.6,-0.434,18.66,18.99,04a59714o0638o
59714.249319,20.509,1.016,23,23,o,0,0.95,297.30531,-31.03571,7558.26,5947.63,2.07,1.9,-36.8,-0.417,18.64,19.01,04a59714o0645o
59714.255248,21.21,1.785,12,21,o,0,1.19,297.30531,-31.03571,7618.69,6024.75,2.02,1.82,-29.0,-0.428,18.68,19.03,04a59714o0658o
59714.265709,-22.073,3.937,-5,21,o,0,1.15,297.30531,-31.03571,7639.5,5908.41,2.03,1.83,-36.6,-0.431,18.7,19.06,04a59714o0681o
59723.031733,21.522,2.089,9,19,o,0,1.0,297.30531,-31.03571,9562.53,8677.72,2.45,2.2,-36.5,-0.424,19.05,20.16,03a59723o0015o
59724.059744,21.182,1.107,12,14,o,0,1.26,297.30531,-31.03571,9489.04,8761.41,2.95,2.37,-8.7,-0.384,19.25,20.64,03a59724o0368o
59724.06111,21.127,1.064,13,14,o,0,1.27,297.30531,-31.03571,9469.17,8722.93,2.99,2.38,-8.5,-0.38,19.26,20.66,03a59724o0371o
59724.064379,-22.462,3.613,-4,14,o,0,0.99,297.30531,-31.03571,9527.21,8802.49,2.37,2.1,-59.4,-0.429,19.47,20.64,03a59724o0377o
59724.088681,20.036,0.353,35,12,o,0,1.32,297.30531,-31.03571,9537.9,8694.06,2.76,2.31,-14.2,-0.401,19.28,20.62,03a59724o0427o
59725.313844,-20.615,0.535,-21,11,o,0,1.58,297.30531,-31.03571,1438.51,2495.88,2.37,1.87,50.1,-0.404,19.44,20.67,04a59725o0621o
59725.316936,20.007,0.327,36,12,o,0,1.19,297.30531,-31.03571,1422.02,2456.31,2.38,1.79,46.4,-0.414,19.47,20.66,04a59725o0625o
59725.32813,-22.693,3.826,-3,12,o,0,1.44,297.30531,-31.03571,9241.22,8124.45,2.36,2.11,-33.0,-0.427,19.44,20.62,04a59725o0643o
59725.333871,19.709,0.282,48,13,o,0,1.54,297.30531,-31.03571,1516.77,2417.27,2.42,1.8,47.5,-0.416,19.36,20.55,04a59725o0651o
59726.337424,21.504,1.382,9,13,o,0,1.46,297.30531,-31.03571,9283.3,8151.09,2.38,2.16,-25.9,-0.42,19.49,20.78,04a59726o0728o
59726.341491,-20.098,0.381,-33,13,o,0,1.4,297.30531,-31.03571,9303.76,8186.61,2.36,2.12,-24.0,-0.427,19.49,20.76,04a59726o0734o
59726.346954,20.961,0.707,15,11,o,0,2.43,297.30531,-31.03571,9245.93,8101.8,2.34,2.1,-33.9,-0.424,19.51,20.77,04a59726o0742o
59726.35751,20.5,0.514,23,12,o,0,1.75,297.30531,-31.03571,9227.96,8207.69,2.31,2.06,-38.9,-0.43,19.45,20.72,04a59726o0760o
59727.040117,-20.758,0.683,-18,12,o,0,1.3,297.30531,-31.03571,9486.73,8759.77,2.52,2.29,-57.7,-0.421,19.43,20.78,03a59727o0439o
59727.042848,19.566,0.262,54,14,o,0,1.17,297.30531,-31.03571,9466.96,8721.14,2.53,2.34,-54.6,-0.419,19.46,20.79,03a59727o0445o
59727.070554,-20.718,0.725,-19,14,o,0,0.88,297.30531,-31.03571,9516.44,8803.54,2.56,2.29,-30.1,-0.412,19.4,20.79,03a59727o0498o
59727.074243,22.042,2.462,6,14,o,0,0.96,297.30531,-31.03571,9534.93,8688.57,2.52,2.3,-51.4,-0.414,19.42,20.81,03a59727o0506o
59731.052534,-22.038,1.914,-6,11,o,0,1.72,297.30531,-31.03571,9006.53,2193.92,2.84,2.38,-16.6,-0.393,19.41,20.76,03a59731o0700o
59731.056784,21.408,1.333,10,13,o,0,1.02,297.30531,-31.03571,8986.21,2156.91,2.55,2.33,-36.5,-0.424,19.43,20.78,03a59731o0707o
59731.062233,-22.217,2.676,-5,13,o,0,1.06,297.30531,-31.03571,9038.93,2235.94,2.48,2.3,-32.9,-0.424,19.44,20.77,03a59731o0716o
59731.073048,-22.155,1.865,-5,9,o,0,1.91,297.30531,-31.03571,9059.93,2121.43,2.51,2.23,-31.0,-0.421,19.49,20.79,03a59731o0735o
59735.073689,-17.747,0.942,-289,272,o,0,1.4,297.30531,-31.03571,1480.05,8406.97,2.22,2.18,-42.4,-0.435,16.1,17.28,03a59735o0756o
59735.07755,-19.221,1.161,-74,86,o,0,0.89,297.30531,-31.03571,1496.39,8446.83,2.2,2.09,-62.8,-0.425,17.64,18.87,03a59735o0763o
59735.0835,-20.344,0.776,-26,20,o,0,0.84,297.30531,-31.03571,1439.73,8369.67,2.17,2.11,-63.8,-0.423,18.99,20.3,03a59735o0774o
59735.114254,20.297,0.439,28,12,o,0,1.67,297.30531,-31.03571,1411.12,8492.28,2.24,2.12,-43.6,-0.438,19.39,20.76,03a59735o0831o
59736.024128,-21.584,1.108,-8,9,o,0,2.06,297.30531,-31.03571,5280.39,8420.23,2.28,2.25,-61.9,-0.442,19.52,20.99,03a59736o0656o
59736.030497,-19.604,0.218,-52,11,o,0,0.91,297.30531,-31.03571,5263.34,8379.72,2.27,2.25,-8.2,-0.447,19.57,21.05,03a59736o0665o
59736.033325,22.351,2.821,4,12,o,0,1.11,297.30531,-31.03571,5315.84,8460.77,2.53,2.33,4.2,-0.437,19.49,21.04,03a59736o0670o
59736.043963,21.256,1.0,11,11,o,0,1.28,297.30531,-31.03571,5336.57,8345.29,2.21,2.19,-83.3,-0.457,19.6,21.03,03a59736o0686o
59737.27839,-20.717,0.662,-19,12,o,0,1.5,297.30531,-31.03571,3064.16,571.64,2.22,1.71,47.2,-0.434,19.31,20.31,04a59737o0716o
59737.282679,-22.508,3.605,-4,13,o,0,2.12,297.30531,-31.03571,3049.93,531.81,2.23,1.7,47.1,-0.437,19.31,20.29,04a59737o0723o
59741.242337,19.815,0.373,43,16,o,0,1.45,297.30531,-31.03571,3042.13,571.05,2.17,1.79,51.8,-0.429,19.09,19.84,04a59741o0528o
59741.244401,-22.823,6.259,-3,17,o,0,0.99,297.30531,-31.03571,3024.17,532.01,2.28,1.82,48.8,-0.415,19.09,19.84,04a59741o0531o
59741.247127,19.583,0.351,53,19,o,0,0.94,297.30531,-31.03571,3082.87,612.0,2.24,1.8,50.2,-0.425,19.1,19.85,04a59741o0537o
59741.257294,22.009,2.75,6,16,o,0,1.37,297.30531,-31.03571,3109.24,493.98,2.26,1.75,51.4,-0.424,19.12,19.86,04a59741o0554o
59742.249621,-21.108,1.301,-13,17,o,0,1.81,297.30531,-31.03571,3049.56,572.16,2.2,1.82,43.2,-0.421,18.99,19.62,04a59742o0601o
59742.257705,22.516,4.375,4,16,o,0,1.54,297.30531,-31.03571,3039.34,531.42,2.17,1.71,50.3,-0.427,19.04,19.64,04a59742o0615o
59742.259943,-20.312,0.66,-27,18,o,0,1.17,297.30531,-31.03571,3096.79,610.56,2.34,1.85,49.4,-0.424,18.98,19.65,04a59742o0619o
59742.269922,20.619,0.867,20,18,o,0,1.41,297.30531,-31.03571,3126.89,492.23,2.22,1.71,49.8,-0.423,19.06,19.67,04a59742o0635o
59743.044684,20.45,3.481,24,84,o,0,1.33,297.30531,-31.03571,5163.52,2133.9,2.84,2.56,3.1,-0.456,17.34,17.15,03a59743o0018o
59743.047901,-19.119,0.967,-82,79,o,0,0.93,297.30531,-31.03571,5181.51,2173.84,2.84,2.6,6.1,-0.45,17.42,17.36,03a59743o0025o
59743.053385,18.62,0.788,130,102,o,0,1.26,297.30531,-31.03571,5123.66,2096.44,2.88,2.61,0.9,-0.432,17.09,16.92,03a59743o0037o
59743.066492,-19.496,1.243,-58,72,o,0,1.16,297.30531,-31.03571,5097.92,2213.87,2.73,2.55,-2.0,-0.434,17.44,17.67,03a59743o0063o
59749.289825,22.296,3.841,4,17,o,0,1.02,297.30531,-31.03571,913.89,4293.43,2.27,1.78,56.6,-0.407,19.08,19.72,04a59749o0599o
59749.293171,-20.458,0.581,-24,14,o,0,1.71,297.30531,-31.03571,932.59,4328.47,2.22,1.72,58.8,-0.403,19.05,19.71,04a59749o0606o
59749.298671,22.857,5.963,3,16,o,0,1.85,297.30531,-31.03571,875.43,4246.27,2.25,1.77,53.8,-0.396,19.1,19.71,04a59749o0617o
59749.332215,21.99,3.286,6,19,o,0,1.35,297.30531,-31.03571,858.25,4330.43,2.28,1.79,55.3,-0.396,18.91,19.61,04a59749o0687o
59750.37003,20.054,0.734,34,25,o,0,0.87,297.30531,-31.03571,1797.39,4204.94,2.16,1.88,54.2,-0.415,18.63,19.23,04a59750o0586o
59750.375841,-20.486,1.45,-23,34,o,0,1.27,297.30531,-31.03571,1817.35,4240.9,2.2,2.02,-77.4,-0.44,18.25,18.84,04a59750o0598o
59750.376088,20.503,1.011,23,23,o,0,0.78,297.30531,-31.03571,8802.25,6310.79,3.19,2.92,-61.9,-0.457,18.8,19.97,01a59750o0299o
59750.380845,21.015,1.439,14,20,o,0,1.2,297.30531,-31.03571,8779.97,6272.52,3.19,3.09,54.9,-0.427,18.79,20.01,01a59750o0309o
59750.381561,20.112,0.471,33,15,o,0,1.5,297.30531,-31.03571,1757.16,4161.68,2.16,1.99,57.9,-0.423,18.85,19.64,04a59750o0610o
59750.385974,20.324,0.746,27,20,o,0,1.07,297.30531,-31.03571,8840.98,6346.7,3.07,3.01,-73.9,-0.44,18.87,20.06,01a59750o0320o
59750.387284,20.255,0.631,29,18,o,0,1.06,297.30531,-31.03571,1736.35,4275.43,2.22,2.01,62.8,-0.404,18.94,19.81,04a59750o0622o
59750.388148,-21.765,2.0,-7,14,c,0,1.18,297.30531,-31.03571,1736.18,4229.17,2.66,2.53,-64.4,-0.413,19.1,20.7,02a59750o0312c
59750.39114,22.405,5.2,4,21,o,0,1.05,297.30531,-31.03571,8859.73,6228.43,3.42,3.09,-68.2,-0.43,18.82,20.12,01a59750o0331o
59750.39298,20.501,1.246,23,28,o,0,1.45,297.30531,-31.03571,1774.58,4215.55,2.26,2.06,61.5,-0.401,18.16,18.74,04a59750o0634o
59750.395188,20.037,0.452,35,16,c,0,0.9,297.30531,-31.03571,1752.36,4266.88,2.6,2.48,-71.2,-0.415,19.21,20.71,02a59750o0325c
59750.400651,-21.013,0.866,-14,12,c,0,1.08,297.30531,-31.03571,1697.59,4188.21,2.51,2.41,-65.8,-0.419,19.23,20.73,02a59750o0334c
59750.401885,-21.802,3.192,-7,22,o,0,1.25,297.30531,-31.03571,904.36,4210.97,2.41,1.9,54.4,-0.388,18.85,19.68,04a59750o0653o
59750.405722,-22.5,3.952,-4,14,c,0,1.06,297.30531,-31.03571,1678.66,4305.8,2.55,2.39,-59.4,-0.42,19.26,20.73,02a59750o0345c
59750.406475,-20.379,0.714,-26,18,o,0,1.4,297.30531,-31.03571,918.33,4246.42,2.54,2.06,55.9,-0.375,18.5,19.33,04a59750o0660o
59750.429808,20.81,0.835,17,14,c,0,0.93,297.30531,-31.03571,1712.92,4244.02,2.44,2.4,-42.2,-0.421,19.18,20.53,02a59750o0392c
59750.61779,-17.277,0.178,-446,79,o,0,7.21,297.30531,-31.03571,1691.85,4328.46,3.49,3.1,-42.8,-0.442,17.47,17.59,01a59750o0807o
