MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60536.344912,-22.144,2.314,-5,12,c,0,0.91,57.57895,-47.78277,323.78,6705.78,2.53,2.19,69.9,-0.37,19.51,21.18,04a60536o0810c
60536.354965,20.98,0.868,15,13,c,0,0.96,57.57895,-47.78277,309.52,6665.15,2.55,2.14,72.2,-0.368,19.36,21.06,04a60536o0831c
60536.357801,25.839,86.0,0,14,c,0,0.97,57.57895,-47.78277,369.97,6746.59,2.56,2.15,81.2,-0.356,19.34,21.03,04a60536o0837c
60536.358703,-22.567,4.062,-3,14,c,0,1.87,57.57895,-47.78277,10098.43,6713.62,2.74,2.31,-24.5,-0.42,19.35,21.02,04a60536o0839c
60536.362033,22.536,3.111,4,11,c,0,1.74,57.57895,-47.78277,10080.14,6675.98,2.71,2.42,-26.3,-0.442,19.41,21.22,04a60536o0846c
60536.363887,21.438,1.0,10,10,c,0,1.62,57.57895,-47.78277,392.98,6631.79,2.46,2.15,76.9,-0.377,19.55,21.28,04a60536o0850c
60536.369536,20.445,0.545,24,13,c,0,0.95,57.57895,-47.78277,10143.31,6753.93,2.81,2.5,-41.9,-0.409,19.49,21.26,04a60536o0862c
60536.377648,-21.021,1.304,-14,18,c,0,1.02,57.57895,-47.78277,10166.57,6638.12,2.89,2.63,-51.6,-0.394,19.0,20.77,04a60536o0879c
60538.064012,-20.935,2.129,-15,33,o,0,1.26,57.57895,-47.78277,3291.53,153.41,2.64,2.56,-40.7,-0.367,18.32,19.17,03a60538o0759o
60538.067167,-23.677,34.0,-1,42,o,0,1.73,57.57895,-47.78277,3272.35,113.84,2.56,2.47,-43.5,-0.346,17.92,18.61,03a60538o0766o
60538.069873,-19.441,0.833,-61,51,o,0,1.57,57.57895,-47.78277,9541.49,10425.06,3.24,2.64,-40.8,-0.4,17.82,18.57,03a60538o0772o
60538.088673,20.614,1.189,21,24,o,0,1.46,57.57895,-47.78277,3333.69,195.44,2.48,2.35,-42.2,-0.368,18.55,19.42,03a60538o0813o
60538.089573,-22.294,8.5,-4,37,o,0,1.28,57.57895,-47.78277,9519.5,10389.94,2.98,2.36,-41.6,-0.442,18.12,19.0,03a60538o0815o
60538.092729,-20.582,2.553,-21,54,o,0,1.15,57.57895,-47.78277,9581.15,10468.93,3.14,2.46,-39.7,-0.449,18.06,18.86,03a60538o0822o
60538.094081,21.529,3.25,9,29,o,0,1.25,57.57895,-47.78277,3354.16,78.96,2.38,2.26,-42.5,-0.367,18.39,19.29,03a60538o0825o
60538.098139,-20.824,2.039,-17,35,o,0,1.16,57.57895,-47.78277,9601.91,10351.56,3.0,2.34,-41.0,-0.439,18.44,19.42,03a60538o0834o
60542.064432,19.615,0.87,52,45,o,0,0.87,57.57895,-47.78277,4998.64,4102.65,2.45,2.38,-45.5,-0.424,18.11,18.37,03a60542o0685o
60542.067587,-23.653,29.857,-1,38,o,0,1.17,57.57895,-47.78277,4983.25,4063.21,2.45,2.37,-44.8,-0.44,18.08,18.37,03a60542o0692o
60542.090309,-20.629,1.598,-20,32,o,0,1.15,57.57895,-47.78277,5039.05,4143.42,2.34,2.25,-40.4,-0.438,18.17,18.45,03a60542o0741o
60542.096169,-19.139,0.486,-80,39,o,0,0.96,57.57895,-47.78277,5062.91,4027.48,2.27,2.15,-57.2,-0.444,18.21,18.46,03a60542o0754o
60545.967475,21.793,9.684,7,67,o,0,1.43,57.57895,-47.78277,5281.76,2509.83,2.8,2.64,-49.2,-0.39,17.42,17.87,03a60546o0567o
60545.986402,17.403,0.328,397,130,o,0,1.56,57.57895,-47.78277,5334.79,2599.87,2.89,2.67,-44.0,-0.378,15.9,16.42,03a60546o0608o
60545.989619,14.526,0.431,5617,2418,o,0,1.04,57.57895,-47.78277,5356.53,2484.87,3.03,2.77,-32.0,-0.384,13.44,13.59,03a60546o0615o
60550.324269,15.586,0.382,2117,809,o,0,1.12,57.57895,-47.78277,6922.54,4490.13,2.41,2.17,-36.7,-0.402,14.73,16.04,04a60550o0724o
60550.326529,16.572,0.903,853,770,o,0,1.25,57.57895,-47.78277,6905.91,4451.84,2.44,2.19,-32.6,-0.402,14.9,16.21,04a60550o0729o
60550.329685,-17.305,0.674,-434,293,o,0,1.13,57.57895,-47.78277,6963.84,4529.36,2.45,2.28,-41.8,-0.404,15.85,17.09,04a60550o0736o
60551.33577,19.112,32.667,82,2688,o,0,1.0,57.57895,-47.78277,6931.05,4493.72,3.65,3.43,-48.5,-0.351,14.61,16.35,04a60551o0749o
60553.012769,-21.606,1.5,-8,12,o,0,1.01,57.57895,-47.78277,6882.96,4520.01,2.23,2.09,-40.6,-0.453,19.42,20.85,03a60553o0638o
60553.014615,-21.564,1.361,-9,12,o,0,0.86,57.57895,-47.78277,6867.34,4481.13,2.31,2.05,-48.4,-0.431,19.38,20.87,03a60553o0642o
60553.039555,-21.428,1.28,-10,12,o,0,1.57,57.57895,-47.78277,6923.27,4561.74,2.6,2.52,-34.7,-0.436,19.26,20.94,03a60553o0694o
60553.056686,23.821,9.714,1,10,o,0,1.35,57.57895,-47.78277,6947.34,4450.09,2.38,2.19,-47.8,-0.433,19.4,21.01,03a60553o0730o
60554.036543,-21.833,1.385,-7,9,c,0,1.93,57.57895,-47.78277,3101.03,4134.21,2.62,2.48,-41.8,-0.389,19.43,21.33,03a60554o0704c
60554.039716,-21.043,0.835,-14,12,c,0,1.0,57.57895,-47.78277,3082.74,4094.14,2.64,2.51,-38.6,-0.391,19.42,21.32,03a60554o0711c
60554.043323,21.417,0.986,10,10,c,0,1.48,57.57895,-47.78277,3140.19,4173.4,2.38,2.24,-43.7,-0.404,19.54,21.33,03a60554o0719c
60554.063237,21.123,0.761,13,10,c,0,1.37,57.57895,-47.78277,3164.96,4058.66,2.43,2.28,-50.7,-0.397,19.53,21.34,03a60554o0762c
60556.216125,21.617,1.839,8,15,o,0,1.78,57.57895,-47.78277,7044.48,479.47,3.25,3.01,-29.3,-0.314,18.93,20.76,04a60556o0553o
60556.243137,21.863,2.414,6,16,o,0,1.03,57.57895,-47.78277,7023.0,448.33,2.72,2.5,-28.1,-0.361,18.97,20.51,04a60556o0611o
60556.24629,20.729,1.481,19,28,o,0,1.27,57.57895,-47.78277,7079.85,525.88,2.7,2.51,-26.6,-0.372,18.57,20.13,04a60556o0618o
60556.249444,23.133,7.25,2,15,o,0,1.48,57.57895,-47.78277,7097.92,408.83,3.04,2.83,-23.5,-0.347,18.98,20.66,04a60556o0625o
60560.320715,-23.095,6.067,-2,13,o,0,1.77,57.57895,-47.78277,8140.96,6891.04,2.29,2.03,-17.9,-0.414,19.35,20.69,04a60560o0750o
60560.322532,20.904,0.857,16,14,o,0,1.13,57.57895,-47.78277,8122.16,6853.38,2.34,2.11,-36.5,-0.439,19.36,20.71,04a60560o0754o
60560.325704,21.194,1.186,12,14,o,0,1.41,57.57895,-47.78277,8183.75,6930.1,2.28,2.05,-31.5,-0.42,19.32,20.67,04a60560o0761o
60560.332475,21.131,1.333,13,17,o,0,0.94,57.57895,-47.78277,8209.6,6810.57,2.3,1.97,-8.7,-0.413,19.22,20.46,04a60560o0775o
60564.272223,21.324,2.205,11,24,o,0,1.03,57.57895,-47.78277,7926.74,8439.32,2.36,2.16,-59.1,-0.435,18.87,20.21,04a60564o0637o
60564.274036,20.89,1.157,16,18,o,0,1.25,57.57895,-47.78277,7907.48,8401.02,2.61,2.28,-67.9,-0.418,18.94,20.46,04a60564o0641o
60564.291549,-22.086,4.5,-5,24,o,0,1.56,57.57895,-47.78277,7977.81,8476.39,2.75,2.49,-57.9,-0.384,18.55,20.1,04a60564o0678o
60564.297163,-19.803,0.602,-44,26,o,0,1.2,57.57895,-47.78277,7997.12,8366.58,2.93,2.6,-66.4,-0.383,18.48,20.08,04a60564o0689o
60565.972648,20.658,0.946,20,19,o,0,1.31,57.57895,-47.78277,3485.87,2114.35,2.33,2.12,-53.9,-0.41,18.86,19.76,03a60566o0540o
60565.97494,-22.553,4.957,-4,17,o,0,1.37,57.57895,-47.78277,3469.14,2075.22,2.3,2.12,-54.9,-0.416,18.9,19.77,03a60566o0545o
60565.978108,20.375,0.717,26,18,o,0,1.53,57.57895,-47.78277,3525.14,2154.85,2.33,2.17,-55.1,-0.413,18.89,19.79,03a60566o0552o
60566.003206,-21.128,1.435,-13,18,o,0,0.84,57.57895,-47.78277,3548.54,2043.41,2.31,2.13,-47.9,-0.415,18.98,19.9,03a60566o0605o
60568.211857,21.041,1.681,14,23,o,0,1.0,57.57895,-47.78277,1901.39,8699.34,2.16,1.78,-78.5,-0.465,18.89,19.54,04a60568o0510o
60568.214675,-21.093,1.538,-13,20,o,0,1.5,57.57895,-47.78277,1883.65,8658.72,2.04,1.84,-57.1,-0.413,18.84,19.47,04a60568o0516o
60568.217895,-22.522,6.5,-4,23,o,0,1.6,57.57895,-47.78277,1941.13,8740.19,2.17,1.78,-76.1,-0.472,18.88,19.57,04a60568o0523o
60568.222934,20.206,0.787,30,24,o,0,1.1,57.57895,-47.78277,1963.47,8624.48,2.23,1.85,-72.8,-0.456,18.91,19.59,04a60568o0534o
60577.950424,20.01,0.624,36,22,o,0,1.09,57.57895,-47.78277,8984.26,430.36,2.27,2.06,-39.4,-0.459,18.94,20.49,03a60578o0492o
60577.95223,-21.404,1.571,-10,16,o,0,1.46,57.57895,-47.78277,8966.79,391.88,2.2,2.02,-38.9,-0.469,19.22,20.71,03a60578o0496o
60577.955019,20.331,0.567,27,15,o,0,1.24,57.57895,-47.78277,9020.86,470.88,2.3,2.13,-37.3,-0.462,19.2,20.75,03a60578o0502o
60577.979973,20.774,0.624,18,11,o,0,1.56,57.57895,-47.78277,9046.89,361.09,2.31,2.09,-48.4,-0.46,19.44,21.0,03a60578o0555o
60578.103754,-21.403,2.679,-10,27,o,0,1.03,57.57895,-47.78277,5097.06,46.51,2.01,1.9,-37.6,-0.412,18.61,19.44,03a60578o0821o
60588.288154,20.667,0.483,20,10,c,0,1.58,57.57895,-47.78277,3278.97,211.07,2.52,1.93,44.3,-0.408,19.65,21.46,04a60588o0540c
60588.289514,22.266,2.8,4,13,c,0,1.21,57.57895,-47.78277,9785.47,10362.8,2.8,2.46,-45.5,-0.433,19.6,21.45,04a60588o0543c
60588.291348,20.186,0.307,31,9,c,0,1.72,57.57895,-47.78277,3259.89,176.23,2.68,2.12,41.3,-0.405,19.62,21.47,04a60588o0547c
