MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60560.950663,22.421,2.545,4,10,c,0,1.31,5.83867,-2.477,3794.15,3128.7,2.51,2.37,-53.4,-0.396,19.43,21.42,03a60561o0515c
60560.954735,-21.182,0.786,-12,10,c,0,0.95,5.83867,-2.477,3778.02,3088.82,2.51,2.33,-56.1,-0.398,19.44,21.43,03a60561o0524c
60560.985109,-23.652,7.857,-1,10,c,0,1.18,5.83867,-2.477,3841.38,3169.59,2.58,2.36,-51.1,-0.396,19.45,21.38,03a60561o0589c
60561.007003,21.803,1.447,7,10,c,0,0.82,5.83867,-2.477,6690.94,7546.79,2.66,2.31,-50.0,-0.386,19.47,21.38,03a60561o0636c
60562.44569,-21.902,1.714,-6,11,o,0,1.21,5.83867,-2.477,7887.45,8741.13,2.48,2.4,15.5,-0.45,19.56,20.81,01a60562o0428o
60562.47436,-20.987,0.786,-15,12,o,0,1.08,5.83867,-2.477,7869.75,8699.75,2.42,2.41,-39.0,-0.451,19.52,20.67,01a60562o0485o
60562.493001,21.3,1.065,11,12,o,0,1.29,5.83867,-2.477,2651.84,1805.12,2.45,2.23,33.8,-0.463,19.51,20.69,01a60562o0522o
60562.497457,20.347,0.401,26,11,o,0,1.51,5.83867,-2.477,2637.47,1922.31,2.52,2.24,38.1,-0.458,19.49,20.67,01a60562o0531o
60563.215752,17.181,0.746,487,364,o,0,0.27,5.83867,-2.477,7920.56,8768.65,2.13,1.79,-25.7,-0.409,17.55,18.7,04a60563o0370o
60563.217629,21.444,9.615,10,92,o,0,1.27,5.83867,-2.477,7901.41,8729.63,2.08,1.81,-23.0,-0.421,17.31,18.47,04a60563o0374o
60563.221781,-18.723,1.886,-118,222,o,0,1.71,5.83867,-2.477,7965.72,8806.67,2.09,1.82,-23.6,-0.485,15.9,17.03,04a60563o0383o
60563.24625,17.634,2.493,321,800,o,0,1.06,5.83867,-2.477,2689.7,1935.4,2.02,1.8,39.1,-0.437,15.27,16.46,04a60563o0432o
60564.426086,-20.35,0.422,-26,11,o,0,1.37,5.83867,-2.477,9108.56,5889.47,2.14,2.08,-46.9,-0.436,19.46,20.46,02a60564o0465o
