# Combined data from 'ATLAS-ZTF' for 'SN 2024jih'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
249.97834, 37.18252, c, 60358.592329, 20.609, 0.435, 21, 9, 20.5944517631652, ATLAS-ZTF
249.97834, 37.18252, c, 60358.595102, 20.826, 0.591, 17, 10, 20.823877696554312, ATLAS-ZTF
249.97834, 37.18252, c, 60358.600579, 21.718, 1.143, 8, 8, 21.64227503252014, ATLAS-ZTF
249.97834, 37.18252, c, 60358.61154, 22.026, 1.308, 6, 7, 21.95462187404089, ATLAS-ZTF
249.97834, 37.18252, c, 60359.641239, 20.95, 0.673, 15, 10, 20.959771852360795, ATLAS-ZTF
249.97834, 37.18252, c, 60359.645393, 22.436, 2.5, 4, 10, 22.394850021680092, ATLAS-ZTF
249.97834, 37.18252, c, 60359.6531, -22.056, 1.649, -6, 9, nan, ATLAS-ZTF
249.97834, 37.18252, c, 60359.659355, 21.103, 0.706, 13, 9, 21.115141619232908, ATLAS-ZTF
249.97834, 37.18252, o, 60361.534619, 21.365, 2.778, 10, 29, 21.4, ATLAS-ZTF
249.97834, 37.18252, o, 60361.537373, -19.952, 0.494, -38, 19, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60361.542594, 20.686, 1.082, 19, 21, 20.703115997617928, ATLAS-ZTF
249.97834, 37.18252, o, 60361.552431, 20.426, 0.855, 24, 21, 20.449471895720983, ATLAS-ZTF
249.97834, 37.18252, o, 60362.536301, 21.568, 3.065, 9, 26, 21.514393726401686, ATLAS-ZTF
249.97834, 37.18252, o, 60362.557699, 19.142, 0.278, 80, 22, 19.14227503252014, ATLAS-ZTF
249.97834, 37.18252, o, 60362.560868, 18.527, 0.153, 141, 22, 18.52695221836155, ATLAS-ZTF
249.97834, 37.18252, o, 60362.564945, 20.753, 1.162, 18, 21, 20.761818737241732, ATLAS-ZTF
249.97834, 37.18252, o, 60362.566301, 26.127, 168.0, 0, 22, inf, ATLAS-ZTF
249.97834, 37.18252, o, 60362.568588, -22.253, 5.267, -5, 24, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60362.589689, 20.221, 0.535, 30, 16, 20.207196863200842, ATLAS-ZTF
249.97834, 37.18252, o, 60362.594795, 23.09, 11.409, 2, 24, 23.147425010840045, ATLAS-ZTF
249.97834, 37.18252, o, 60363.55575, 20.26, 0.995, 29, 28, 20.24400500525261, ATLAS-ZTF
249.97834, 37.18252, o, 60363.557558, -21.098, 1.437, -13, 19, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60363.558915, 19.393, 0.356, 64, 23, 19.38455006504028, ATLAS-ZTF
249.97834, 37.18252, o, 60363.560729, -19.799, 0.478, -44, 21, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60363.574986, -20.569, 0.945, -22, 20, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60363.576793, -21.504, 2.647, -9, 24, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60363.583394, 20.969, 1.519, 15, 23, 20.959771852360795, ATLAS-ZTF
249.97834, 37.18252, o, 60363.593813, -20.146, 0.548, -32, 17, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60365.525526, 19.017, 0.385, 90, 34, 19.014393726401686, ATLAS-ZTF
249.97834, 37.18252, o, 60365.528738, 19.045, 0.396, 88, 35, 19.038793319624578, ATLAS-ZTF
249.97834, 37.18252, o, 60365.534197, 18.991, 0.365, 92, 34, 18.99053043163611, ATLAS-ZTF
249.97834, 37.18252, o, 60365.543971, 19.874, 0.908, 41, 37, 19.86804035820066, ATLAS-ZTF
249.97834, 37.18252, o, 60365.562395, 19.375, 0.689, 65, 44, 19.36771660839286, ATLAS-ZTF
249.97834, 37.18252, o, 60365.562847, 20.635, 1.235, 20, 25, 20.647425010840045, ATLAS-ZTF
249.97834, 37.18252, o, 60365.565571, -19.681, 0.765, -49, 37, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60365.566023, 19.376, 0.427, 64, 28, 19.38455006504028, ATLAS-ZTF
249.97834, 37.18252, o, 60365.571052, 17.348, 0.886, 418, 370, 17.34705929556241, ATLAS-ZTF
249.97834, 37.18252, o, 60365.571504, -17.399, 0.905, -398, 361, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60365.581089, -19.456, 0.737, -60, 44, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60365.581541, 20.272, 1.469, 28, 42, 20.28210492164445, ATLAS-ZTF
249.97834, 37.18252, o, 60366.536369, 23.665, 19.0, 1, 24, 23.9, ATLAS-ZTF
249.97834, 37.18252, o, 60366.539563, -19.831, 0.541, -42, 23, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60366.543645, 20.854, 1.24, 16, 20, 20.889700043360186, ATLAS-ZTF
249.97834, 37.18252, o, 60366.565989, -19.473, 0.37, -59, 22, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60368.610966, 22.563, 4.423, 3, 15, 22.707196863200842, ATLAS-ZTF
249.97834, 37.18252, o, 60370.581938, -20.484, 0.65, -23, 15, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60370.585107, 19.102, 0.682, 83, 57, 19.102304769059813, ATLAS-ZTF
249.97834, 37.18252, o, 60370.590541, -22.416, 4.056, -4, 16, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60370.601005, -22.667, 5.259, -3, 16, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60371.46325, -20.975, 1.574, -15, 23, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60371.468828, 19.854, 0.42, 42, 17, 19.841876774005247, ATLAS-ZTF
249.97834, 37.18252, o, 60371.500172, -21.309, 1.329, -11, 14, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60371.51509, -23.831, 14.857, -1, 16, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60384.55844, -24.076, 15.333, -1, 13, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60384.561674, -21.778, 1.577, -7, 11, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60384.567216, 20.991, 0.712, 15, 10, 20.959771852360795, ATLAS-ZTF
249.97834, 37.18252, o, 60384.591154, 20.916, 0.629, 16, 10, 20.889700043360186, ATLAS-ZTF
249.97834, 37.18252, o, 60386.54686, -22.896, 4.92, -2, 12, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60386.553842, -21.142, 1.064, -13, 14, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60386.555652, 20.261, 0.318, 28, 9, 20.28210492164445, ATLAS-ZTF
249.97834, 37.18252, o, 60386.563723, -22.416, 2.692, -4, 11, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60387.500605, -20.389, 0.592, -25, 15, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60387.505858, 19.93, 0.315, 39, 12, 19.92233848243375, ATLAS-ZTF
249.97834, 37.18252, o, 60387.507706, 19.492, 0.243, 58, 14, 19.491430016092657, ATLAS-ZTF
249.97834, 37.18252, o, 60387.515621, 19.878, 0.31, 41, 13, 19.86804035820066, ATLAS-ZTF
249.97834, 37.18252, o, 60387.616108, 22.564, 3.187, 3, 11, 22.707196863200842, ATLAS-ZTF
249.97834, 37.18252, o, 60387.633924, -20.727, 0.744, -19, 14, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60387.641757, -23.215, 6.437, -2, 12, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60387.652478, -20.171, 1.099, -31, 34, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60388.523824, -22.045, 2.364, -6, 13, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60388.526136, -20.989, 1.048, -15, 15, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60388.531681, 21.681, 1.597, 8, 12, 21.64227503252014, ATLAS-ZTF
249.97834, 37.18252, o, 60388.552716, 22.244, 2.368, 5, 11, 22.15257498915995, ATLAS-ZTF
249.97834, 37.18252, o, 60389.516009, -21.877, 10.207, -6, 66, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60389.519637, -17.718, 1.008, -297, 299, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60389.525976, -21.289, 2.509, -11, 28, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60390.470484, -20.616, 1.206, -21, 25, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60390.472292, 20.106, 0.884, 33, 29, 20.10371515030528, ATLAS-ZTF
249.97834, 37.18252, o, 60390.476398, -20.051, 0.833, -35, 29, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60390.47867, 21.154, 1.606, 12, 20, 21.202046884880936, ATLAS-ZTF
249.97834, 37.18252, o, 60390.48096, 20.94, 1.592, 15, 24, 20.959771852360795, ATLAS-ZTF
249.97834, 37.18252, o, 60390.481864, 21.553, 2.702, 9, 24, 21.514393726401686, ATLAS-ZTF
249.97834, 37.18252, o, 60390.484143, -21.167, 1.817, -12, 22, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60390.489629, 21.26, 1.765, 11, 20, 21.296518287104437, ATLAS-ZTF
