# Combination of '2020acbx' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 131.58829, -12.65599, 59132.606956, 19.117, 0.68, 82.0, 56.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59132.626073, 20.129, 0.71, 32.0, 23.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59132.63698, 19.354, 0.641, 66.0, 42.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59144.580684, 20.963, 0.713, 15.0, 11.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59148.586351, 18.457, 0.486, 150.0, 73.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59154.623514, 19.704, 0.499, 48.0, 24.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59170.572035, 20.869, 0.559, 16.0, 9.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59178.5732, 20.97, 0.508, 15.0, 8.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59184.513972, 20.409, 0.864, 25.0, 22.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59184.52229, 19.852, 0.518, 42.0, 22.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59184.547288, 19.5, 0.298, 58.0, 17.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59186.544982, 20.397, 0.656, 25.0, 16.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59187.554813, 20.373, 0.728, 26.0, 19.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59187.559422, 19.251, 0.201, 72.0, 15.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59187.560801, 20.372, 0.754, 26.0, 19.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59187.569029, 20.532, 0.902, 22.0, 20.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59187.575492, 19.612, 0.38, 52.0, 20.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59189.568129, 19.791, 0.389, 44.0, 17.0, ATLAS
