# Combination of '2024wdg' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 71.31999, 8.5543, 60513.168381, 18.31, 0.278, 172.0, 48.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60529.156124, 20.386, 0.685, 25.0, 17.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60529.167201, 20.437, 0.89, 24.0, 22.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60529.177829, 19.817, 0.656, 43.0, 28.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60535.401411, 20.766, 0.673, 18.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60540.595889, 19.908, 0.578, 40.0, 23.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60541.108008, 19.796, 0.943, 44.0, 41.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60542.597154, 20.049, 0.74, 35.0, 26.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60544.516749, 19.178, 0.953, 77.0, 74.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60545.093417, 19.81, 0.971, 43.0, 42.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60545.122693, 18.846, 0.382, 105.0, 40.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60552.497935, 20.217, 0.538, 30.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60552.516437, 20.87, 0.926, 16.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60555.349641, 20.401, 0.606, 25.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60556.587237, 19.519, 0.215, 57.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60560.561145, 20.599, 0.626, 21.0, 13.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60560.56431, 20.305, 0.459, 27.0, 13.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60560.570758, 20.82, 0.689, 17.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60560.580794, 20.003, 0.334, 36.0, 12.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60561.136614, 20.859, 0.67, 16.0, 11.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60561.139808, 20.44, 0.427, 24.0, 10.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60561.143922, 20.917, 0.747, 16.0, 12.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60561.145295, 20.216, 0.436, 30.0, 13.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60561.150558, 20.902, 0.747, 16.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60562.572338, 19.974, 0.331, 37.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60562.601286, 20.105, 0.369, 33.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60564.562696, 20.225, 0.508, 30.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60564.589336, 19.744, 0.274, 46.0, 13.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60567.322313, 19.182, 0.273, 77.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60567.325486, 19.142, 0.247, 80.0, 20.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60567.331385, 19.286, 0.298, 70.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60567.342489, 20.382, 0.749, 26.0, 19.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60568.51775, 19.109, 0.283, 82.0, 23.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60568.521365, 20.033, 0.591, 35.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60568.538783, 19.113, 0.217, 82.0, 18.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60571.293206, 19.05, 0.834, 87.0, 73.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60572.53574, 19.398, 0.74, 63.0, 47.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60572.548405, 19.556, 0.544, 55.0, 30.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60572.594446, 19.099, 0.252, 83.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60572.603871, 19.841, 0.492, 42.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60572.63002, 19.764, 0.526, 45.0, 24.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60572.639002, 19.565, 0.523, 54.0, 28.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60572.640857, 19.566, 0.628, 54.0, 34.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60574.514298, 20.313, 0.978, 27.0, 27.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60574.549419, 19.957, 0.546, 38.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60574.556853, 19.047, 0.302, 87.0, 26.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60575.293541, 18.65, 0.255, 126.0, 32.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60575.326015, 19.123, 0.995, 81.0, 81.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60575.330052, 19.557, 0.8, 55.0, 44.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60580.544856, 19.734, 0.282, 46.0, 13.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60580.546664, 19.603, 0.239, 52.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60582.494826, 19.402, 0.179, 63.0, 11.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60582.520239, 19.879, 0.266, 41.0, 11.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60582.534163, 19.638, 0.203, 51.0, 10.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60583.275263, 19.703, 0.304, 48.0, 14.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60583.278484, 19.936, 0.353, 38.0, 14.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60583.281295, 20.297, 0.429, 28.0, 12.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60583.315223, 19.485, 0.22, 58.0, 13.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60584.529776, 20.799, 0.792, 17.0, 14.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60584.534751, 20.764, 0.629, 18.0, 11.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60584.54109, 20.648, 0.632, 20.0, 13.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60584.983404, 19.931, 0.506, 39.0, 20.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60584.986598, 20.49, 0.953, 23.0, 22.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60585.001046, 19.804, 0.409, 44.0, 18.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60586.544664, 20.722, 0.662, 19.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60586.557233, 20.221, 0.341, 30.0, 10.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60586.562789, 20.25, 0.379, 29.0, 11.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60587.295853, 19.902, 0.293, 40.0, 12.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60587.318295, 21.216, 0.887, 12.0, 10.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60587.32373, 20.855, 0.667, 16.0, 11.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60588.468581, 20.454, 0.488, 24.0, 12.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60588.500533, 20.273, 0.422, 28.0, 12.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60588.514457, 20.718, 0.585, 19.0, 11.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60589.023066, 19.261, 0.354, 72.0, 25.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60589.052443, 19.86, 0.514, 41.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60590.594387, 20.218, 0.342, 30.0, 10.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60590.606287, 20.281, 0.448, 28.0, 13.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60592.430163, 20.277, 0.401, 28.0, 11.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60592.99542, 20.149, 0.586, 32.0, 19.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60592.997248, 19.197, 0.222, 76.0, 17.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60593.011205, 19.869, 0.459, 41.0, 19.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60596.496768, 19.364, 0.268, 65.0, 18.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60596.499932, 19.561, 0.317, 54.0, 17.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60596.50536, 20.167, 0.668, 31.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60598.470201, 20.544, 0.788, 22.0, 17.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60598.472512, 20.564, 0.922, 22.0, 20.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60598.480831, 19.802, 0.455, 44.0, 20.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60598.483143, 19.967, 0.465, 37.0, 17.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60598.488225, 19.708, 0.359, 48.0, 17.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60599.212616, 19.4, 0.495, 63.0, 31.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60599.21443, 19.359, 0.425, 66.0, 28.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60599.21807, 19.098, 0.444, 83.0, 37.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60599.223062, 19.844, 0.651, 42.0, 27.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60599.231225, 19.303, 0.786, 69.0, 54.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60600.461588, 18.357, 0.521, 165.0, 86.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60600.47357, 19.004, 0.325, 91.0, 30.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60600.481428, 19.592, 0.529, 53.0, 28.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60605.584641, 20.179, 0.495, 31.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60605.619491, 20.324, 0.56, 27.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60607.217206, 19.228, 0.288, 74.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60607.229987, 19.564, 0.297, 54.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60608.491264, 20.269, 0.535, 28.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60609.049669, 19.667, 0.307, 49.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60609.085056, 20.736, 0.786, 18.0, 14.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60609.103238, 20.826, 0.961, 17.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60611.17481, 20.127, 0.595, 32.0, 19.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60611.190261, 20.007, 0.511, 36.0, 18.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60611.241113, 19.349, 0.32, 66.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60611.24293, 19.599, 0.393, 52.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60611.246097, 20.401, 0.703, 25.0, 18.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60612.616427, 20.854, 0.965, 16.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60612.642248, 19.414, 0.228, 62.0, 14.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60614.489193, 20.462, 0.41, 24.0, 10.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60614.498051, 20.901, 0.605, 16.0, 10.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60615.229187, 19.713, 0.312, 47.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60615.235519, 20.432, 0.635, 24.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60615.266676, 20.284, 0.5, 28.0, 14.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60616.452101, 20.294, 0.437, 28.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60616.458432, 20.345, 0.481, 26.0, 13.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60618.521625, 21.069, 0.972, 14.0, 13.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60618.531301, 20.536, 0.503, 22.0, 11.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60619.263834, 20.213, 0.445, 30.0, 13.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60621.053142, 19.988, 0.384, 37.0, 14.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60621.073155, 20.064, 0.373, 34.0, 13.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60623.204851, 20.699, 0.803, 19.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60623.20803, 20.314, 0.599, 27.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60624.477056, 20.974, 0.873, 15.0, 13.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60627.17488, 19.777, 0.672, 45.0, 30.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60627.178549, 20.058, 0.86, 34.0, 30.0, ATLAS
