# Combination of '2020oil' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.040023, 268.604958, 15.618011, 59023.427889, nan, 1.6286043071400003, -6.0, 9.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59023.43099, nan, 1.9543251685680003, -5.0, 9.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59023.464612, nan, 1.5510517210857144, -7.0, 10.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59023.470729, inf, inf, 0.0, 8.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59027.444221, nan, 0.45715208621473685, -19.0, 8.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59027.44764, nan, 0.43429448190400005, -20.0, 8.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59027.457635, 22.707196863200842, 3.2572086142800005, 3.0, 9.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59027.46289, nan, 1.08573620476, -8.0, 8.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59043.399106, 18.131259905216965, 0.07487835894896552, 203.0, 14.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59043.40191, 18.043943297944484, 0.06415713937218183, 220.0, 13.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59043.407894, 18.043943297944484, 0.06415713937218183, 220.0, 13.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59043.423914, 17.98628003777275, 0.06551856408034484, 232.0, 14.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59047.393973, 17.34705929556241, 0.038961825529665074, 418.0, 15.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59047.397176, 17.370691729981644, 0.047783011456430324, 409.0, 18.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59047.403585, 17.414018624061434, 0.03867762561486005, 393.0, 14.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59047.415792, 17.365395445309826, 0.04226710286170317, 411.0, 16.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59051.374418, 17.219755355160704, 0.027720924376851065, 470.0, 12.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59051.379671, 17.15257498915995, 0.026057668914240002, 500.0, 12.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59051.385198, 17.178950444993223, 0.024473561992540988, 488.0, 11.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59051.396331, 17.133205544158102, 0.021330770231041258, 509.0, 10.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59071.305789, 18.029237842379597, 0.05355649440520179, 223.0, 11.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59071.309, 17.972330344320657, 0.04620154062808511, 235.0, 10.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59071.315812, 17.940461585048922, 0.0493516456709091, 242.0, 11.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59071.323364, 17.967719992574732, 0.046005771388135594, 236.0, 10.0, ATLAS
c, 23.9, 0.040023, 268.604958, 15.618011, 59071.327031, 18.029237842379597, 0.048687722186547086, 223.0, 10.0, ATLAS
