# Combination of '2020tce' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59087.551519, nan, 2.17147240952, -4.0, 8.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59087.560742, 22.15257498915995, 2.17147240952, 5.0, 10.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59087.563502, nan, 0.6204206884342858, -14.0, 8.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59087.579981, nan, 0.6979732744885715, -14.0, 9.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59107.514907, 18.889196565543394, 0.10749863413465348, 101.0, 10.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59107.518111, 18.574165578762482, 0.07238241365066667, 135.0, 9.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59107.522244, 18.702046884880936, 0.081430215357, 120.0, 9.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59107.547108, 18.615141619232908, 0.08351816959692308, 130.0, 10.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59111.500565, 18.590370897582282, 0.718381849766015, 133.0, 88.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59111.503767, 18.44539103013807, 0.8500171603055264, 152.0, 119.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59111.506969, 18.330283238465814, 0.6167495601003551, 169.0, 96.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59111.523074, 18.0944517631652, 0.33606120623523816, 210.0, 65.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59115.566453, 18.014728902131495, 0.04323728249044248, 226.0, 9.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59115.570112, 17.967719992574732, 0.05520692566576272, 236.0, 12.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59115.5756, 18.131259905216965, 0.05883299631704434, 203.0, 11.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59115.585735, 18.06386562212267, 0.055292121538703706, 216.0, 11.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59135.527915, 18.878499570595203, 1.1496030403341178, 102.0, 108.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59135.536272, 19.089301784845293, 0.14217974109952383, 84.0, 11.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59139.485039, 19.197966019298022, 0.12857402424789474, 76.0, 9.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59139.488091, 19.334812993247933, 0.16205017981492537, 67.0, 10.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59139.519873, 19.014393726401686, 0.15682856290977779, 90.0, 13.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59139.526269, 19.287254899964356, 0.21714724095200003, 70.0, 14.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59143.425798, 19.47286997089464, 0.5888738737681356, 59.0, 32.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59143.428086, 19.36771660839286, 0.4844053836621539, 65.0, 29.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59143.431287, 19.051201868453454, 0.33695261527034487, 87.0, 27.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59143.436432, 20.647425010840045, 3.8000767166600005, 20.0, 70.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59147.486269, 19.589310325998028, 0.26631265399773585, 53.0, 13.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59147.489948, 19.589310325998028, 0.22534147645962269, 53.0, 11.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59147.495457, 19.27185412820231, 0.15292059221971832, 71.0, 10.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59147.50662, 19.609991640913, 0.22967496639153848, 52.0, 11.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59163.447138, 20.10371515030528, 0.3948131653672728, 33.0, 12.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59163.449917, 20.543943297944484, 0.54286810238, 22.0, 11.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59163.456939, 20.137125054200233, 0.37322182038625, 32.0, 11.0, ATLAS
c, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59163.471709, 19.92233848243375, 0.27839389865641023, 39.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59085.534853, 20.959771852360795, 1.1581186184106667, 15.0, 16.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59085.538084, 21.95462187404089, 1.6286043071400003, 6.0, 9.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59085.547365, nan, 6.514417228560001, -2.0, 12.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59085.557814, nan, 0.41183097421931036, -29.0, 11.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59089.562483, nan, 9.77162584284, -1.0, 9.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59089.564469, 21.514393726401686, 0.9650988486755556, 9.0, 8.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59089.567234, 20.449471895720983, 0.3166730597216667, 24.0, 7.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59089.588612, nan, 1.08573620476, -8.0, 8.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59093.493939, 22.707196863200842, 6.876329296813334, 3.0, 19.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59093.498575, inf, inf, 0.0, 18.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59093.50134, nan, 1.5381262900766668, -12.0, 17.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59093.507805, nan, 0.8000161508757895, -19.0, 14.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59095.493789, nan, 1.9905163753933335, -12.0, 22.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59095.497037, nan, 1.3143122478673686, -19.0, 23.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59095.505719, nan, 0.7445048261211429, -35.0, 24.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59095.510794, nan, 1.9388146513571431, -14.0, 25.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59096.538905, 20.24400500525261, 0.5615876921172415, 29.0, 15.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59096.540753, 21.296518287104437, 1.2831427874436365, 11.0, 13.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59096.543521, nan, 1.5792526614690912, -11.0, 16.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59096.552294, nan, 2.7143405119, -6.0, 15.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59101.536488, 20.5944517631652, 0.41361379228952383, 21.0, 8.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59101.539293, 23.9, 14.114570661880002, 1.0, 13.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59101.556074, 21.202046884880936, 1.08573620476, 12.0, 12.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59101.575561, 19.51031286081877, 0.19048003592280702, 57.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59103.606504, 19.719755355160704, 0.27720924376851064, 47.0, 12.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59103.609909, 19.950541008457975, 0.3428640646610526, 38.0, 12.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59103.628946, 19.589310325998028, 0.26631265399773585, 53.0, 13.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59103.634625, 19.950541008457975, 0.4285800808263158, 38.0, 15.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59105.527508, 19.06375387189108, 0.1262483959023256, 86.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59105.530437, 19.351140161145327, 0.164505485569697, 66.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59105.533669, 19.002396519197266, 0.11931167085274726, 91.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59105.55356, 19.226920700672558, 0.1467211087513514, 74.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59109.470351, 18.574165578762482, 0.08042490405629629, 135.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59109.47313, 18.615141619232908, 0.08351816959692308, 130.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59109.494508, 18.657724967479858, 0.08685889638080001, 125.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59109.498229, 18.52695221836155, 0.07700256771347519, 141.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59113.487223, 18.330283238465814, 0.07066922042816569, 169.0, 11.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59113.491854, 18.13662157638344, 0.09674877072118812, 202.0, 18.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59113.497405, 18.403357282613943, 0.18553719954759496, 158.0, 27.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59113.507427, 18.382935309920374, 0.10789925016248447, 161.0, 16.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59117.480763, 18.452557631767075, 0.0719030599178808, 151.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59117.482603, 18.39650718919887, 0.06145676630716982, 159.0, 9.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59117.488454, 18.34972977989986, 0.07194637501421688, 166.0, 11.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59117.507862, 18.261818737241732, 0.060318678042222226, 180.0, 10.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59119.479322, 17.913870797934457, 0.26267811405483876, 248.0, 60.0, ATLAS
o, 23.9, 0.06136774025819395, 45.470542, 16.992881, 59119.486992, 18.550302283996906, 0.14948541949594205, 138.0, 19.0, ATLAS
