# Combination of '2021accx' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59515.367908, 17.012219334012322, 0.022897775847311074, 569.0, 12.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59515.383751, 17.023729012871634, 0.02314180187765542, 563.0, 12.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59515.393609, 17.041225588178925, 0.02351775172765343, 554.0, 12.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59515.40198, 17.021802240041644, 0.023100770314042555, 564.0, 12.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59519.348302, 16.672551007525776, 0.015351026031311055, 778.0, 11.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59519.353481, 16.688011590127545, 0.018402308555254238, 767.0, 13.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59519.36271, 16.679551265204186, 0.01685489580481242, 773.0, 12.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59519.365911, 16.608865128625187, 0.01579252661469091, 825.0, 12.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59523.349297, 16.55620526995663, 0.02005979131196305, 866.0, 16.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59523.352497, 16.532641823255435, 0.019629129125604522, 885.0, 16.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59523.360551, 16.577730774390115, 0.019182618458657246, 849.0, 15.0, ATLAS
c, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59523.37031, 16.567547945192004, 0.020270454231225206, 857.0, 16.0, ATLAS
o, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59491.410063, nan, 0.9952581876966667, -12.0, 11.0, ATLAS
o, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59491.41557, 21.034679910804403, 0.6979732744885715, 14.0, 9.0, ATLAS
o, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59491.420231, nan, 1.9905163753933335, -6.0, 11.0, ATLAS
o, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59491.430771, nan, 0.678585127975, -16.0, 10.0, ATLAS
o, 23.9, 0.03036994730899031, 355.0065, 27.277081, 59493.353376, 20.889700043360186, 1.35717025595, 16.0, 20.0, ATLAS
