# Combination of '2022rbp' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59784.594411, nan, 0.41759084798461543, -26.0, 10.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59784.608957, nan, 0.28740076008352944, -34.0, 9.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59784.6144, nan, 1.08573620476, -10.0, 10.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59784.624037, nan, 2.17147240952, -9.0, 18.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59788.592579, nan, 0.23100770314042557, -47.0, 10.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59788.605732, 21.296518287104437, 1.08573620476, 11.0, 11.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59788.615532, nan, 0.18719589737241382, -58.0, 10.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59788.61915, nan, 0.7755258605428572, -14.0, 10.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59792.570429, nan, 1.492887281545, -8.0, 11.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59792.573591, nan, 0.8821606663675001, -16.0, 13.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59792.6002, nan, 0.7516635263723077, -13.0, 9.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59792.612917, nan, 2.17147240952, -5.0, 10.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59818.287733, 21.034679910804403, 0.7755258605428572, 14.0, 10.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59818.290702, nan, 0.8143021535700001, -12.0, 9.0, ATLAS
c, 23.9, 0.06610906802732176, 25.2798614, -13.3572934, 59819.366412, nan, 0.16388471015245284, -53.0, 8.0, ATLAS
