# Created by M.D. Woods -- 2025-05-20 13:04:59.227977 -- NUM TARGETS: 23
objname, origin, subtype, algo, ra, dec, z, z_err, z_cmb, MJDs, MJDe, chisquare, chisquare_err, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, amplitude, amplitude_err, peak_mag, peak_mag_err
2008bd, CSP, 91bg, SNPY, 154.59716700000004, -13.103111, 0.0301, 0.0, 0.031300703090299295, 54541.7, 54592.62, 2.0119320305895423, 0.0, 35.91771334018329, 0.10582612307698364, 11.066906876654066, 0.1000038057686489, 54526.07278292209, 0.7790033368101698, 0.6184691920898545, 0.039331151991573714, 0.019907712525009738, 0.04216089003753453, nan, nan, nan, nan
2008bt, CSP, 91bg, SNPY, 162.57033299999998, -12.108889, 0.0154, 0.0, 0.016446211765812194, 54571.61, 54651.47, 3.222239402803355, 0.0, 34.18119129724789, 0.10170181898627632, 10.724456328263154, 0.10000135516328265, 54572.730898297676, 0.07993340075724475, 0.4880221612022577, 0.0089882568284852, 0.24381036029230735, 0.014823473032495217, nan, nan, 16.595466666666667, 0.008
2005bl, CSP, 91bg, SNPY, 181.05108300000003, 20.406889000000003, 0.0241, 0.0, 0.02475539637032309, 53476.61, 53512.57, 16.943763044731444, 0.0, 35.376558795101616, 0.112573217832764, 8.920765377315602, 0.10154508129306831, 53483.061566269665, 0.11832479044044455, 0.39736455927405684, 0.015099396981223964, 0.2985556023790954, 0.034430353612992536, nan, nan, 18.29534482758621, 0.02248275862068966
2006gt, CSP, 91bg, SNPY, 14.072082999999997, -1.6294440000000001, 0.0448, 0.0, 0.042419119009330715, 54001.67, 54076.62, 1.835231238651051, 0.0, 36.47057192165508, 0.1013097479658334, 10.111136946318842, 0.10007031112374888, 54004.00019409425, 0.07989098928006023, 0.5649520092456233, 0.010493735679336482, 0.04694118915854664, 0.014899599520920305, nan, nan, 18.3119, 0.012400000000000003
2022vxf, ATLAS, 91bg, SNPY, 317.81557999999995, 37.88565, 0.028, 0.0, 0.02601870014279106, 59828.364496, 59899.266882, 1.5697101276125842, 0.0, 36.00718748513372, 0.11364062769764272, 10.82765611602084, 0.1000091142176589, 59856.66263036493, 0.1508715244817234, 0.722235745586936, 0.022381767151295844, -0.23843162758079203, 0.038448386318692886, nan, nan, 17.60004, 0.07124
2022xhh, ZTF, 91bg, SNPY, 64.1733759834313, -12.18359033747551, 0.0315, 0.0, 0.03103043269419672, 59861.36304400023, 59909.25232640002, 3.7120913990902706, 0.0, 35.62378492207851, 0.12886816480420224, 10.79645631191364, 0.10001446906806169, 59867.80357804027, 0.29939697525533965, 0.4529791814772828, 0.02999300395115358, 0.2745804692340511, 0.05549100522887113, nan, nan, 18.2957166609346, 0.05411434689992795
2022zvu, ATLAS-ZTF, 91bg, SNPY, 148.4627484375, -7.7926812499999984, 0.019323, 0.0, 0.020483170077026523, 58440.477303199936, 60290.44137729984, 13.229324044394263, 0.0, 35.16588825507128, 0.12214377017424975, 10.542607440652626, 0.10000732002929132, 59896.03466089895, 0.33878817209282963, 0.4747343984989163, 0.02743047412113564, -0.08987301455289201, 0.06878856117326879, nan, nan, 17.092566457541274, 0.04222434724528418
2021wzb, ATLAS-ZTF, 91bg, SNPY, 72.76725064023479, -5.956899143306672, 0.0478, 0.0, 0.04667527399666587, 59446.48384260014, 59490.561138, 2.0589908072919796, 0.0, 36.91144568988619, 0.10638404208367937, 11.289712997692881, 0.10000282777507162, 59456.28967630428, 0.22423258794092427, 0.5456791278810136, 0.022877375753489342, 0.012180065480322723, 0.0448791324591769, nan, nan, 18.61937195186147, 0.09546773004590493
2018lph, ATLAS-ZTF, 91bg, SNPY, 250.9022414232213, 33.5336, 0.08, 0.0, 0.07984945051562467, 58300.21293980023, 58336.21821760014, 3.330465128247899, 0.0, 38.14563881214897, 0.12344703432131536, 10.34149581173226, 0.10009659970873123, 58311.850459698675, 0.24920779404039922, 0.6185686175449655, 0.031802018468932707, -0.15199486155484646, 0.026808136746440826, nan, nan, 19.27908960788898, 0.07905382406125436
2021bls, ATLAS-ZTF, 91bg, SNPY, 250.83637062499977, 61.59486750000003, 0.019, 0.0, 0.01864489786358657, 59238.634603, 59316.40623839991, 11.057173300528778, 0.0, 34.680626449630765, 0.1144537321526646, 10.690134763061476, 0.10000092212992924, 59246.77140661199, 0.20458512981579166, 0.2701883284153343, 0.008207277837405798, 0.013674282046836203, 0.0403124237575505, nan, nan, 17.46425449200323, 0.022561657662011566
2019moq, ATLAS-ZTF, 91bg, SNPY, 6.615453550024865, 38.123241976870254, 0.0596, 0.0, 0.05797160941516161, 58685.42039350001, 58727.33065970009, 4.624415698709632, 0.0, 37.62750616262105, 0.10873393599450386, 10.979192644467481, 0.10011355431392452, 58695.303509537094, 0.18443424446092457, 0.7975191960927236, 0.027851351533216495, 0.04413567454976793, 0.02440622495309986, nan, nan, 18.883032434129394, 0.060906039460214736
2021cad, ATLAS-ZTF, 91bg, SNPY, 163.93943265432074, 24.027656460905384, 0.041546, 0.0, 0.042196638473377734, 58837.5167824002, 60410.15662040003, 5.787260812276085, 0.0, 36.517984556211694, 0.12447731533057879, 10.358143010854041, 0.10001149391702029, 59250.28553191025, 0.3426686573436588, 0.3394938833504053, 0.024730631845474825, -0.10471182366734731, 0.051630826374682304, nan, nan, 18.770373258391995, 0.053774097842131434
2024jgw, ATLAS-ZTF, 91bg, SNPY, 258.7619520833334, 46.04488944444442, 0.028, 0.0, 0.028235127122843467, 60455.27047450002, 60501.322233799845, 8.183811230801028, 0.0, 35.73245435995442, 0.13285906164235475, 9.403174628746669, 0.1000709363506559, 60458.73396698953, 0.3260349731336989, 0.32374249253833226, 0.024760856353826965, 0.2780694264837321, 0.045890563276125514, nan, nan, 18.69415691916273, 0.08376379469856324
2024jhk, ATLAS-ZTF, 91bg, SNPY, 162.85119015723268, 8.55831968553459, 0.02315, 0.0, 0.02398089121458493, 60454.313784, 60490.975495, 2.4077933466432184, 0.0, 35.22015419295529, 0.12232858659287094, 10.717597614530817, 0.10000149448209737, 60462.08862539832, 0.2534653304282128, 0.4649626824487835, 0.021608970096665476, 0.26946777699869917, 0.021801340840999127, nan, nan, 17.636923705658294, 0.053806421201759214
