# Created by M.D. Woods -- 2025-05-21 11:40:04.167921 -- NUM TARGETS: 16
objname, origin, subtype, algo, ra, dec, z, z_err, z_cmb, MJDs, MJDe, chisquare, chisquare_err, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, amplitude, amplitude_err, peak_mag, peak_mag_err
2007N, CSP, 91bg, SALT, 192.25520799999998, -9.452833, 0.0129, 0.0, 0.015195347623445987, 54123.82, 54213.67, 241.0289051386014, 0.0, 34.41346398468983, 0.10142413509540359, 9.587336481996891, 0.10000332697606863, 54113.024103264004, 0.051206244959757896, -2.9930357993484846, 0.01632523411555753, 0.5465739761857802, 0.0048741578972631245, 0.0024999103557437094, 1.9214658915664763e-05, nan, nan
2006bd, CSP, 91bg, SALT, 174.61858300000006, 20.526221999999997, 0.0257, 0.0, 0.025660398620783453, 53823.7, 53872.57, 82.89156425442192, 0.0, 35.84380956723649, 0.1050293495061232, 12.327227584343689, 0.10000538231805843, 53810.39228026892, 0.14179833831076394, -1.7161506030051026, 0.04464864841150584, 0.3951992931127828, 0.00894171727222815, 0.0012144236013841958, 1.8530835994024353e-05, nan, nan
2008bd, CSP, 91bg, SALT, 154.59716700000004, -13.103111, 0.0301, 0.0, 0.031300703090299295, 54541.7, 54592.62, 27.27228976797126, 0.0, 36.254737653214136, 0.10990824785554276, 11.066906876654066, 0.1000038057686489, 54522.073202542946, 0.1570283045002725, -2.395453622723449, 0.05879745141409698, 0.08103204469781873, 0.01331788489300888, 0.0017902471034350815, 3.394500705797438e-05, nan, nan
2008bt, CSP, 91bg, SALT, 162.57033299999998, -12.108889, 0.0154, 0.0, 0.016446211765812194, 54571.61, 54651.47, 456.4238609662223, 0.0, 34.54645270498273, 0.10033791572821792, 10.724456328263154, 0.10000135516328265, 54568.775437641656, 0.001082537626643898, -2.228919109288694, 0.01426943071923259, 0.4385971336307721, 0.0024442578333008632, 0.0033128462850390014, 9.588794496234473e-06, 16.5873, 0.007400000000000001
2006gt, CSP, 91bg, SALT, 14.072082999999997, -1.6294440000000001, 0.0448, 0.0, 0.042419119009330715, 54001.67, 54076.62, 58.66668144303253, 0.0, 36.75840745739721, 0.10079884523140785, 10.111136946318842, 0.10007031112374888, 54002.983524618925, 0.06217687559910701, -2.269970801283548, 0.032891162964082454, 0.21652946022711275, 0.0036184703752184817, 0.0007899719801913401, 3.155488418518664e-06, 18.281866666666666, 0.012200000000000004
2022zvu, ATLAS-ZTF, 91bg, SALT, 148.4627484375, -7.7926812499999984, 0.019323, 0.0, 0.020483170077026523, 58440.477303199936, 60290.44137729984, 28.53985574799724, 0.0, 35.12420443422424, 0.10711207548896412, 10.542607440652626, 0.10000732002929132, 59896.89586541905, 0.07410721902488149, -1.9540442691157627, 0.08176377550225855, 0.5784684598855749, 0.010851067988333138, 0.0013778321455607033, 2.0885920784322393e-05, 17.068893958039315, 0.029075790076146576
2018eyi, ATLAS-ZTF, 91bg, SALT, 246.30197762172256, 40.8401731273408, 0.03038, 0.0, 0.031030483238724035, 58336.161597200204, 58378.13162040012, 9.694327720656533, 0.0, 35.90903645710843, 0.1286567539864725, 10.143590364193393, 0.10000767906628998, 58325.06516423802, 0.15512798268173356, -2.427196903979522, 0.05679016924647784, 0.3784346893192984, 0.02334232074916872, 0.001083295195360678, 4.038681326245499e-05, nan, nan
2021wzb, ATLAS-ZTF, 91bg, SALT, 72.76725064023479, -5.956899143306672, 0.0478, 0.0, 0.04667527399666587, 59446.48384260014, 59490.561138, 3.798159713215389, 0.0, 36.622315550050104, 0.12452937295185462, 11.289712997692881, 0.10000282777507162, 59455.43925023782, 0.20768813882386894, -2.202361475251846, 0.19588211698270142, 0.5420815190557221, 0.019714788107176428, 0.0003699372697246335, 1.159363660666077e-05, 18.604742430877437, 0.10679614254734572
2023dk, ATLAS-ZTF, 91bg, SALT, 77.77632058073569, -1.0803022223643908, 0.02844, 0.0, 0.028159923880541723, 58431.352789400145, 60184.48229169985, 70.69500641792318, 0.0, 35.87926921517095, 0.1104178154686062, 10.658403563986226, 0.10000374717612354, 59957.31134601789, 0.13428624178777682, -0.907683812233438, 0.12639194586877178, 0.26570949719912346, 0.013277060796301652, 0.001879387543144714, 2.7516429567266946e-05, 17.313439742480366, 0.05765729322506754
2022fjx, ATLAS-ZTF, 91bg, SALT, 160.87567977160495, 19.083000761316878, 0.046, 0.0, 0.04650666313330905, 59662.403093, 59731.23902780004, 3.2964576264167293, 0.0, 37.026289840031936, 0.1116128861438076, 7.902232705509368, 0.14080288287581952, 59674.24221336499, 0.13578020972272498, -0.19614678989026135, 0.1396570411991821, 0.3590965598071491, 0.013657227149092838, 0.0005590321451447273, 9.556600549924217e-06, 18.458128468924485, 0.08198572945233498
2021uve, ATLAS-ZTF, 91bg, SALT, 29.135704071916475, 3.8603474596187373, 0.055, 0.0, 0.053353117058655544, 59427.46671300009, 59469.3796064998, 4.259423814854188, 0.0, 37.45580471615136, 0.11784252715023745, 7.813528673239915, 0.12659834763141525, 59438.987630722935, 0.17915254967374494, -1.131538714536524, 0.16712530031582074, 0.286572964084167, 0.017490349102206197, 0.0004025621797642213, 8.425649621145112e-06, 18.881823458620723, 0.07830808421117384
2019moq, ATLAS-ZTF, 91bg, SALT, 6.615453550024865, 38.123241976870254, 0.0596, 0.0, 0.05797160941516161, 58685.42039350001, 58727.33065970009, 2.1850457065686215, 0.0, 37.5573037184721, 0.1052953877826495, 10.979192644467481, 0.10011355431392452, 58695.32620739221, 0.07544384218272171, -1.86963605387524, 0.13479564037775804, 0.18366465896124917, 0.008010919593673192, 0.00043825664791851776, 3.869187246327681e-06, 18.883032434129394, 0.060906039460214736
2022rjs, ATLAS-ZTF, 91bg, SALT, 244.12544209766563, 21.2514818784506, 0.037, 0.0, 0.036946776763945845, 58263.336620400194, 60501.26813660003, 58.50931613058288, 0.0, 36.297761110034, 0.11128860314621997, 10.48999877821179, 0.10001623011399237, 59816.36440529212, 0.08704663328171591, -1.775894685587169, 0.1385806201140538, 0.5207128462471708, 0.01335757677812255, 0.0005617215538079243, 9.694327230990078e-06, 18.2798846255179, 0.02982545555474062
2018jag, ATLAS-ZTF, 91bg, SALT, 15.951290416666676, 10.592337777777777, 0.04, 0.0, 0.038212777439225694, 58447.33187500015, 58493.123981500044, 1.8619800647177602, 0.0, 36.79049942078851, 0.13491194353215513, 11.024363619703006, 0.10000626926426881, 58454.052994403, 0.21992689330363646, -1.089306686098912, 0.1519984694151586, 0.351742585054117, 0.026728623155474543, 0.0006249675973755937, 2.0882049913277553e-05, 18.296869716366366, 0.07088002369063888
2022abom, ATLAS-ZTF, 91bg, SALT, 55.288078081457655, -2.8485671891072593, 0.036, 0.0, 0.034680124510817416, 59912.959963, 59984.15192130022, 5.7582939311188985, 0.0, 36.52736293107222, 0.11063390004430179, 10.316452277637097, 0.10003256705648471, 59926.66647515604, 0.14231933708288125, 0.5206791807318212, 0.1187005868500679, 0.41854062258761743, 0.01309802605164031, 0.0008318020211671987, 1.5062058957571875e-05, 17.89960441653142, 0.060892665441698406
2019cdc, ATLAS-ZTF, 91bg, SALT, 212.20472977360316, 35.6142721130379, 0.02777, 0.0, 0.028415074582006233, 58566.575026, 58660.1930670999, 17.96360884142037, 0.0, 35.980219354101386, 0.10154523996715102, 10.584872344449861, 0.10000646090149536, 58575.25828022142, 0.03541856291121803, -2.1800445598285627, 0.038105446588782454, 0.08566457298729661, 0.005121023113632339, 0.0023462882207808955, 1.4425118956700003e-05, 17.237346093099166, 0.0309274240879589
