ra, dec, objname, z, discoverydate
125.68025, 22.55469, 2007ax, 0.0069, 54180.0
14.072082999999996, -1.6294440000000001, 2006gt, 0.04480000000000001, 53996.0
181.05108300000003, 20.406889000000003, 2005bl, 0.024100000000000003, 53474.0
162.570333, -12.108889000000001, 2008bt, 0.015400000000000004, 54569.0
53.76812499999999, -24.94411099999999, 2005ke, 0.004900000000000001, 53687.0
50.679333, -37.20822199999999, 2006mr, 0.0059000000000000025, 54044.0
154.597167, -13.103111, 2008bd, 0.030099999999999995, 54538.0
128.972458, 0.7064170000000001, 2008bi, 0.0134, 54547.0
174.61858299999994, 20.526222, 2006bd, 0.025700000000000004, 53820.0
74.848167, -11.130583000000001, 2009F, 0.013, 54835.0
149.82699999999997, -19.473833000000006, 2007al, 0.012199999999999997, 54169.0
229.17762499999995, 7.396611000000004, 2007ba, 0.03849999999999999, 54188.0
192.255208, -9.452833000000002, 2007N, 0.012899999999999993, 54121.0
39.67487, -7.28433, 2024rkh, 0.07, 60521.44182869233
307.58793, -1.00636, 2024xdl, 0.0213, 60583.12686339114
195.07902, -33.6297, 2020dq, 0.046, 58851.59099537041
341.1337, -42.52182, 2024pkh, 0.067, 60504.18757000007
190.65175, -40.74633, 2019so, 0.015, 58497.61199074052
10.074, 2.75663, 2024luo, 0.017, 60480.57600999996
181.31033, 10.61539, 2016brv, 0.034, 57494.532511574216
16.88776, 32.40824, 2017hle, 0.015, 58044.68439814821
52.15125, 5.78935, 2022uxl, 0.031975999474525, 59841.38494999986
100.83945, 63.64939999999999, 2024abwg, 0.05, 60637.28306709509
11.66844, -14.33536, 2024zls, 0.053, 60607.32531999983
76.407, 32.51907, 2022zsp, 0.021652, 59887.40554000018
227.80451, 46.14785, 2024pbd, 0.018326, 60499.32409999985
190.88433, -41.36599000000001, 2022an, 0.007, 59583.0
71.31999, 8.5543, 2024wdg, 0.066, 60574.0
333.46114, 3.98403, 2024nev, 0.0585, 60488.0
329.58607, -9.80726, 2024lhg, 0.06, 60472.0
249.97834000000006, 37.182520000000004, 2024jih, 0.0311, 60457.0
